DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,154,25,-7,-18,6,0,0.00000,0.00000.1,0.1,607869028,170,36,-10,-25,3184901290
2025-06-13 23:14:24,15.59,161.23,15.74,15.47,12.71,420.44,15.2,55.6,2.64,4.77,4.79,0.0,0.0,0,13.2,0.0,29.03,1,-9,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:15:24,15.59,159.35,15.55,15.87,13.76,420.07,15.2,55.7,2.48,4.24,4.42,0.0,0.0,0,13.2,0.0,25.81,1,-9,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:16:24,15.59,157.04,15.71,15.67,13.45,419.38,15.2,55.7,2.64,4.41,4.69,0.0,0.0,0,13.2,0.0,25.81,1,-9,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:17:23,15.59,159.14,16.36,15.37,13.58,419.13,15.2,55.8,2.48,4.63,4.72,0.0,0.0,0,13.2,0.0,38.71,1,-8,,,,,60,LAT,LON,W,CRC,,17.0,0.0,0.0,STAT,
2025-06-13 23:18:24,15.59,154.21,15.92,16.02,13.16,419.05,15.2,55.9,2.56,4.93,5.66,0.0,0.0,0,13.2,0.0,25.81,1,-6,,,,,60,LAT,LON,W,CRC,,18.0,0.0,0.0,STAT,
2025-06-13 23:19:24,15.59,159.24,16.26,15.26,13.56,419.02,15.2,55.7,2.53,4.74,5.4,0.0,0.0,0,13.2,0.0,25.81,1,-8,,,,,60,LAT,LON,W,CRC,,18.0,0.0,0.0,STAT,
2025-06-13 23:20:24,15.59,163.98,16.04,15.93,12.92,419.01,15.2,55.6,2.19,3.96,4.28,0.0,0.0,0,13.2,0.0,29.03,1,-9,,,,,60,LAT,LON,W,CRC,,18.0,0.0,0.0,STAT,
2025-06-13 23:21:24,15.59,163.39,15.15,15.63,13.5,419.0,15.2,55.5,2.39,4.39,4.49,0.0,0.0,0,13.2,0.0,25.81,1,-9,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:22:24,15.59,157.2,15.34,15.73,12.23,419.0,15.2,55.8,2.53,4.44,4.59,0.0,0.0,0,13.2,0.0,38.71,1,-8,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:23:24,15.59,155.89,15.35,17.1,10.78,419.41,15.2,56.0,2.53,4.61,4.66,0.0,0.0,0,13.2,0.0,25.81,1,-7,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:24:24,15.59,158.68,15.17,17.14,10.76,420.37,15.2,55.8,2.66,5.02,5.08,0.0,0.0,0,13.2,0.0,25.81,1,-9,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:25:24,15.58,161.08,15.65,16.46,11.51,420.78,15.2,55.8,2.58,4.64,5.06,0.0,0.0,0,13.2,0.0,25.81,1,-9,,,,,60,LAT,LON,W,CRC,,18.0,0.0,0.0,STAT,
2025-06-13 23:26:24,15.57,162.82,14.29,17.25,11.11,420.92,15.2,55.9,2.59,4.96,5.11,0.0,0.0,0,13.2,0.0,38.71,1,-7,,,,,60,LAT,LON,W,CRC,,20.0,0.0,0.0,STAT,
2025-06-13 23:27:26,15.55,162.98,14.76,16.99,10.8,420.97,15.2,56.0,2.7,4.78,5.0,0.0,0.0,0,13.2,0.0,25.81,1,-7,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:28:26,15.52,155.01,15.17,15.96,10.59,420.99,15.2,56.1,3.02,5.22,5.43,0.0,0.0,0,13.2,0.0,22.58,1,-6,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:29:26,15.5,152.22,15.03,16.59,10.27,421.0,15.2,56.0,2.88,5.42,5.49,0.0,0.0,0,13.2,0.0,29.03,1,-7,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:30:26,15.5,163.2,15.74,16.91,11.71,421.0,15.2,55.9,2.76,5.03,5.05,0.0,0.0,0,13.2,0.0,38.71,1,-7,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:31:26,15.49,170.46,15.47,16.26,12.33,421.65,15.2,55.3,2.69,4.93,5.12,0.0,0.0,0,13.2,0.0,29.03,1,-8,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:32:22,15.49,173.73,15.54,17.14,11.3,421.86,15.2,55.3,2.84,5.34,6.76,0.0,0.0,0,13.2,0.0,51.61,1,-9,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:33:21,15.49,171.98,16.75,17.67,11.43,421.79,15.2,55.5,2.39,4.63,5.08,0.0,0.0,0,13.2,0.0,29.03,1,-7,,,,,60,LAT,LON,W,CRC,,17.0,0.0,0.0,STAT,
2025-06-13 23:34:22,15.49,216.92,15.32,17.72,11.11,421.31,15.2,55.6,2.17,4.78,4.92,0.0,0.0,0,13.2,0.0,25.81,1,-8,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
2025-06-13 23:35:22,15.49,229.46,14.26,17.61,11.94,421.73,15.2,55.8,2.18,4.33,4.88,0.0,0.0,0,13.2,0.0,22.58,1,-8,,,,,60,LAT,LON,W,CRC,,20.0,0.0,0.0,STAT,
2025-06-13 23:36:22,15.49,199.06,14.84,17.29,11.15,421.9,15.1,55.6,2.16,4.55,4.72,0.0,0.0,0,13.2,0.0,25.81,1,-8,,,,,60,LAT,LON,W,CRC,,18.0,0.0,0.0,STAT,
2025-06-13 23:37:22,15.49,188.58,14.82,17.01,11.76,421.79,15.1,55.8,2.65,5.14,5.19,0.0,0.0,0,13.2,0.0,38.71,1,-9,,,,,60,LAT,LON,W,CRC,,18.0,0.0,0.0,STAT,
2025-06-13 23:38:23,15.49,176.69,14.79,17.45,13.05,421.93,15.1,56.0,2.68,4.91,5.31,0.0,0.0,0,13.2,0.0,70.97,1,-9,,,,,60,LAT,LON,W,CRC,,19.0,0.0,0.0,STAT,
