DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,AQHI,NO2_contrib,O3_contrib,PM25_contrib,Top_AQHI_Contributor
2025-05-04T21:53:25,10.59,213.63100000000003,14.526000000000002,14.805,12.143999999999998,429.0,11.2,52.6,0.37,1.18,1.19,1.9323191683950058,0.6458289691639415,0.3255672422815489,0.028603788554509627,NO2
2025-05-04T21:54:24,10.57,205.44700000000003,14.787,14.385,13.62,429.0,11.1,52.6,0.78,1.5,1.5,1.9603652055397585,0.6275022430881998,0.3404789497680591,0.03201880714374113,NO2
2025-05-04T21:55:24,10.56,196.61400000000003,14.490000000000002,15.141,13.716,429.0,11.1,52.9,0.72,1.23,1.51,1.9885409846720064,0.6263749654841034,0.342923900749404,0.03070113376649257,NO2
2025-05-04T21:56:24,10.55,196.911,14.319,14.227500000000001,14.388,429.0,11.1,52.8,0.91,1.52,1.61,1.9953911539356932,0.6183844164686988,0.34974786430483845,0.031867719226462796,NO2
2025-05-04T21:57:24,10.5,194.20500000000004,14.22,12.894,15.743999999999998,429.0,11.1,52.2,0.85,1.24,1.48,1.9883680310648653,0.605677037290596,0.36289648132679203,0.03142648138261206,NO2
2025-05-04T21:58:24,10.47,209.17600000000002,14.670000000000002,13.818000000000001,14.58,428.5,11.1,52.3,0.7,1.08,1.17,1.985408524860446,0.6032164940215673,0.36630927229050525,0.030474233687927406,NO2
2025-05-04T21:59:27,10.46,215.82,14.940000000000001,13.566,14.495999999999999,428.18,11.1,52.8,0.45,1.36,1.39,1.9814926672831252,0.6004611253895329,0.36877357678840533,0.0307652978220618,NO2
2025-05-04T22:00:27,10.45,214.643,16.056,13.8495,13.968,428.56,11.0,52.7,0.65,1.58,1.59,1.9794155055172447,0.5996456111747376,0.3687325086081729,0.03162188021708954,NO2
2025-05-04T22:01:27,10.4,201.97100000000003,15.722999999999999,12.925500000000001,15.527999999999999,428.49,11.0,52.6,0.49,1.19,1.65,1.9760839346469754,0.5951257254965268,0.3735844041189103,0.031289870384562976,NO2
2025-05-04T22:02:27,10.37,210.57300000000004,15.786,14.6265,15.156,428.17,11.0,52.6,0.48,1.12,1.28,1.9855763026839606,0.5951398605607323,0.3741918271884652,0.030668312250802417,NO2
2025-05-04T22:03:27,10.36,205.62300000000002,14.985,13.5975,17.772,427.48,10.9,52.8,0.57,1.12,1.44,1.997788265325484,0.5898573428691949,0.38004560724120123,0.030097049889603877,NO2
2025-05-04T22:04:28,10.35,205.931,15.696000000000002,14.217,15.684,427.67,10.9,53.0,0.31,0.85,0.96,2.0022331710204484,0.5893663125046442,0.3814491070150482,0.02918458048030756,NO2
2025-05-04T22:05:28,10.31,197.38400000000001,15.146999999999998,14.364,14.256,428.11,10.9,53.1,0.21,0.93,0.96,2.001524478410809,0.5907467382081575,0.3806300848190986,0.028623176972743844,NO2
2025-05-04T22:06:28,10.27,193.24800000000002,13.770000000000001,15.036000000000001,14.687999999999999,428.69,10.9,53.9,0.74,1.51,1.6,2.008533750993541,0.591712208429615,0.37928640657609247,0.029001384994292466,NO2
2025-05-04T22:07:28,10.26,190.685,13.473,15.130500000000001,13.943999999999999,429.39,10.9,54.0,0.77,1.37,1.4,2.012124294120633,0.5935406983849664,0.3773133960986174,0.02914590551641626,NO2
2025-05-04T22:08:28,10.26,189.61800000000002,14.238000000000001,14.301,14.892,430.37,10.9,54.3,0.66,1.35,1.36,2.0138953028491904,0.5933576689461336,0.3773795512343472,0.029262779819519177,NO2
2025-05-04T22:09:28,10.21,187.594,14.382000000000001,15.2985,12.299999999999999,430.94,10.9,54.4,0.87,1.61,1.61,2.01321525139575,0.5963286195934446,0.3739169752751857,0.029754405131369725,NO2
2025-05-04T22:10:29,10.18,184.06300000000002,15.165000000000001,14.196,13.116,431.4,10.8,54.2,0.95,1.62,1.68,2.0098026280671886,0.5972239130617051,0.37252926193881003,0.030246824999484875,NO2
2025-05-04T22:11:29,10.16,186.879,15.615000000000002,14.091000000000001,12.047999999999998,431.14,10.8,53.9,0.48,1.21,1.38,2.0023448034321816,0.5991089601029279,0.37063966818734556,0.030251371709726603,NO2
2025-05-04T22:12:29,10.15,192.35700000000003,15.012,14.3745,13.908,431.05,10.8,54.0,0.72,1.12,1.24,2.0014631683533293,0.5996678698853063,0.37027012309258545,0.030062007022108265,NO2
