DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,147,17,-11,-31,2192874305,132,22,-9,3930070199,AQI
2025-03-11 07:38:25-07:00,4.97,232.11100000000002,8.811,23.131500000000003,5.904,426.0,6.7,73.5,1.35,2.45,2.61,16.0,-1.0,-3.0,STAT,,,,,,3.1408000000000005
2025-03-11 07:39:25-07:00,4.97,236.08200000000002,8.595,22.753500000000003,5.376,426.0,6.7,73.3,1.31,2.49,2.55,17.0,0.0,-3.0,STAT,,,,,,3.0672000000000006
2025-03-11 07:40:25-07:00,4.97,236.69800000000004,9.126000000000001,22.3545,5.52,426.0,6.7,73.3,1.23,2.45,2.47,16.0,-1.0,-3.0,STAT,,,,,,3.064
2025-03-11 07:41:25-07:00,4.97,232.012,10.071,21.525000000000002,5.376,426.0,6.7,73.2,1.64,2.46,2.65,16.0,-1.0,-3.0,STAT,,,,,,3.0432
2025-03-11 07:42:25-07:00,4.97,231.11,9.675,21.4725,6.755999999999999,426.0,6.7,73.1,1.48,2.18,2.24,16.0,-1.0,-3.0,STAT,,,,,,3.0952
2025-03-11 07:43:25-07:00,4.97,231.71500000000003,10.638,21.8505,5.544,426.0,6.7,73.3,1.5,2.4,2.66,14.0,0.0,-4.0,STAT,,,,,,3.0288
2025-03-11 07:44:25-07:00,4.97,229.592,8.208,22.9005,6.156,426.0,6.7,73.2,1.76,2.57,2.66,16.0,-1.0,-3.0,STAT,,,,,,3.2872000000000003
2025-03-11 07:45:25-07:00,4.97,229.51500000000001,9.369,22.102500000000003,5.676,426.0,6.7,73.2,1.59,2.25,2.28,17.0,0.0,-3.0,STAT,,,,,,2.9352
2025-03-11 07:46:20-07:00,4.97,226.94100000000003,9.531,21.735,3.396,426.0,6.7,73.4,1.49,2.61,2.83,16.0,0.0,-4.0,STAT,,,,,,2.7672
2025-03-11 07:47:20-07:00,4.97,226.41300000000004,8.523000000000001,21.1365,4.188,426.0,6.8,73.4,1.79,2.94,3.03,16.0,-1.0,-3.0,STAT,,,,,,3.1896
2025-03-11 07:48:20-07:00,4.97,230.362,9.666,21.567,5.004,425.42,6.7,73.5,1.78,2.97,3.32,15.0,-1.0,-2.0,STAT,,,,,,3.3768000000000002
2025-03-11 07:49:21-07:00,4.97,230.23000000000002,10.926,22.0395,4.392,425.15,6.8,73.4,1.7,2.67,2.78,14.0,-1.0,-3.0,STAT,,,,,,3.0144
2025-03-11 07:50:21-07:00,4.97,226.01700000000002,9.081,22.092,4.536,425.56,6.8,73.4,1.89,2.5,2.54,16.0,-1.0,-2.0,STAT,,,,,,2.9072
2025-03-11 07:51:22-07:00,4.97,231.286,11.304,21.189,5.892,425.84,6.8,73.4,1.85,2.9,2.92,14.0,-1.0,-2.0,STAT,,,,,,3.4984
2025-03-11 07:52:22-07:00,4.97,231.95700000000002,11.268,22.344,5.58,425.95,6.8,73.4,1.65,2.69,3.0,14.0,-1.0,-3.0,STAT,,,,,,3.2680000000000002
2025-03-11 07:53:22-07:00,4.97,236.52200000000002,8.82,22.134,6.828,425.98,6.8,73.5,1.88,2.58,2.68,16.0,-1.0,-2.0,STAT,,,,,,3.4296
2025-03-11 07:54:23-07:00,4.97,233.84900000000002,11.448,22.953,6.156,425.99,6.8,73.5,1.39,2.24,2.62,15.0,0.0,-1.0,STAT,,,,,,3.0232
2025-03-11 07:55:23-07:00,4.97,235.48800000000003,10.107000000000001,23.2575,5.688,426.57,6.8,73.7,1.64,2.86,3.06,15.0,-1.0,-2.0,STAT,,,,,,3.4255999999999998
2025-03-11 07:56:24-07:00,4.98,230.53800000000004,10.170000000000002,22.826999999999998,2.388,426.85,6.8,73.8,1.56,2.67,2.74,15.0,-1.0,-3.0,STAT,,,,,,2.6136
2025-03-11 07:57:24-07:00,4.97,227.876,8.334,23.478,3.5999999999999996,426.95,6.8,73.8,1.73,3.24,3.97,16.0,-1.0,-3.0,STAT,,,,,,3.3120000000000003
2025-03-11 07:58:24-07:00,4.97,229.10800000000003,8.991,23.478,3.888,426.98,6.8,73.9,1.35,2.64,2.88,15.0,-1.0,-3.0,STAT,,,,,,2.8896
2025-03-11 07:59:24-07:00,4.97,229.845,8.514000000000001,23.625,3.396,427.27,6.8,73.8,1.11,2.32,2.4,15.0,-1.0,-3.0,STAT,,,,,,2.5351999999999997
2025-03-11 08:00:24-07:00,4.98,233.519,8.406,23.488500000000002,2.988,427.71,6.8,73.7,1.49,2.97,3.0,18.0,-1.0,-3.0,STAT,,,,,,2.9736000000000002
2025-03-11 08:01:24-07:00,4.98,239.77800000000002,9.360000000000001,23.562,5.1,427.6,6.8,73.6,1.95,3.21,3.22,16.0,-1.0,-3.0,STAT,,,,,,3.588
2025-03-11 08:02:24-07:00,4.99,243.44100000000003,8.856,22.995,5.255999999999999,427.21,6.8,73.6,2.01,4.05,4.79,16.0,-1.0,-3.0,STAT,,,,,,4.2912
2025-03-11 08:03:24-07:00,4.99,244.28800000000004,9.378,23.803500000000003,4.919999999999999,426.47,6.8,73.7,2.06,3.67,4.2,16.0,-1.0,-2.0,STAT,,,,,,3.92
2025-03-11 08:04:24-07:00,5.0,247.126,9.999,23.8875,4.704,426.16,6.8,73.7,1.98,3.76,4.28,15.0,-1.0,-3.0,STAT,,,,,,3.9488
2025-03-11 08:05:24-07:00,5.0,250.217,7.731,24.2865,4.704,426.06,6.8,73.7,2.66,4.16,4.82,18.0,-1.0,-3.0,STAT,,,,,,4.268800000000001
2025-03-11 08:06:27-07:00,5.02,250.77800000000002,7.8660000000000005,24.36,4.116,426.02,6.8,73.7,2.72,4.39,4.6,17.0,-1.0,-3.0,STAT,,,,,,4.3352
2025-03-11 08:07:27-07:00,5.02,252.52700000000002,9.360000000000001,23.247,5.556,425.92,6.8,73.7,2.41,3.75,3.82,17.0,-1.0,-3.0,STAT,,,,,,4.1112
2025-03-11 08:08:27-07:00,5.02,249.81,10.458,23.488500000000002,6.9479999999999995,425.33,6.8,73.5,2.83,5.39,5.48,15.0,-1.0,-2.0,STAT,,,,,,5.7016
2025-03-11 08:09:27-07:00,5.03,249.095,10.332,23.625,5.7,425.11,6.8,73.6,3.12,5.38,5.41,15.0,-2.0,-2.0,STAT,,,,,,5.444000000000001
2025-03-11 08:10:27-07:00,5.04,251.85600000000002,8.784,24.5805,4.056,425.04,6.8,73.7,3.17,6.08,6.23,16.0,-1.0,-3.0,STAT,,,,,,5.675200000000001
2025-03-11 08:11:26-07:00,5.04,256.212,7.973999999999999,25.221,3.2880000000000003,425.01,6.8,73.7,3.17,5.91,6.35,16.0,0.0,-2.0,STAT,,,,,,5.385600000000001
2025-03-11 08:12:26-07:00,5.04,257.68600000000004,7.317000000000001,24.696,2.964,425.0,6.8,73.7,3.35,6.47,6.85,16.0,-1.0,-2.0,STAT,,,,,,5.768800000000001
2025-03-11 08:13:26-07:00,5.05,258.94000000000005,7.29,25.5255,2.208,425.0,6.8,73.7,3.57,7.06,7.18,16.0,0.0,-3.0,STAT,,,,,,6.0896
2025-03-11 08:14:27-07:00,5.05,263.50500000000005,7.470000000000001,24.066000000000003,4.488,425.0,6.8,73.8,3.39,7.45,7.49,16.0,0.0,-3.0,STAT,,,,,,6.8576000000000015
2025-03-11 08:15:28-07:00,5.05,258.85200000000003,8.352,25.116000000000003,4.512,425.0,6.8,73.7,4.07,7.63,7.65,16.0,0.0,-2.0,STAT,,,,,,7.0064
2025-03-11 08:16:28-07:00,5.04,255.508,9.702,24.8325,3.0359999999999996,425.0,6.8,73.8,3.43,6.48,6.85,15.0,0.0,-3.0,STAT,,,,,,5.791200000000001
2025-03-11 08:17:29-07:00,5.05,253.02200000000002,9.981,23.9295,5.664,425.0,6.8,73.7,3.73,7.24,7.64,14.0,-1.0,-2.0,STAT,,,,,,6.924800000000001
2025-03-11 08:18:29-07:00,5.05,258.52200000000005,9.594000000000001,25.7985,2.232,425.0,6.8,73.8,3.91,7.15,7.28,16.0,-1.0,-2.0,STAT,,,,,,6.1664
2025-03-11 08:19:29-07:00,5.05,260.54600000000005,8.145000000000001,24.3915,3.6239999999999997,425.58,6.8,73.8,4.47,7.45,7.76,17.0,-2.0,-3.0,STAT,,,,,,6.684800000000001
2025-03-11 08:20:29-07:00,5.05,258.69800000000004,6.6690000000000005,24.36,3.0,425.72,6.8,73.9,4.51,7.26,7.97,17.0,0.0,-2.0,STAT,,,,,,6.4079999999999995
2025-03-11 08:21:29-07:00,5.05,259.50100000000003,8.865,25.5045,1.9919999999999998,425.28,6.8,73.8,4.34,6.96,7.19,16.0,-1.0,-3.0,STAT,,,,,,5.9664
2025-03-11 08:22:24-07:00,5.05,260.35900000000004,9.774,24.423000000000002,4.536,425.46,6.8,73.8,4.03,7.51,7.59,15.0,0.0,-2.0,STAT,,,,,,6.9152000000000005
2025-03-11 08:23:24-07:00,5.05,259.16,10.026000000000002,24.0975,5.364,425.65,6.8,73.8,4.38,7.42,7.67,15.0,-1.0,-2.0,STAT,,,,,,7.0088
2025-03-11 08:24:25-07:00,5.05,255.76100000000002,10.584,23.142,6.215999999999999,425.23,6.8,73.6,4.38,7.62,7.86,16.0,-1.0,-3.0,STAT,,,,,,7.3392
2025-03-11 08:25:25-07:00,5.05,249.13900000000004,10.683,23.7195,4.932,425.08,6.8,73.7,4.49,7.48,7.68,16.0,-1.0,-2.0,STAT,,,,,,6.9704000000000015
2025-03-11 08:26:25-07:00,5.05,247.544,11.457,22.4385,6.792,425.03,6.8,73.8,3.54,6.86,6.93,13.0,-1.0,-2.0,STAT,,,,,,6.846400000000001
