DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,117,18,-9,-32,2982659293,143,25,-10,-30,2586884846,AQI
2025-03-18 03:56:39-07:00,6.39,189.761,5.166,20.9895,14.399999999999999,410.38,7.8,57.8,0.05,0.76,0.76,19.0,0.0,0.0,STAT,,,,,,,3.488
2025-03-18 03:57:40-07:00,6.34,190.57500000000002,4.742999999999999,21.630000000000003,14.1,410.76,7.8,57.9,0.02,0.69,0.69,19.0,1.0,0.0,STAT,,,,,,,3.3720000000000003
2025-03-18 03:58:39-07:00,6.32,196.82300000000004,3.321,20.7165,15.66,410.92,7.7,58.1,0.09,0.79,0.94,21.0,1.0,0.0,STAT,,,,,,,3.7640000000000002
2025-03-18 03:59:40-07:00,6.32,190.553,5.5440000000000005,20.3805,13.908,410.97,7.7,58.3,0.03,0.87,0.94,19.0,0.0,0.0,STAT,,,,,,,3.4776000000000002
2025-03-18 04:00:40-07:00,6.3,192.14800000000002,6.057,21.378,12.78,411.93,7.7,58.4,0.06,0.43,0.45,18.0,1.0,0.0,STAT,,,,,,,2.9
2025-03-18 04:01:40-07:00,6.28,195.75600000000003,3.366,21.5775,13.56,413.13,7.7,58.5,0.34,0.74,0.92,19.0,1.0,0.0,STAT,,,,,,,3.3040000000000003
2025-03-18 04:02:40-07:00,6.24,201.01400000000004,2.511,21.1365,14.723999999999998,413.69,7.7,58.8,0.36,1.07,1.13,19.0,1.0,0.0,STAT,,,,,,,3.8007999999999997
2025-03-18 04:03:40-07:00,6.21,201.586,2.9339999999999997,21.735,14.243999999999998,413.89,7.6,59.1,0.22,1.05,1.07,20.0,1.0,0.0,STAT,,,,,,,3.6887999999999996
2025-03-18 04:04:41-07:00,6.21,201.56400000000002,5.319,21.987000000000002,12.984,413.96,7.6,59.2,0.36,1.45,1.45,18.0,1.0,0.0,STAT,,,,,,,3.7568
2025-03-18 04:05:41-07:00,6.2,198.561,4.455,21.357,14.531999999999998,413.63,7.6,59.4,0.37,1.09,1.1,19.0,1.0,0.0,STAT,,,,,,,3.7783999999999995
2025-03-18 04:06:36-07:00,6.17,201.223,4.7250000000000005,21.0315,16.056,413.24,7.6,59.5,0.17,0.99,0.99,18.0,1.0,0.0,STAT,,,,,,,4.0032000000000005
2025-03-18 04:07:36-07:00,6.13,203.23600000000002,4.284,21.4935,14.376,412.7,7.6,59.8,0.06,1.07,1.07,20.0,1.0,0.0,STAT,,,,,,,3.7312000000000003
2025-03-18 04:08:36-07:00,6.12,199.33100000000002,4.293,20.790000000000003,14.447999999999999,412.77,7.6,60.0,0.06,1.21,1.21,19.0,1.0,0.0,STAT,,,,,,,3.8575999999999997
2025-03-18 04:09:37-07:00,6.11,199.24300000000002,6.39,22.0395,13.68,412.92,7.6,60.2,0.39,1.31,1.31,18.0,1.0,0.0,STAT,,,,,,,3.7840000000000003
2025-03-18 04:10:37-07:00,6.1,197.56,3.8520000000000003,21.325499999999998,15.636,412.76,7.6,60.5,0.2,1.09,1.09,19.0,1.0,0.0,STAT,,,,,,,3.9992
2025-03-18 04:11:38-07:00,6.08,200.73900000000003,3.483,21.063,14.58,412.92,7.6,60.7,0.53,1.21,1.21,18.0,0.0,0.0,STAT,,,,,,,3.8840000000000003
2025-03-18 04:12:38-07:00,6.04,198.33000000000004,5.571000000000001,21.419999999999998,14.052000000000001,412.35,7.6,60.9,0.78,1.38,1.38,17.0,0.0,0.0,STAT,,,,,,,3.9144000000000005
