DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,137,25,-8,3962891850,113,22,-6,3382483343,AQI
2025-03-16 13:07:48-07:00,6.01,177.276,8.343,13.996500000000001,21.395999999999997,414.78,7.6,75.3,0.93,2.03,2.08,16.0,0.0,-1.0,,,,,,5.903199999999999
2025-03-16 13:08:50-07:00,6.03,171.90800000000002,6.543,15.918000000000001,19.331999999999997,414.92,7.7,75.2,0.7,2.19,2.32,18.0,0.0,-1.0,,,,,,5.618399999999999
2025-03-16 13:09:50-07:00,6.03,173.734,8.126999999999999,15.435,21.215999999999998,414.97,7.7,75.0,0.87,2.25,2.37,17.0,0.0,-1.0,,,,,,6.0432
2025-03-16 13:10:50-07:00,6.04,170.34600000000003,9.063,14.931000000000001,18.972,414.99,7.7,75.1,0.78,1.68,1.88,16.0,0.0,-2.0,,,,,,5.138400000000001
2025-03-16 13:11:50-07:00,6.05,169.543,7.857,15.5085,19.104,415.0,7.7,74.9,0.91,1.99,2.05,17.0,0.0,-2.0,,,,,,5.412800000000001
2025-03-16 13:12:50-07:00,6.05,176.484,7.317000000000001,16.6215,17.831999999999997,415.16,7.7,74.8,1.11,2.0,2.24,18.0,0.0,-2.0,,,,,,5.166399999999999
2025-03-16 13:13:50-07:00,6.06,174.306,9.837,15.708000000000002,19.548,415.7,7.7,74.8,1.34,1.97,2.51,15.0,0.0,-2.0,,,,,,5.4856
2025-03-16 13:14:50-07:00,6.07,173.393,8.757000000000001,15.9075,17.747999999999998,415.44,7.7,74.9,0.8,1.81,2.64,16.0,0.0,-2.0,,,,,,4.9976
2025-03-16 13:15:50-07:00,6.07,171.05,8.370000000000001,16.443,15.12,415.8,7.8,74.9,1.02,2.38,2.99,16.0,0.0,-2.0,,,,,,4.928
2025-03-16 13:16:50-07:00,6.08,173.217,7.983,16.044,14.904,416.28,7.8,74.9,0.96,1.97,2.5,17.0,0.0,-2.0,,,,,,4.556800000000001
2025-03-16 13:17:51-07:00,6.08,173.36,8.586,15.624000000000002,16.188,416.75,7.8,74.9,0.87,1.8,2.14,16.0,0.0,-2.0,,,,,,4.6776
2025-03-16 13:18:51-07:00,6.08,176.36300000000003,8.270999999999999,16.2015,17.58,416.91,7.8,74.8,0.95,1.88,2.03,16.0,0.0,-1.0,,,,,,5.02
2025-03-16 13:19:51-07:00,6.08,173.976,6.6240000000000006,15.8445,18.624,416.97,7.8,74.7,0.92,1.78,1.91,18.0,0.0,-1.0,,,,,,5.1488000000000005
2025-03-16 13:20:51-07:00,6.08,170.01600000000002,4.77,16.296,17.747999999999998,417.21,7.9,74.7,0.93,1.65,1.99,19.0,0.0,-2.0,,,,,,4.8696
2025-03-16 13:21:51-07:00,6.08,173.712,7.8660000000000005,15.7815,17.88,417.69,7.9,74.7,1.13,2.45,2.95,18.0,0.0,-2.0,,,,,,5.5360000000000005
2025-03-16 13:22:51-07:00,6.08,177.11100000000002,7.704000000000001,17.346,15.216,418.51,7.9,74.8,1.04,2.19,2.42,18.0,0.0,-1.0,,,,,,4.7952
2025-03-16 13:23:51-07:00,6.08,174.185,6.633,17.0835,16.272,418.83,7.9,74.6,1.01,1.99,2.06,17.0,0.0,-2.0,,,,,,4.8464
2025-03-16 13:24:53-07:00,6.07,175.087,9.621,15.5295,18.588,418.94,7.9,74.6,0.98,1.9,1.93,15.0,0.0,-2.0,,,,,,5.2376000000000005
2025-03-16 13:25:53-07:00,6.06,173.34900000000002,9.171,14.700000000000001,20.255999999999997,418.57,7.9,74.5,0.75,1.75,2.01,15.0,0.0,-1.0,,,,,,5.4512
2025-03-16 13:26:53-07:00,6.06,171.21500000000003,8.235000000000001,14.763000000000002,18.252,418.2,7.9,74.5,0.81,1.74,2.03,16.0,0.0,-2.0,,,,,,5.0424
2025-03-16 13:27:53-07:00,6.04,170.115,9.027,13.818000000000001,16.752,418.07,7.9,74.5,0.69,1.95,2.5,15.0,0.0,-2.0,,,,,,4.9104
2025-03-16 13:28:53-07:00,6.02,168.993,6.687,14.9835,15.719999999999999,418.03,7.9,74.6,0.93,2.28,2.69,18.0,0.0,-1.0,,,,,,4.968
2025-03-16 13:29:54-07:00,6.02,174.537,6.507000000000001,14.941500000000001,16.152,418.39,7.9,74.7,0.6,1.97,2.28,18.0,0.0,-1.0,,,,,,4.8064
2025-03-16 13:30:54-07:00,6.01,179.344,6.228,16.3485,16.02,420.13,7.9,74.8,0.79,2.21,2.57,17.0,0.0,-1.0,,,,,,4.972
2025-03-16 13:31:54-07:00,6.01,181.58800000000002,6.192,17.598000000000003,15.035999999999998,422.36,7.9,74.7,1.25,2.23,2.36,17.0,0.0,-2.0,,,,,,4.7912
2025-03-16 13:32:49-07:00,6.01,180.63100000000003,6.066000000000001,16.149,16.668,424.28,7.9,74.6,1.67,2.84,3.25,18.0,0.0,-1.0,,,,,,5.6056
2025-03-16 13:33:49-07:00,6.01,179.77300000000002,7.11,15.3405,15.828,425.89,7.9,74.7,1.49,2.57,2.88,17.0,0.0,-1.0,,,,,,5.2216000000000005
