DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,132,54,3,0,6,0.1,0.00000,0.00000.1,0.2,1601371615,AQI
2025-03-07 04:59:38-08:00,23.69,287.133,9.027,7.455,18.756,502.78,22.5,29.7,0.0,0.02,0.02,0.0,0.0,1,13.95,0.01,40.32,1,-30,37,2,4,STAT,0,LAT,LON,W,CRC,,3.7672000000000003
2025-03-07 05:00:38-08:00,23.69,268.45500000000004,10.485000000000001,7.539,19.02,502.27,22.5,29.7,0.0,0.01,0.01,0.0,0.0,1,14.23,259.55,32.05,1,-24,35,2,4,STAT,0,LAT,LON,W,CRC,,3.8120000000000003
2025-03-07 05:01:38-08:00,23.69,292.77600000000007,8.937,8.599499999999999,17.688,502.1,22.5,29.7,0.0,0.0,0.0,0.0,0.0,1,14.12,73.31,32.87,1,-32,38,1,4,STAT,0,LAT,LON,W,CRC,,3.5376
2025-03-07 05:02:38-08:00,23.69,296.098,9.756,7.780500000000001,18.36,502.03,22.5,29.7,1.68,3.15,3.79,0.0,0.0,1,14.05,20.7,32.19,1,-33,37,2,4,STAT,0,LAT,LON,W,CRC,,6.192
2025-03-07 05:03:38-08:00,23.69,290.565,9.657,8.1165,17.868,501.36,22.4,29.7,1.84,3.56,4.23,0.0,0.0,1,14.02,5.85,35.66,1,-31,37,2,3,STAT,0,LAT,LON,W,CRC,,6.4216
2025-03-07 05:04:39-08:00,23.69,289.83900000000006,10.314000000000002,7.266,20.255999999999997,501.13,22.5,29.7,2.46,4.73,5.43,0.0,0.0,1,13.98,1.65,40.86,1,-30,37,2,4,STAT,0,LAT,LON,W,CRC,,7.8352
2025-03-07 05:05:39-08:00,23.69,296.67,10.232999999999999,7.266,20.928,500.89,22.5,29.7,1.27,2.93,3.16,0.0,0.0,1,13.98,0.47,36.4,1,-31,36,2,4,STAT,0,LAT,LON,W,CRC,,6.5296
2025-03-07 05:06:39-08:00,23.69,295.82300000000004,9.819,7.392,19.416,500.96,22.5,29.7,0.42,1.4,1.6,0.0,0.0,1,13.95,0.13,35.53,1,-31,37,2,4,STAT,0,LAT,LON,W,CRC,,5.0032000000000005
2025-03-07 05:07:40-08:00,23.69,281.85300000000007,8.856,7.812000000000001,18.528,500.99,22.5,29.6,0.14,0.89,1.1,0.0,0.0,1,13.95,0.04,32.77,1,-27,37,2,4,STAT,0,LAT,LON,W,CRC,,4.4176
2025-03-07 05:08:40-08:00,23.69,289.23400000000004,8.757000000000001,7.644000000000001,20.471999999999998,501.0,22.5,29.7,0.04,0.36,0.72,0.0,0.0,1,13.95,0.01,32.73,1,-29,37,3,4,STAT,0,LAT,LON,W,CRC,,4.3824
2025-03-07 05:09:40-08:00,23.68,282.007,9.423,7.5600000000000005,19.812,501.0,22.5,29.7,0.01,0.29,0.42,0.0,0.0,1,14.23,236.91,36.36,1,-26,36,2,4,STAT,0,LAT,LON,W,CRC,,4.194400000000001
2025-03-07 05:10:40-08:00,23.68,290.279,11.645999999999999,7.2345,19.572,501.54,22.4,29.7,0.0,0.12,0.52,0.0,0.0,1,14.09,66.91,30.71,1,-31,34,2,3,STAT,0,LAT,LON,W,CRC,,4.0104
2025-03-07 05:11:40-08:00,23.68,289.81700000000006,9.801,8.904000000000002,16.811999999999998,503.58,22.4,29.7,0.0,0.21,0.34,0.0,0.0,1,14.05,18.9,37.27,1,-29,36,2,3,STAT,0,LAT,LON,W,CRC,,3.5303999999999998
2025-03-07 05:12:40-08:00,23.69,289.49800000000005,11.115,8.6835,16.704,505.65,22.4,29.7,0.0,0.4,0.45,0.0,0.0,1,14.02,5.34,36.28,1,-30,36,1,3,STAT,0,LAT,LON,W,CRC,,3.6608
