DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,132,54,3,0,6,0.1,0.00000,0.00000.1,0.2,1601371615,478,20,-2,1513535881,AQI
2025-03-07 10:35:07-08:00,22.38,313.56600000000003,9.837,12.8835,14.232,438.67,21.3,29.7,0.28,0.78,0.78,0.0,0.0,1,14.16,178.91,31.24,1,-19,31.0,1.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,3.4704
2025-03-07 10:36:08-08:00,22.37,320.8260000000001,10.782,11.865000000000002,15.768,438.66,21.3,29.7,0.09,0.43,0.43,0.0,0.0,1,14.09,50.53,37.26,1,-23,31.0,1.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,3.4976000000000003
2025-03-07 10:37:08-08:00,22.37,316.536,9.801,12.075000000000001,14.988,438.46,21.3,29.7,0.03,0.43,0.43,0.0,0.0,1,14.05,14.27,34.46,1,-21,31.0,1.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,3.3416
2025-03-07 10:38:08-08:00,22.37,313.654,10.305,12.642,14.843999999999998,438.58,21.3,29.7,0.01,0.4,0.4,0.0,0.0,1,14.02,4.03,32.98,1,-20,31.0,1.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,3.2888
2025-03-07 10:39:08-08:00,22.37,307.736,11.745000000000001,12.4425,14.843999999999998,438.33,21.3,29.7,0.0,0.41,0.41,0.0,0.0,1,13.98,1.14,33.17,1,-19,30.0,2.0,4.0,STAT,0,LAT,LON,W,CRC,,,,,,3.2967999999999997
2025-03-07 10:40:08-08:00,22.37,317.05300000000005,9.054,12.222000000000001,13.943999999999999,438.12,21.3,29.7,0.0,0.38,0.97,0.0,0.0,1,13.98,0.32,33.2,1,-20,32.0,1.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,3.0928000000000004
2025-03-07 10:41:07-08:00,22.37,316.415,10.179,12.159,14.7,438.04,21.3,29.7,0.17,0.79,1.0,0.0,0.0,1,13.95,0.09,31.7,1,-20,31.0,2.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,3.572
2025-03-07 10:42:07-08:00,22.36,316.73400000000004,8.856,11.802000000000001,15.395999999999999,438.01,21.3,29.6,0.28,0.96,1.23,0.0,0.0,1,13.95,0.03,35.21,1,-20,32.0,1.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,3.8472
2025-03-07 10:43:08-08:00,22.34,309.947,10.188,12.243,14.531999999999998,438.27,21.2,29.6,0.33,0.91,1.2,0.0,0.0,1,13.91,0.01,34.96,1,-19,31.0,1.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,3.6344
2025-03-07 10:44:08-08:00,22.32,315.56800000000004,8.667000000000002,12.537,15.395999999999999,438.13,21.3,29.6,0.1,0.53,0.67,0.0,0.0,1,14.16,143.3,29.94,1,-21,31.0,1.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,3.5032
