DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,123,45,-2,-3,6,0,0.00000,0.00000.1,0.1,4090802661,93,43,1,-1,1737978310,AQI
2025-03-09 12:23:05-07:00,21.98,307.29600000000005,11.241,9.723,14.112,400.0,21.0,34.9,0.38,1.44,1.52,0.0,0.0,1,13.98,0.15,32.05,1,-53,27.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,3.9744
2025-03-09 12:24:05-07:00,21.98,302.786,11.943,9.324000000000002,14.735999999999999,400.0,21.0,34.8,0.12,0.97,1.29,0.0,0.0,1,13.95,0.04,33.99,1,-51,27.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,3.7232000000000003
2025-03-09 12:25:06-07:00,21.98,302.313,11.727,9.4605,14.411999999999999,400.0,21.0,34.7,0.1,0.45,0.56,0.0,0.0,1,13.91,0.01,35.96,1,-51,27.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,3.2424
2025-03-09 12:26:06-07:00,21.98,299.882,13.698,9.639,14.508,400.0,21.0,34.7,0.1,1.07,1.29,0.0,0.0,1,14.19,186.74,31.63,1,-50,25.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,3.7576
2025-03-09 12:27:06-07:00,21.98,302.797,11.934,8.9985,14.831999999999999,400.0,21.0,34.8,0.2,1.0,1.4,0.0,0.0,1,14.09,52.74,31.98,1,-53,27.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,3.7664
2025-03-09 12:28:06-07:00,21.98,303.204,11.754000000000001,9.093,15.431999999999999,400.0,21.0,34.8,0.23,0.97,1.17,0.0,0.0,1,14.05,14.9,33.16,1,-52,26.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,3.8624
2025-03-09 12:29:06-07:00,21.98,302.68700000000007,12.438,9.575999999999999,14.531999999999998,400.54,21.0,34.8,0.45,1.28,1.48,0.0,0.0,1,14.02,4.21,34.99,1,-51,26.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,3.9303999999999997
2025-03-09 12:30:06-07:00,21.98,301.53200000000004,12.789000000000001,8.8305,16.8,400.84,21.0,34.7,0.15,1.18,1.52,0.0,0.0,1,13.98,1.19,38.31,1,-51,25.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,4.304
2025-03-09 12:31:06-07:00,21.98,301.884,11.889000000000001,9.072000000000001,16.968,400.94,21.0,34.8,0.12,1.05,1.22,0.0,0.0,1,13.98,0.34,38.04,1,-51,27.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,4.2336
2025-03-09 12:32:07-07:00,21.98,304.106,12.348,8.5785,16.343999999999998,400.98,21.0,34.7,0.22,1.39,1.72,0.0,0.0,1,13.95,0.09,33.07,1,-52,26.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,4.3808
2025-03-09 12:33:07-07:00,21.98,296.26300000000003,13.770000000000001,8.9145,16.368,400.99,21.0,34.7,0.1,1.02,1.16,0.0,0.0,1,13.95,0.03,33.26,1,-50,25.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,4.0896
2025-03-09 12:34:07-07:00,21.98,300.058,13.895999999999999,8.547,16.68,401.0,21.0,34.8,0.2,0.99,1.57,0.0,0.0,1,13.91,0.01,33.85,1,-51,25.0,1.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,4.128
2025-03-09 12:35:08-07:00,21.98,297.286,13.239,8.9565,16.008,401.0,21.0,34.7,0.25,1.4,1.86,0.0,0.0,1,14.16,171.28,34.53,1,-50,26.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,4.3216
2025-03-09 12:36:08-07:00,21.98,307.16400000000004,11.817,8.946,16.152,401.0,21.0,34.7,0.49,1.23,1.59,0.0,0.0,1,14.09,48.38,34.89,1,-53,27.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,4.2144
2025-03-09 12:37:08-07:00,21.98,297.66,12.96,9.177000000000001,15.636,401.0,21.0,34.8,0.22,1.02,1.19,0.0,0.0,1,14.05,13.66,35.38,1,-51,25.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,3.9432
