DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,134,53,997008311,52,1,-3,4229343513,AQI
2025-03-11 10:49:48-07:00,22.09,335.599,9.216000000000001,11.172,17.735999999999997,404.27,21.1,29.9,0.0,0.0,0.0,29,1.0,,,,,,3.5471999999999997
2025-03-11 10:50:49-07:00,22.09,336.03900000000004,9.629999999999999,10.993500000000001,17.496,404.24,21.1,29.9,0.0,0.47,0.47,28,2.0,,,,,,3.8752
2025-03-11 10:51:49-07:00,22.09,307.01000000000005,9.945,10.290000000000001,18.864,403.68,21.1,29.9,0.0,0.23,0.23,28,2.0,,,,,,3.9568000000000003
2025-03-11 10:52:49-07:00,22.09,337.689,11.007000000000001,10.731000000000002,16.968,403.3,21.1,29.9,0.0,0.08,0.08,28,1.0,,,,,,3.4576000000000002
2025-03-11 10:53:50-07:00,22.09,329.08700000000005,10.188,10.668000000000001,17.508,403.75,21.1,29.8,0.0,0.02,0.02,29,1.0,,,,,,3.5176
2025-03-11 10:54:50-07:00,22.09,325.6,11.511,10.7415,16.116,403.91,21.1,29.8,0.0,0.01,0.01,28,2.0,,,,,,3.2312000000000003
2025-03-11 10:55:50-07:00,22.09,337.524,9.612,10.615499999999999,17.22,403.82,21.1,29.8,0.0,0.0,0.0,30,1.0,,,,,,3.444
2025-03-11 10:56:50-07:00,22.09,332.882,8.874,10.899000000000001,18.372,403.94,21.1,29.9,0.0,0.0,0.13,29,1.0,,,,,,3.6744000000000003
2025-03-11 10:57:50-07:00,22.09,333.938,9.639000000000001,10.542,16.907999999999998,403.98,21.1,29.9,0.0,0.16,0.23,29,1.0,,,,,,3.5096
2025-03-11 10:58:51-07:00,22.09,328.07500000000005,11.574,10.8465,16.776,403.99,21.1,29.9,0.0,0.16,0.18,27,2.0,,,,,,3.4832
2025-03-11 10:59:51-07:00,22.09,333.10200000000003,10.44,10.8885,17.088,404.0,21.1,29.8,0.0,0.05,0.06,28,1.0,,,,,,3.4576000000000002
2025-03-11 11:00:51-07:00,22.08,318.03200000000004,10.017000000000001,10.332,17.88,404.0,21.1,29.8,0.0,0.02,0.02,29,2.0,,,,,,3.592
2025-03-11 11:01:51-07:00,22.08,333.399,11.232000000000001,10.636500000000002,18.828,404.0,21.1,29.9,0.0,0.01,0.28,28,2.0,,,,,,3.7736
2025-03-11 11:02:51-07:00,22.08,337.94200000000006,11.367,10.311,18.407999999999998,404.0,21.0,29.9,0.0,0.03,0.12,28,2.0,,,,,,3.7055999999999996
2025-03-11 11:03:50-07:00,22.08,336.64400000000006,10.161,11.214,17.664,404.0,21.1,30.0,0.0,0.01,0.04,29,1.0,,,,,,3.5408000000000004
2025-03-11 11:04:50-07:00,22.08,334.55400000000003,9.819,11.791500000000001,16.56,404.0,21.1,30.0,0.0,0.0,0.01,29,1.0,,,,,,3.312
2025-03-11 11:05:50-07:00,22.09,332.486,8.487,11.571,17.747999999999998,404.14,21.1,30.1,0.0,0.04,0.05,29,1.0,,,,,,3.5816
2025-03-11 11:06:51-07:00,22.08,333.322,10.818,11.434500000000002,16.74,403.83,21.1,30.1,0.0,0.01,0.02,28,1.0,,,,,,3.356
2025-03-11 11:07:51-07:00,22.08,326.854,10.305,11.791500000000001,16.523999999999997,403.94,21.0,30.1,0.0,0.0,0.01,28,1.0,,,,,,3.3047999999999997
2025-03-11 11:08:51-07:00,22.08,319.847,10.557,11.424000000000001,16.836,403.98,21.0,30.1,0.0,0.0,0.0,27,2.0,,,,,,3.3672
2025-03-11 11:09:51-07:00,22.08,336.84200000000004,9.774,11.4555,16.5,403.99,21.0,30.0,0.0,0.0,0.0,29,1.0,,,,,,3.3000000000000003
2025-03-11 11:10:51-07:00,22.08,339.9440000000001,9.711,10.983,16.164,404.0,21.0,29.9,0.0,0.0,0.0,29,1.0,,,,,,3.2328000000000006
2025-03-11 11:11:51-07:00,22.08,333.54200000000003,9.351,10.836,17.676,404.0,21.1,29.9,0.0,0.0,0.0,30,2.0,,,,,,3.5351999999999997
2025-03-11 11:12:51-07:00,22.07,330.869,10.953,11.8125,15.504,404.0,21.1,29.9,0.0,0.02,0.02,28,2.0,,,,,,3.1168
2025-03-11 11:13:53-07:00,22.07,332.92600000000004,8.694,10.4265,17.868,404.0,21.1,29.9,0.0,0.01,0.01,29,1.0,,,,,,3.5816
2025-03-11 11:14:53-07:00,22.07,331.93600000000004,10.026000000000002,11.2245,16.631999999999998,404.0,21.0,29.9,0.0,0.0,0.0,29,1.0,,,,,,3.3263999999999996
2025-03-11 11:15:53-07:00,22.07,331.023,9.99,11.655,16.764,404.0,21.0,29.9,0.0,0.0,0.0,29,1.0,,,,,,3.3528000000000002
2025-03-11 11:16:53-07:00,22.07,328.82300000000004,8.829,11.591999999999999,16.38,404.0,21.0,30.0,0.0,0.0,0.09,31,1.0,,,,,,3.276
2025-03-11 11:17:53-07:00,22.06,316.52500000000003,9.693,11.382,16.704,404.0,21.0,30.0,0.0,0.0,0.05,29,1.0,,,,,,3.3408
2025-03-11 11:18:52-07:00,22.05,341.077,9.270000000000001,11.0775,16.356,404.0,21.0,30.1,0.0,0.0,0.02,29,1.0,,,,,,3.2712000000000003
2025-03-11 11:19:52-07:00,22.04,327.547,10.728,11.718,14.988,404.0,21.0,30.1,0.0,0.0,0.01,28,2.0,,,,,,2.9976000000000003
2025-03-11 11:20:52-07:00,22.03,325.30300000000005,10.71,11.340000000000002,15.6,404.0,21.0,30.0,0.0,0.0,0.0,28,2.0,,,,,,3.12
2025-03-11 11:21:52-07:00,22.01,328.438,10.062,11.2245,15.96,404.62,21.0,30.0,0.0,0.0,0.0,28,2.0,,,,,,3.192
