DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,167,50,3,1973479744,93,43,1,-2,480185926,AQI
2025-03-15 09:39:26-07:00,22.4,322.63000000000005,10.476,9.9855,16.32,406.34,21.4,26.8,4.72,6.88,6.9,30.0,2.0,3.0,,,,,,,8.768
2025-03-15 09:40:26-07:00,22.39,326.06200000000007,10.520999999999999,9.964500000000001,16.212,406.12,21.4,26.8,4.65,6.82,6.83,30.0,2.0,3.0,,,,,,,8.6984
2025-03-15 09:41:27-07:00,22.39,290.994,10.872,9.009,17.784,406.04,21.4,26.8,4.88,7.08,7.24,30.0,3.0,3.0,,,,,,,9.2208
2025-03-15 09:42:27-07:00,22.39,319.90200000000004,12.429,10.100999999999999,16.727999999999998,406.02,21.4,26.9,4.69,7.21,7.43,28.0,2.0,3.0,,,,,,,9.1136
2025-03-15 09:43:27-07:00,22.39,324.445,9.72,10.416,16.368,406.01,21.4,26.8,4.73,6.78,6.86,30.0,2.0,3.0,,,,,,,8.697600000000001
2025-03-15 09:44:27-07:00,22.39,318.67,10.620000000000001,10.006499999999999,16.128,406.0,21.4,26.8,4.61,6.79,7.14,30.0,2.0,3.0,,,,,,,8.6576
2025-03-15 09:45:26-07:00,22.39,314.27000000000004,10.89,10.08,17.064,405.71,21.4,26.8,4.27,6.37,6.64,29.0,2.0,3.0,,,,,,,8.5088
2025-03-15 09:46:26-07:00,22.39,319.05500000000006,10.881,10.6575,15.647999999999998,405.54,21.4,26.8,4.74,7.27,7.49,29.0,2.0,3.0,,,,,,,8.945599999999999
2025-03-15 09:47:26-07:00,22.39,312.884,10.170000000000002,10.1325,17.447999999999997,404.4,21.4,26.8,5.03,7.31,7.44,30.0,2.0,4.0,,,,,,,9.337599999999998
2025-03-15 09:48:26-07:00,22.39,324.96200000000005,12.402,9.9015,16.907999999999998,404.14,21.4,26.8,4.56,6.62,6.66,28.0,2.0,4.0,,,,,,,8.6776
2025-03-15 09:49:26-07:00,22.39,321.882,12.231,10.216500000000002,16.128,404.55,21.4,26.8,4.65,6.72,6.73,28.0,2.0,4.0,,,,,,,8.601600000000001
2025-03-15 09:50:28-07:00,22.39,306.32800000000003,12.357000000000001,9.586500000000001,19.032,404.84,21.4,26.8,4.38,6.39,6.39,28.0,1.0,5.0,,,,,,,8.9184
2025-03-15 09:51:28-07:00,22.39,335.13700000000006,11.565,10.9515,15.935999999999998,404.94,21.4,26.9,4.55,6.46,6.46,28.0,1.0,4.0,,,,,,,8.3552
2025-03-15 09:52:28-07:00,22.39,331.41900000000004,10.008,10.195500000000001,17.003999999999998,405.6,21.4,26.9,4.18,6.09,6.09,29.0,1.0,4.0,,,,,,,8.2728
2025-03-15 09:53:28-07:00,22.39,329.76900000000006,11.547,9.765,15.852,405.86,21.4,26.8,4.42,6.33,6.33,28.0,2.0,3.0,,,,,,,8.2344
2025-03-15 09:54:28-07:00,22.39,317.911,11.277,9.996,17.003999999999998,405.95,21.4,26.8,4.47,6.61,6.77,30.0,2.0,4.0,,,,,,,8.6888
2025-03-15 09:55:28-07:00,22.39,314.468,12.870000000000001,10.384500000000001,16.188,405.83,21.4,26.9,4.8,7.25,7.37,29.0,2.0,3.0,,,,,,,9.037600000000001
