DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,93,43,1,-2,480185926,83,46,2,-1,3910151013,AQI
2025-03-16 08:26:16-07:00,21.8,280.59900000000005,10.98,9.491999999999999,16.848,403.05,20.8,30.6,4.31,6.29,6.41,27.0,1.0,3.0,STAT,,,,,,,8.4016
2025-03-16 08:27:16-07:00,21.8,289.531,11.025,9.575999999999999,16.56,403.09,20.8,30.6,4.24,5.89,5.93,28.0,1.0,2.0,STAT,,,,,,,8.024
2025-03-16 08:28:16-07:00,21.8,280.17,11.223,9.324000000000002,16.032,403.03,20.8,30.6,3.94,5.74,5.75,27.0,0.0,1.0,STAT,,,,,,,7.798400000000001
2025-03-16 08:29:16-07:00,21.8,265.93600000000004,10.044,8.799000000000001,16.884,403.01,20.8,30.7,4.15,6.06,6.07,27.0,1.0,2.0,STAT,,,,,,,8.2248
2025-03-16 08:30:16-07:00,21.8,284.60300000000007,9.063,9.261000000000001,15.96,403.0,20.8,30.7,4.36,6.4,6.56,28.0,1.0,2.0,STAT,,,,,,,8.312000000000001
2025-03-16 08:31:16-07:00,21.8,280.137,10.791,9.7335,16.331999999999997,403.11,20.9,30.6,4.63,6.42,6.86,27.0,1.0,2.0,STAT,,,,,,,8.4024
2025-03-16 08:32:16-07:00,21.8,294.42600000000004,11.664000000000001,9.702,16.032,403.04,20.8,30.7,4.18,6.08,6.4,27.0,1.0,2.0,STAT,,,,,,,8.070400000000001
2025-03-16 08:33:15-07:00,21.8,282.95300000000003,12.096,9.145500000000002,17.939999999999998,403.01,20.8,30.7,4.75,6.53,6.64,26.0,1.0,3.0,STAT,,,,,,,8.812
2025-03-16 08:34:16-07:00,21.8,285.24100000000004,11.097,9.145500000000002,18.84,403.0,20.8,30.7,5.16,7.17,7.99,27.0,0.0,2.0,STAT,,,,,,,9.504000000000001
2025-03-16 08:35:16-07:00,21.8,281.16,11.322000000000001,9.9225,17.964,403.0,20.8,30.7,5.03,7.36,7.62,27.0,1.0,3.0,STAT,,,,,,,9.4808
2025-03-16 08:36:16-07:00,21.8,281.897,11.835,9.964500000000001,17.616,403.0,20.8,30.7,4.86,6.82,7.06,26.0,1.0,3.0,STAT,,,,,,,8.9792
2025-03-16 08:37:16-07:00,21.8,281.699,10.773000000000001,10.038,15.515999999999998,403.0,20.8,30.7,4.39,6.45,6.54,28.0,1.0,2.0,STAT,,,,,,,8.2632
