DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,83,46,2,-1,3910151013,3,2341516188,AQI
2025-03-17 16:49:49-07:00,21.49,260.26,10.908,12.211500000000001,15.203999999999999,431.4,20.6,29.9,3.05,4.71,4.71,26.0,1,2.0,STAT,,,,6.8088
2025-03-17 16:50:49-07:00,21.49,258.995,8.712,12.306000000000001,14.76,432.93,20.6,29.9,3.13,4.51,4.59,28.0,1,2.0,STAT,,,,6.5600000000000005
2025-03-17 16:51:49-07:00,21.49,265.452,10.232999999999999,13.23,14.868,434.92,20.6,30.0,2.82,4.28,4.3,27.0,1,3.0,STAT,,,,6.397600000000001
2025-03-17 16:52:49-07:00,21.49,269.324,10.899,11.865000000000002,16.308,436.07,20.6,30.0,3.19,4.69,4.88,26.0,1,3.0,STAT,,,,7.0136
2025-03-17 16:53:49-07:00,21.49,264.187,10.26,11.8755,16.068,436.62,20.6,29.9,2.87,4.18,4.24,27.0,0,3.0,STAT,,,,6.557600000000001
2025-03-17 16:54:50-07:00,21.49,261.415,10.638,11.991,16.368,436.87,20.6,30.0,3.2,4.57,4.59,27.0,1,2.0,STAT,,,,6.929600000000001
2025-03-17 16:55:51-07:00,21.49,258.973,10.26,12.411000000000001,16.439999999999998,437.57,20.6,30.0,2.91,4.36,4.36,26.0,1,3.0,STAT,,,,6.776
2025-03-17 16:56:51-07:00,21.49,263.03200000000004,10.071,12.9465,13.752,438.5,20.6,30.0,3.02,4.49,4.49,27.0,1,2.0,STAT,,,,6.342400000000001
2025-03-17 16:57:51-07:00,21.5,259.666,8.928,12.894,15.576,439.22,20.6,29.9,2.95,4.48,4.48,28.0,1,3.0,STAT,,,,6.699200000000001
2025-03-17 16:58:51-07:00,21.49,255.84900000000002,10.638,13.041,15.011999999999999,439.08,20.6,30.0,2.92,4.4,4.4,27.0,1,3.0,STAT,,,,6.5224
2025-03-17 16:59:51-07:00,21.5,238.44700000000003,10.053,11.571,17.04,439.03,20.6,29.9,2.96,4.08,4.16,27.0,2,3.0,STAT,,,,6.672000000000001
2025-03-17 17:00:51-07:00,21.5,257.32300000000004,11.286,12.8835,15.168,438.47,20.6,29.9,2.56,3.99,4.02,27.0,1,2.0,STAT,,,,6.2256
2025-03-17 17:01:52-07:00,21.5,269.17,9.99,12.537,15.323999999999998,437.93,20.6,29.9,2.61,4.28,4.51,28.0,1,2.0,STAT,,,,6.4888
2025-03-17 17:02:52-07:00,21.5,268.708,11.547,13.188,14.616,437.1,20.6,30.0,3.15,4.71,4.79,27.0,1,2.0,STAT,,,,6.6912
2025-03-17 17:03:52-07:00,21.5,260.07300000000004,10.754999999999999,12.621,15.899999999999999,436.39,20.7,30.0,2.63,4.18,4.21,27.0,1,3.0,STAT,,,,6.523999999999999
2025-03-17 17:04:52-07:00,21.5,256.696,10.899,12.39,15.468,436.28,20.6,30.0,2.94,4.16,4.17,27.0,1,2.0,STAT,,,,6.421600000000001
2025-03-17 17:05:52-07:00,21.5,254.81500000000003,10.134,12.6735,15.288,436.72,20.6,29.8,3.55,5.02,5.03,28.0,1,3.0,STAT,,,,7.073600000000001
2025-03-17 17:06:52-07:00,21.5,261.327,9.837,12.747000000000002,14.7,436.32,20.6,30.0,3.53,4.96,4.98,27.0,2,2.0,STAT,,,,6.9079999999999995
2025-03-17 17:07:52-07:00,21.5,236.89600000000004,12.177,11.896500000000001,15.515999999999998,436.11,20.6,30.0,3.58,4.89,4.9,26.0,2,3.0,STAT,,,,7.0152
2025-03-17 17:08:52-07:00,21.5,262.911,12.447000000000001,11.7495,15.719999999999999,435.84,20.7,29.9,4.22,5.77,5.88,25.0,1,2.0,STAT,,,,7.76
2025-03-17 17:09:52-07:00,21.5,264.40700000000004,12.159,11.655,15.768,435.15,20.6,29.9,4.48,6.31,6.41,25.0,1,2.0,STAT,,,,8.201600000000001
2025-03-17 17:10:53-07:00,21.5,262.93300000000005,10.782,11.413499999999999,16.068,434.44,20.7,29.9,4.4,5.77,5.97,26.0,1,2.0,STAT,,,,7.8296
2025-03-17 17:11:53-07:00,21.5,259.259,11.088000000000001,12.820500000000001,15.803999999999998,433.93,20.7,29.8,4.62,6.45,6.76,26.0,1,3.0,STAT,,,,8.3208
2025-03-17 17:12:53-07:00,21.5,269.709,11.088000000000001,12.096,16.235999999999997,433.97,20.6,29.9,4.0,5.92,6.26,26.0,1,3.0,STAT,,,,7.983199999999999
