DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,215,43,2,-2,709401014,188,44,1,2032539992,AQI
2025-03-20 19:15:17-07:00,22.69,322.663,12.051,11.1195,17.724,446.97,21.6,31.1,0.0,0.02,0.05,27.0,1.0,2.0,STAT,,,,,,3.5608000000000004
2025-03-20 19:16:17-07:00,22.69,315.62300000000005,11.889000000000001,11.8335,17.352,447.07,21.6,31.1,0.0,0.05,0.06,28.0,1.0,2.0,STAT,,,,,,3.5104
2025-03-20 19:17:18-07:00,22.69,316.965,11.709,11.098500000000001,17.184,447.48,21.6,31.1,0.0,0.02,0.02,27.0,1.0,2.0,STAT,,,,,,3.4528000000000003
2025-03-20 19:18:18-07:00,22.69,318.08700000000005,11.25,11.802000000000001,15.911999999999999,447.82,21.7,31.1,0.0,0.01,0.01,28.0,1.0,2.0,STAT,,,,,,3.1904
2025-03-20 19:19:18-07:00,22.69,317.009,11.43,11.865000000000002,15.911999999999999,447.94,21.7,31.2,0.0,0.0,0.0,28.0,1.0,2.0,STAT,,,,,,3.1824
2025-03-20 19:20:19-07:00,22.69,311.377,11.322000000000001,11.2035,17.496,447.98,21.7,31.2,0.0,0.0,0.0,29.0,1.0,2.0,STAT,,,,,,3.4992
2025-03-20 19:21:19-07:00,22.69,315.70000000000005,11.232000000000001,10.7415,18.588,448.4,21.6,31.2,0.0,0.0,0.0,28.0,1.0,2.0,STAT,,,,,,3.7176000000000005
2025-03-20 19:22:19-07:00,22.69,294.88800000000003,10.431000000000001,10.153500000000001,18.336,449.2,21.7,31.2,0.0,0.0,0.0,28.0,2.0,2.0,STAT,,,,,,3.6672
2025-03-20 19:23:19-07:00,22.69,309.375,10.754999999999999,10.857000000000001,17.268,450.36,21.7,31.1,0.0,0.13,0.36,28.0,0.0,2.0,STAT,,,,,,3.5576000000000003
2025-03-20 19:24:19-07:00,22.69,316.074,11.196,9.8385,19.464,451.39,21.7,31.1,0.0,0.04,0.21,28.0,1.0,2.0,STAT,,,,,,3.9248
2025-03-20 19:25:19-07:00,22.69,317.119,12.204,10.5315,18.503999999999998,452.79,21.7,31.2,0.0,0.01,0.08,28.0,0.0,2.0,STAT,,,,,,3.7087999999999997
2025-03-20 19:26:20-07:00,22.69,309.35300000000007,11.718,10.794,16.919999999999998,454.72,21.7,31.2,0.0,0.01,0.03,28.0,1.0,2.0,STAT,,,,,,3.392
2025-03-20 19:27:20-07:00,22.69,309.408,11.799,10.5105,17.16,455.84,21.7,31.1,0.0,0.34,0.62,28.0,1.0,1.0,STAT,,,,,,3.7040000000000006
2025-03-20 19:28:21-07:00,22.69,309.716,12.770999999999999,10.4055,18.24,457.09,21.7,31.2,0.0,0.13,0.23,27.0,1.0,2.0,STAT,,,,,,3.752
2025-03-20 19:29:21-07:00,22.69,302.709,10.719000000000001,10.4685,17.016,457.68,21.7,31.2,0.0,0.04,0.21,28.0,1.0,2.0,STAT,,,,,,3.4352
2025-03-20 19:30:21-07:00,22.69,305.60200000000003,11.808,10.993500000000001,17.172,457.89,21.7,31.3,0.0,0.01,0.07,28.0,1.0,2.0,STAT,,,,,,3.4424
2025-03-20 19:31:21-07:00,22.69,286.649,12.096,9.66,19.056,458.46,21.7,31.2,0.0,0.0,0.02,28.0,2.0,2.0,STAT,,,,,,3.8112000000000004
2025-03-20 19:32:21-07:00,22.69,316.415,11.673,10.479000000000001,17.964,459.62,21.7,31.2,0.0,0.0,0.01,29.0,0.0,2.0,STAT,,,,,,3.5928
2025-03-20 19:33:21-07:00,22.69,316.83299999999997,10.953,10.374,15.911999999999999,461.53,21.7,31.3,0.0,0.0,0.0,28.0,0.0,1.0,STAT,,,,,,3.1824
2025-03-20 19:34:22-07:00,22.69,312.653,10.935,9.964500000000001,17.328,465.5,21.7,31.3,0.0,0.0,0.0,28.0,1.0,2.0,STAT,,,,,,3.4656000000000002
2025-03-20 19:35:22-07:00,22.71,320.43000000000006,11.367,10.311,18.119999999999997,471.76,21.7,31.3,0.0,0.0,0.0,29.0,2.0,2.0,STAT,,,,,,3.6239999999999997
2025-03-20 19:36:22-07:00,22.73,311.993,11.501999999999999,10.773,16.727999999999998,475.8,21.7,31.3,0.0,0.15,0.15,28.0,1.0,2.0,STAT,,,,,,3.4656
2025-03-20 19:37:22-07:00,22.75,314.072,10.089,10.374,17.964,477.34,21.7,31.2,0.0,0.05,0.27,29.0,1.0,2.0,STAT,,,,,,3.6328
2025-03-20 19:38:17-07:00,22.76,316.16200000000003,10.899,10.279499999999999,17.747999999999998,477.29,21.7,31.2,0.0,0.03,0.1,29.0,1.0,1.0,STAT,,,,,,3.5736
2025-03-20 19:39:17-07:00,22.77,318.78000000000003,10.629000000000001,9.7125,18.456,476.7,21.7,31.2,0.0,0.13,0.32,28.0,1.0,1.0,STAT,,,,,,3.7952000000000004
2025-03-20 19:40:18-07:00,22.77,314.29200000000003,12.222,10.3425,17.412,475.84,21.7,31.2,0.0,0.04,0.15,28.0,1.0,2.0,STAT,,,,,,3.5144
2025-03-20 19:41:18-07:00,22.77,306.33900000000006,11.376000000000001,10.762500000000001,16.56,473.56,21.7,31.2,0.0,0.01,0.05,29.0,0.0,1.0,STAT,,,,,,3.32
2025-03-20 19:42:18-07:00,22.78,312.653,10.881,10.437,17.04,470.42,21.7,31.3,0.0,0.0,0.25,28.0,1.0,2.0,STAT,,,,,,3.408
2025-03-20 19:43:19-07:00,22.78,305.591,10.206,10.825500000000002,17.483999999999998,468.24,21.7,31.2,0.0,0.04,0.12,29.0,1.0,2.0,STAT,,,,,,3.5288
2025-03-20 19:44:19-07:00,22.79,317.02000000000004,9.72,10.6575,17.532,467.44,21.7,31.2,0.0,0.08,0.11,28.0,1.0,3.0,STAT,,,,,,3.5704000000000002
2025-03-20 19:45:19-07:00,22.78,311.81700000000006,10.520999999999999,10.206000000000001,17.352,466.92,21.7,31.1,0.0,0.03,0.04,30.0,1.0,2.0,STAT,,,,,,3.4944
2025-03-20 19:46:19-07:00,22.79,307.63700000000006,11.565,10.563,17.76,465.82,21.7,31.1,0.0,0.01,0.01,28.0,1.0,2.0,STAT,,,,,,3.5600000000000005
2025-03-20 19:47:20-07:00,22.79,306.966,11.645999999999999,10.626,17.052,464.87,21.7,31.1,0.0,0.2,0.33,28.0,1.0,2.0,STAT,,,,,,3.5704000000000002
2025-03-20 19:48:20-07:00,22.78,284.702,10.836,10.311,16.823999999999998,464.31,21.8,31.2,0.0,0.07,0.11,29.0,2.0,2.0,STAT,,,,,,3.4208
2025-03-20 19:49:20-07:00,22.79,314.03900000000004,10.791,10.920000000000002,15.468,464.53,21.7,31.2,0.0,0.02,0.04,29.0,1.0,1.0,STAT,,,,,,3.1096000000000004
2025-03-20 19:50:20-07:00,22.79,306.625,11.151000000000002,11.182500000000001,16.212,464.83,21.8,31.1,0.0,0.01,0.03,28.0,1.0,2.0,STAT,,,,,,3.2504
2025-03-20 19:51:20-07:00,22.79,314.743,10.098,10.4475,17.52,464.75,21.7,31.2,0.0,0.0,0.01,30.0,1.0,2.0,STAT,,,,,,3.504
2025-03-20 19:52:20-07:00,22.79,314.204,11.457,10.825500000000002,18.564,464.75,21.7,31.3,0.0,0.0,0.0,28.0,1.0,2.0,STAT,,,,,,3.7128
2025-03-20 19:53:20-07:00,22.79,306.119,11.691,9.880500000000001,17.676,464.26,21.8,31.2,0.0,0.0,0.0,27.0,1.0,1.0,STAT,,,,,,3.5351999999999997
2025-03-20 19:54:21-07:00,22.79,307.50500000000005,12.528,9.765,17.232,464.25,21.8,31.2,0.0,0.0,0.0,27.0,1.0,1.0,STAT,,,,,,3.4464
2025-03-20 19:55:21-07:00,22.79,299.035,11.178,10.437,16.704,464.74,21.8,31.2,0.0,0.0,0.31,28.0,1.0,1.0,STAT,,,,,,3.3408
2025-03-20 19:56:21-07:00,22.79,303.259,10.134,10.290000000000001,18.119999999999997,465.26,21.8,31.0,0.0,0.0,0.1,30.0,1.0,2.0,STAT,,,,,,3.6239999999999997
2025-03-20 19:57:21-07:00,22.79,304.425,10.836,10.353,17.856,465.74,21.8,31.1,0.0,0.23,0.27,27.0,0.0,2.0,STAT,,,,,,3.7552000000000008
2025-03-20 19:58:21-07:00,22.79,312.58700000000005,11.367,9.597000000000001,18.24,468.01,21.8,31.1,0.0,0.08,0.09,28.0,0.0,2.0,STAT,,,,,,3.7119999999999997
2025-03-20 19:59:21-07:00,22.79,316.404,12.204,9.933000000000002,18.78,469.54,21.8,31.1,0.0,0.03,0.03,28.0,1.0,2.0,STAT,,,,,,3.7800000000000002
2025-03-20 20:00:21-07:00,22.79,317.757,14.067,10.0905,18.348,469.92,21.8,31.1,0.0,0.01,0.01,27.0,1.0,2.0,STAT,,,,,,3.6776
2025-03-20 20:01:22-07:00,22.79,317.141,12.770999999999999,9.282,17.856,470.88,21.8,31.1,0.0,0.0,0.0,27.0,1.0,2.0,STAT,,,,,,3.5712000000000006
2025-03-20 20:02:22-07:00,22.79,310.16700000000003,10.737,9.9015,16.944,472.55,21.8,31.0,0.0,0.0,0.0,29.0,1.0,2.0,STAT,,,,,,3.3888
2025-03-20 20:03:22-07:00,22.82,310.71700000000004,11.655,10.489500000000001,16.116,475.18,21.8,31.1,0.0,0.18,0.22,28.0,1.0,2.0,STAT,,,,,,3.3672000000000004
2025-03-20 20:04:22-07:00,22.84,310.684,12.249,9.933000000000002,16.907999999999998,479.22,21.8,31.1,0.0,0.1,0.11,28.0,1.0,2.0,STAT,,,,,,3.4616
2025-03-20 20:05:22-07:00,22.86,304.01800000000003,11.655,9.6285,19.08,482.79,21.8,31.1,0.0,0.07,0.08,28.0,1.0,2.0,STAT,,,,,,3.872
2025-03-20 20:06:22-07:00,22.86,313.06000000000006,11.97,9.786000000000001,18.072,485.75,21.8,31.1,0.0,0.02,0.03,29.0,1.0,2.0,STAT,,,,,,3.6304
2025-03-20 20:07:22-07:00,22.87,314.424,12.042000000000002,9.2295,17.952,488.19,21.8,31.1,0.0,0.01,0.07,28.0,1.0,2.0,STAT,,,,,,3.5984000000000007
2025-03-20 20:08:22-07:00,22.87,306.69100000000003,12.357000000000001,8.473500000000001,18.18,491.39,21.8,31.2,0.0,0.19,0.21,27.0,1.0,1.0,STAT,,,,,,3.7880000000000003
2025-03-20 20:09:23-07:00,22.87,308.836,13.761,9.418500000000002,16.692,496.89,21.8,31.1,0.0,0.06,0.19,27.0,1.0,1.0,STAT,,,,,,3.3864
2025-03-20 20:10:23-07:00,22.88,311.85,13.275,9.093,16.619999999999997,500.75,21.8,31.1,0.0,0.02,0.16,27.0,1.0,2.0,STAT,,,,,,3.34
