DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,188,44,1,2032539992,193,42,-4,1430983627,AQI
2025-03-21 18:13:07-07:00,22.19,324.42300000000006,9.054,15.225000000000001,15.899999999999999,441.84,21.2,32.2,-1.0,-1.0,-1.0,28.0,1.0,2.0,,,,,,2.38
2025-03-21 18:14:07-07:00,22.19,323.994,10.062,13.6605,18.564,441.78,21.2,32.2,-1.0,-1.0,-1.0,27.0,1.0,2.0,,,,,,2.9128
2025-03-21 18:15:08-07:00,22.19,323.598,10.512,13.440000000000001,18.756,440.98,21.3,32.2,0.18,0.89,0.92,27.0,1.0,2.0,,,,,,4.4632000000000005
2025-03-21 18:16:04-07:00,22.19,323.91700000000003,10.044,14.679,17.195999999999998,439.48,21.3,32.2,0.15,0.9,0.91,28.0,1.0,2.0,,,,,,4.159199999999999
2025-03-21 18:17:04-07:00,22.19,326.854,12.042000000000002,14.007,16.764,438.52,21.3,32.1,0.11,0.62,0.85,26.0,1.0,1.0,,,,,,3.8488
2025-03-21 18:18:05-07:00,22.19,324.368,10.836,13.0305,16.98,438.18,21.3,32.1,0.11,0.48,0.55,27.0,0.0,1.0,,,,,,3.7800000000000002
2025-03-21 18:19:06-07:00,22.19,320.716,10.467,13.041,17.112,439.17,21.3,32.1,0.09,0.33,0.36,28.0,1.0,1.0,,,,,,3.6864
2025-03-21 18:20:07-07:00,22.19,325.127,10.278,13.2195,17.916,439.71,21.3,32.1,0.04,0.23,0.24,29.0,1.0,1.0,,,,,,3.7672000000000003
2025-03-21 18:21:07-07:00,22.19,330.781,9.891,14.238000000000001,17.916,439.9,21.3,32.2,0.04,0.4,0.4,28.0,0.0,2.0,,,,,,3.9032
2025-03-21 18:22:07-07:00,22.19,321.288,9.315,14.1015,16.968,439.76,21.3,32.2,0.14,0.82,0.82,28.0,0.0,1.0,,,,,,4.0496
2025-03-21 18:23:08-07:00,22.19,328.15200000000004,9.063,13.314,18.384,439.3,21.3,32.2,0.13,0.92,1.22,29.0,1.0,1.0,,,,,,4.4128
2025-03-21 18:24:05-07:00,22.19,326.26000000000005,10.782,12.348,19.728,439.12,21.3,32.2,0.05,0.85,1.23,28.0,0.0,2.0,,,,,,4.6256
2025-03-21 18:25:05-07:00,22.19,321.33200000000005,11.187,12.925500000000001,18.36,439.69,21.3,32.2,-1.0,-1.0,-1.0,27.0,1.0,2.0,,,,,,2.872
2025-03-21 18:26:08-07:00,22.19,325.01700000000005,10.701,13.114500000000001,18.695999999999998,439.79,21.3,32.2,-1.0,-1.0,-1.0,28.0,1.0,2.0,,,,,,2.9391999999999996
2025-03-21 18:27:09-07:00,22.19,331.88100000000003,10.827,13.534500000000001,17.976,439.92,21.3,32.2,-1.0,-1.0,-1.0,28.0,1.0,2.0,,,,,,2.7952000000000004
2025-03-21 18:28:09-07:00,22.21,324.17,12.429,13.429499999999999,17.964,439.36,21.3,32.2,-1.0,-1.0,-1.0,27.0,2.0,2.0,,,,,,2.7927999999999997
2025-03-21 18:29:09-07:00,22.23,296.571,12.195,13.062,18.72,438.62,21.3,32.2,-1.0,-1.0,-1.0,26.0,2.0,2.0,,,,,,2.944
2025-03-21 18:30:09-07:00,22.25,322.0690000000001,10.674,13.587,17.616,438.25,21.3,32.2,-1.0,-1.0,-1.0,27.0,1.0,2.0,,,,,,2.7232000000000003
2025-03-21 18:31:09-07:00,22.26,325.40200000000004,11.025,12.957,18.9,438.09,21.3,32.2,0.02,0.78,1.0,27.0,1.0,2.0,,,,,,4.404
2025-03-21 18:32:05-07:00,22.27,321.508,11.574,12.7575,18.996,438.03,21.3,32.2,0.01,0.91,1.0,27.0,0.0,2.0,,,,,,4.5272
2025-03-21 18:33:05-07:00,22.27,320.056,10.566,12.621,17.112,438.93,21.3,32.2,0.2,1.09,1.39,27.0,1.0,2.0,,,,,,4.2943999999999996
2025-03-21 18:34:06-07:00,22.27,319.0,9.936,12.6945,18.624,440.73,21.3,32.2,0.07,0.69,1.06,29.0,1.0,2.0,,,,,,4.2768
2025-03-21 18:35:07-07:00,22.28,325.99600000000004,10.008,12.9045,17.616,441.64,21.3,32.2,0.03,0.42,0.81,28.0,0.0,1.0,,,,,,3.8592
2025-03-21 18:36:07-07:00,22.28,323.02600000000007,11.133,13.429499999999999,17.796,444.15,21.3,32.3,0.11,0.4,0.53,28.0,0.0,2.0,,,,,,3.8792
2025-03-21 18:37:08-07:00,22.29,315.766,12.555,12.400500000000001,19.848,446.46,21.3,32.1,0.11,0.29,0.34,25.0,0.0,2.0,,,,,,4.2016
2025-03-21 18:38:08-07:00,22.28,312.939,12.186,12.306000000000001,19.404,446.46,21.3,32.2,0.04,0.57,0.75,27.0,1.0,2.0,,,,,,4.3368
2025-03-21 18:39:10-07:00,22.29,326.46900000000005,13.068,12.589500000000001,19.188,446.16,21.3,32.2,0.05,0.79,0.88,25.0,0.0,2.0,,,,,,4.4696
2025-03-21 18:40:06-07:00,22.29,323.466,11.187,12.537,17.208,445.4,21.4,32.2,-1.0,-1.0,-1.0,27.0,1.0,1.0,,,,,,2.6415999999999995
2025-03-21 18:41:06-07:00,22.29,320.91400000000004,10.773000000000001,12.6735,18.276,446.11,21.4,32.2,-1.0,-1.0,-1.0,27.0,1.0,2.0,,,,,,2.8552
2025-03-21 18:42:07-07:00,22.29,319.80300000000005,11.934,13.1565,17.447999999999997,447.4,21.4,32.2,0.01,0.86,0.98,27.0,1.0,1.0,,,,,,4.177599999999999
2025-03-21 18:43:07-07:00,22.29,317.097,11.718,13.692,17.604,447.63,21.4,32.2,0.0,0.41,0.63,27.0,1.0,2.0,,,,,,3.8487999999999998
2025-03-21 18:44:07-07:00,22.29,315.931,10.953,13.755,16.188,447.25,21.4,32.2,0.0,0.58,0.79,29.0,1.0,1.0,,,,,,3.7016
2025-03-21 18:45:09-07:00,22.29,313.357,10.314000000000002,12.589500000000001,17.988,447.09,21.4,32.2,0.18,0.7,0.9,28.0,0.0,1.0,,,,,,4.1575999999999995
2025-03-21 18:46:09-07:00,22.29,285.879,9.261,10.458000000000002,20.747999999999998,446.74,21.4,32.2,-1.0,-1.0,-1.0,30.0,2.0,2.0,,,,,,3.3495999999999997
2025-03-21 18:47:09-07:00,22.29,315.60100000000006,10.368,12.568500000000002,18.732,446.33,21.4,32.2,0.14,0.71,0.92,29.0,1.0,1.0,,,,,,4.3144
2025-03-21 18:48:11-07:00,22.29,313.39,11.277,12.169500000000001,19.139999999999997,446.11,21.4,32.2,0.05,0.71,0.78,27.0,1.0,1.0,,,,,,4.395999999999999
2025-03-21 18:49:07-07:00,22.29,314.71000000000004,11.034,12.789,18.336,445.97,21.4,32.2,0.03,0.81,0.84,26.0,1.0,2.0,,,,,,4.3152
2025-03-21 18:50:07-07:00,22.29,315.22700000000003,13.257000000000001,12.400500000000001,19.02,445.99,21.4,32.1,0.01,0.4,0.44,26.0,1.0,2.0,,,,,,4.1240000000000006
2025-03-21 18:51:07-07:00,22.29,316.83299999999997,11.889000000000001,12.453,18.227999999999998,445.38,21.4,32.1,0.03,0.18,0.19,27.0,1.0,2.0,,,,,,3.7896
2025-03-21 18:52:08-07:00,22.29,312.29,11.655,12.4425,20.124,443.41,21.4,32.1,0.01,0.16,0.17,27.0,1.0,2.0,,,,,,4.1528
2025-03-21 18:53:08-07:00,22.29,311.146,12.267000000000001,12.348,20.268,442.85,21.4,32.1,0.0,0.26,0.26,27.0,1.0,2.0,,,,,,4.2616000000000005
2025-03-21 18:54:08-07:00,22.29,316.855,12.159,12.4635,19.5,442.67,21.4,32.1,0.0,0.44,0.44,27.0,1.0,2.0,,,,,,4.252000000000001
2025-03-21 18:55:08-07:00,22.3,301.939,11.772,12.736500000000001,19.572,442.61,21.4,32.1,0.0,0.36,0.79,28.0,1.0,2.0,,,,,,4.2024
2025-03-21 18:56:08-07:00,22.31,314.611,11.97,12.4845,18.828,442.86,21.4,32.0,0.06,0.51,0.87,27.0,0.0,2.0,,,,,,4.1736
2025-03-21 18:57:08-07:00,22.34,316.283,12.357000000000001,11.886000000000001,18.372,442.95,21.4,32.0,0.06,0.46,0.64,27.0,1.0,1.0,,,,,,4.042400000000001
2025-03-21 18:58:09-07:00,22.35,311.36600000000004,10.836,12.8835,17.424,442.4,21.4,32.0,0.02,0.24,0.38,27.0,1.0,1.0,,,,,,3.6768
2025-03-21 18:59:09-07:00,22.36,315.06200000000007,9.846,12.5475,18.468,442.14,21.4,32.1,0.04,0.2,0.4,28.0,1.0,1.0,,,,,,3.8536
2025-03-21 19:00:09-07:00,22.37,308.42900000000003,10.026000000000002,12.925500000000001,18.66,442.05,21.4,32.1,0.01,0.13,0.47,28.0,1.0,2.0,,,,,,3.8360000000000003
2025-03-21 19:01:09-07:00,22.37,313.28000000000003,10.629000000000001,12.6105,18.131999999999998,442.02,21.4,32.1,0.0,0.72,0.89,28.0,1.0,2.0,,,,,,4.2024
2025-03-21 19:02:09-07:00,22.37,310.695,10.368,11.8755,18.864,442.01,21.4,32.1,0.0,0.79,0.85,28.0,1.0,1.0,,,,,,4.4048
2025-03-21 19:03:10-07:00,22.37,284.559,11.520000000000001,10.563,20.076,442.0,21.4,32.1,0.0,0.83,0.84,28.0,2.0,2.0,,,,,,4.6792
