DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,193,42,-4,1430983627,145,48,1,-1,3648427217,AQI
2025-03-22 04:22:56-07:00,22.58,369.47900000000004,12.672,9.219,18.264,498.02,21.5,31.5,0.39,1.04,1.16,25.0,1.0,STAT,,,,,,,4.4848
2025-03-22 04:23:56-07:00,22.58,377.531,11.727,9.996,17.988,499.84,21.5,31.5,0.13,0.82,0.85,27.0,1.0,STAT,,,,,,,4.2536
2025-03-22 04:24:56-07:00,22.57,362.01000000000005,11.592,9.702,17.316,500.82,21.5,31.5,0.38,0.9,0.92,25.0,2.0,STAT,,,,,,,4.1832
2025-03-22 04:25:56-07:00,22.58,379.038,11.879999999999999,10.038,17.508,501.23,21.5,31.5,0.22,1.09,1.09,26.0,1.0,STAT,,,,,,,4.3736
2025-03-22 04:26:56-07:00,22.58,372.59200000000004,13.059,10.2585,17.7,501.24,21.5,31.5,0.26,1.68,1.87,26.0,1.0,STAT,,,,,,,4.884
2025-03-22 04:27:56-07:00,22.58,371.44800000000004,11.961,9.2715,18.48,501.73,21.5,31.5,0.4,1.33,1.63,27.0,1.0,STAT,,,,,,,4.76
2025-03-22 04:28:56-07:00,22.58,371.73400000000004,10.863000000000001,9.093,19.836000000000002,502.4,21.5,31.5,0.8,1.58,1.95,28.0,1.0,STAT,,,,,,,5.231200000000001
2025-03-22 04:29:56-07:00,22.58,363.84700000000004,10.557,10.006499999999999,17.868,503.52,21.5,31.5,0.49,1.12,1.38,28.0,2.0,STAT,,,,,,,4.4696
2025-03-22 04:30:56-07:00,22.58,366.872,10.557,10.059000000000001,16.26,504.89,21.5,31.5,0.33,0.99,1.19,27.0,1.0,STAT,,,,,,,4.0440000000000005
2025-03-22 04:31:56-07:00,22.58,377.806,10.287,9.471,16.619999999999997,505.61,21.5,31.4,0.1,0.96,1.14,27.0,1.0,STAT,,,,,,,4.092
2025-03-22 04:32:56-07:00,22.58,376.09000000000003,9.621,9.135,17.172,506.21,21.5,31.5,0.49,1.54,1.6,29.0,1.0,STAT,,,,,,,4.6664
2025-03-22 04:33:53-07:00,22.57,364.331,9.702,9.786000000000001,17.796,506.78,21.5,31.5,0.53,1.34,1.36,28.0,1.0,STAT,,,,,,,4.6312
2025-03-22 04:34:53-07:00,22.57,384.29600000000005,10.224,10.437,16.848,507.92,21.5,31.5,0.33,1.21,1.54,29.0,1.0,STAT,,,,,,,4.3376
2025-03-22 04:35:53-07:00,22.57,373.31800000000004,11.772,10.269,17.28,509.03,21.5,31.5,0.34,0.89,1.01,28.0,1.0,STAT,,,,,,,4.168
2025-03-22 04:36:53-07:00,22.57,370.161,10.674,9.849000000000002,18.0,509.66,21.5,31.5,0.46,1.11,1.15,28.0,1.0,STAT,,,,,,,4.488
2025-03-22 04:37:54-07:00,22.57,373.83500000000004,12.438,9.639,18.492,510.46,21.5,31.5,0.65,1.4,1.42,26.0,1.0,STAT,,,,,,,4.8184000000000005
2025-03-22 04:38:55-07:00,22.57,372.79,11.223,9.765,17.939999999999998,511.27,21.5,31.5,0.37,1.17,1.31,27.0,1.0,STAT,,,,,,,4.523999999999999
