DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,129,61,1,-4,6,0,0.00000,0.00000.1,0.1,100305754,AQI
2025-03-01 04:56:49-08:00,23.38,256.168,11.691,8.9145,11.28,422.47,22.4,33.0,0.0,0.32,0.32,0.0,0.0,1,13.91,70.33,31.97,1,-23,36,2,1,STAT,0,LAT,LON,W,CRC,,2.5119999999999996
2025-03-01 04:57:49-08:00,23.38,258.52200000000005,10.314000000000002,9.114,10.08,422.16,22.4,33.0,0.0,0.65,0.65,0.0,0.0,1,13.87,19.86,36.73,1,-23,37,2,1,STAT,0,LAT,LON,W,CRC,,2.536
2025-03-01 04:58:49-08:00,23.38,260.87600000000003,11.367,8.526,10.62,422.06,22.4,33.0,0.18,0.54,0.54,0.0,0.0,1,13.84,5.61,31.43,1,-23,36,2,1,STAT,0,LAT,LON,W,CRC,,2.556
2025-03-01 04:59:49-08:00,23.38,255.99200000000002,9.549,8.904000000000002,10.764000000000001,422.02,22.4,33.0,0.12,0.68,0.68,0.0,0.0,1,13.84,1.58,30.6,1,-22,37,2,2,STAT,0,LAT,LON,W,CRC,,2.6968000000000005
2025-03-01 05:00:49-08:00,23.38,260.656,11.448,8.841000000000001,10.943999999999999,422.01,22.4,33.0,0.04,0.89,0.89,0.0,0.0,1,13.8,0.45,31.5,1,-23,37,2,2,STAT,0,LAT,LON,W,CRC,,2.9008000000000003
2025-03-01 05:01:50-08:00,23.37,261.624,12.069,8.3475,11.627999999999998,421.84,22.4,33.0,0.23,0.78,0.78,0.0,0.0,1,13.8,0.13,33.39,1,-23,35,2,2,STAT,0,LAT,LON,W,CRC,,2.9495999999999998
2025-03-01 05:02:50-08:00,23.37,261.437,11.601,8.043000000000001,12.072000000000001,421.09,22.4,33.0,0.09,0.66,0.66,0.0,0.0,1,13.77,0.04,39.84,1,-23,35,2,2,STAT,0,LAT,LON,W,CRC,,2.9424000000000006
2025-03-01 05:03:50-08:00,23.37,266.035,11.475,8.757,11.027999999999999,421.03,22.4,33.0,0.03,0.38,0.38,0.0,0.0,1,13.77,0.01,36.8,1,-24,35,2,2,STAT,0,LAT,LON,W,CRC,,2.5096
2025-03-01 05:04:50-08:00,23.36,263.769,11.943,8.715000000000002,9.612,421.01,22.4,33.0,0.01,0.37,0.37,0.0,0.0,1,14.09,298.73,29.71,1,-23,35,3,1,STAT,0,LAT,LON,W,CRC,,2.2184
2025-03-01 05:05:50-08:00,23.37,268.26800000000003,10.998000000000001,8.809500000000002,10.908,421.0,22.4,33.0,0.0,0.53,0.53,0.0,0.0,1,13.95,84.37,30.69,1,-25,36,1,2,STAT,0,LAT,LON,W,CRC,,2.6056
2025-03-01 05:06:50-08:00,23.35,267.487,10.665,8.809500000000002,11.46,421.0,22.4,33.0,0.17,0.79,0.93,0.0,0.0,1,13.87,23.83,31.61,1,-25,36,2,2,STAT,0,LAT,LON,W,CRC,,2.9240000000000004
2025-03-01 05:07:50-08:00,23.34,265.507,10.566,8.7045,12.708,420.44,22.4,33.0,0.09,0.64,0.91,0.0,0.0,1,13.84,6.73,38.79,1,-24,37,2,2,STAT,0,LAT,LON,W,CRC,,3.0536000000000003
2025-03-01 05:08:51-08:00,23.32,259.65500000000003,11.043,7.665,14.352,420.26,22.4,33.0,0.03,0.27,0.36,0.0,0.0,1,13.84,1.9,32.53,1,-23,37,2,2,STAT,0,LAT,LON,W,CRC,,3.0864000000000003
2025-03-01 05:09:46-08:00,23.31,263.23,11.016,8.137500000000001,13.511999999999999,420.1,22.4,33.0,0.01,0.31,0.34,0.0,0.0,1,13.8,0.6,33.61,1,-24,36,2,2,STAT,0,LAT,LON,W,CRC,,2.9504
2025-03-01 05:10:46-08:00,23.3,251.185,10.971,8.137500000000001,13.235999999999999,420.03,22.4,33.0,0.0,0.59,0.6,0.0,0.0,1,13.8,0.17,32.68,1,-21,36,2,2,STAT,0,LAT,LON,W,CRC,,3.1191999999999998
