DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,129,59,3,-2,6,0,0.00000,0.00000.1,0.1,2350273011,108,51,1781195690,AQI
2025-03-02 15:06:37-08:00,22.19,290.55400000000003,11.709,9.7125,7.608,416.0,21.5,33.6,2.42,4.07,4.73,0.0,0.0,1,13.98,185.33,30.62,1,-19,33.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,4.7776000000000005
2025-03-02 15:07:37-08:00,22.19,281.699,11.844000000000001,9.691500000000001,8.808,416.0,21.5,33.6,2.09,3.62,3.98,0.0,0.0,1,13.91,52.34,31.36,1,-16,33.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,4.6576
2025-03-02 15:08:37-08:00,22.19,289.28900000000004,10.629000000000001,9.691500000000001,8.34,416.0,21.5,33.5,2.48,3.97,4.22,0.0,0.0,1,13.87,14.78,30.61,1,-18,33.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,4.844
2025-03-02 15:09:37-08:00,22.19,290.224,10.620000000000001,9.429,8.532,416.0,21.5,33.6,2.48,4.71,4.8,0.0,0.0,1,13.84,4.18,39.37,1,-19,34.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,5.4744
2025-03-02 15:10:37-08:00,22.19,286.77000000000004,12.546,8.620500000000002,9.756,416.08,21.5,33.5,2.38,4.4,4.42,0.0,0.0,1,13.8,1.18,33.8,1,-19,32.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,5.4712000000000005
2025-03-02 15:11:37-08:00,22.19,289.278,11.376000000000001,9.177000000000001,9.888,416.06,21.5,33.5,2.5,4.22,4.23,0.0,0.0,1,13.8,0.33,31.51,1,-18,32.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,5.3536
2025-03-02 15:12:38-08:00,22.19,291.06000000000006,11.997,8.505,9.552,416.18,21.5,33.6,2.25,3.87,3.87,0.0,0.0,1,13.77,0.09,31.73,1,-18,32.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,5.0064
2025-03-02 15:13:38-08:00,22.19,292.78700000000003,12.897,8.883000000000001,8.148,416.1,21.5,33.5,2.24,4.03,4.03,0.0,0.0,1,13.77,0.03,32.7,1,-18,31.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,4.8536
2025-03-02 15:14:38-08:00,22.19,284.26200000000006,12.753,9.429,7.476,416.03,21.5,33.5,2.34,4.18,4.18,0.0,0.0,1,13.77,0.01,29.29,1,-16,31.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,4.8392
2025-03-02 15:15:38-08:00,22.19,289.322,11.529,8.9565,10.127999999999998,416.01,21.5,33.6,2.72,4.08,4.08,0.0,0.0,1,13.98,142.75,32.7,1,-18,32.0,1.0,2,STAT,0,LAT,LON,W,CRC,,,,,5.2896
2025-03-02 15:16:38-08:00,22.19,300.531,12.474,9.282,8.7,416.55,21.5,33.6,2.6,4.18,4.18,0.0,0.0,1,13.91,40.32,33.3,1,-20,32.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,5.084
2025-03-02 15:17:38-08:00,22.19,292.05,11.547,8.799000000000001,9.54,416.75,21.5,33.5,2.84,4.32,4.81,0.0,0.0,1,13.87,11.39,32.34,1,-17,33.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,5.364000000000001
2025-03-02 15:18:38-08:00,22.19,287.55100000000004,11.889000000000001,8.736,10.223999999999998,416.91,21.5,33.5,2.91,4.51,4.67,0.0,0.0,1,13.84,3.22,30.53,1,-15,33.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,5.6528
