DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,346,29,-13,-18,6,0,0.00000,0.00000.1,0.1,1021889055,AQI
2025-03-07 04:57:18-08:00,4.04,539.2420000000001,17.676000000000002,26.229000000000003,0.612,489.89,5.5,74.0,2.78,5.65,6.08,0.0,0.0,1,13.84,2.05,33.79,1,-18,12,0,0,STAT,0,LAT,LON,W,CRC,,4.6424
2025-03-07 04:58:18-08:00,4.03,500.63200000000006,18.369,26.0715,1.32,489.02,5.5,73.9,4.01,6.41,6.54,0.0,0.0,1,14.09,191.44,31.48,1,-17,13,1,0,STAT,0,LAT,LON,W,CRC,,5.392
2025-03-07 04:59:19-08:00,4.02,487.3550000000001,19.665000000000003,27.909,1.38,487.82,5.5,74.0,4.44,6.72,7.1,0.0,0.0,1,13.95,75.74,30.33,1,-21,13,1,0,STAT,0,LAT,LON,W,CRC,,5.652
2025-03-07 05:00:19-08:00,4.01,465.81700000000006,19.359,28.791000000000004,0.3,487.29,5.5,74.2,4.04,7.18,7.48,0.0,0.0,1,13.87,21.39,31.08,1,-20,12,1,0,STAT,0,LAT,LON,W,CRC,,5.803999999999999
2025-03-07 05:01:19-08:00,3.98,445.357,18.459000000000003,26.7225,2.772,486.69,5.5,74.3,2.97,5.18,5.56,0.0,0.0,1,13.84,6.04,35.03,1,-20,11,1,0,STAT,0,LAT,LON,W,CRC,,4.6984
2025-03-07 05:02:19-08:00,3.94,436.38100000000003,16.362000000000002,26.512500000000003,3.072,485.7,5.5,74.3,2.45,4.3,4.55,0.0,0.0,1,13.8,1.71,40.17,1,-20,12,0,0,STAT,0,LAT,LON,W,CRC,,4.0544
2025-03-07 05:03:19-08:00,3.93,429.84700000000004,17.352,25.273500000000002,3.276,484.89,5.5,74.3,3.2,5.94,6.15,0.0,0.0,1,14.02,124.54,35.23,1,-19,11,0,0,STAT,0,LAT,LON,W,CRC,,5.4072000000000005
2025-03-07 05:04:19-08:00,3.92,423.29100000000005,16.794,24.885,3.0,483.35,5.5,74.2,3.56,6.25,6.59,0.0,0.0,1,13.91,35.17,31.67,1,-22,11,0,0,STAT,0,LAT,LON,W,CRC,,5.6
2025-03-07 05:05:19-08:00,3.91,422.224,18.503999999999998,22.785,3.792,482.47,5.4,74.1,3.31,6.58,6.79,0.0,0.0,1,13.87,9.93,32.52,1,-20,10,0,0,STAT,0,LAT,LON,W,CRC,,6.0224
2025-03-07 05:06:19-08:00,3.88,429.649,18.072,23.9715,1.9679999999999997,482.17,5.4,74.0,3.14,6.32,6.58,0.0,0.0,1,13.84,2.81,31.09,1,-20,12,0,0,STAT,0,LAT,LON,W,CRC,,5.449600000000001
2025-03-07 05:07:20-08:00,3.84,431.684,17.433,25.3155,1.944,482.79,5.4,74.0,3.27,6.1,6.61,0.0,0.0,1,13.8,0.79,38.84,1,-19,12,0,0,STAT,0,LAT,LON,W,CRC,,5.2688
2025-03-07 05:08:20-08:00,3.82,439.71400000000006,17.136,27.7725,1.692,483.98,5.4,74.3,3.4,6.12,6.58,0.0,0.0,1,13.98,77.87,31.8,1,-20,11,0,0,STAT,0,LAT,LON,W,CRC,,5.234400000000001
2025-03-07 05:09:20-08:00,3.82,447.60100000000006,18.855,26.6595,4.272,485.22,5.3,74.6,3.14,6.0,6.7,0.0,0.0,1,13.91,21.99,30.28,1,-21,10,0,0,STAT,0,LAT,LON,W,CRC,,5.654400000000001
2025-03-07 05:10:20-08:00,3.8,446.1600000000001,18.720000000000002,27.3735,2.064,485.77,5.3,74.9,2.99,4.99,6.29,0.0,0.0,1,13.87,6.21,32.12,1,-20,11,0,0,STAT,0,LAT,LON,W,CRC,,4.404800000000001
2025-03-07 05:11:20-08:00,3.78,436.172,18.873,23.751,3.48,485.3,5.3,74.8,2.74,4.32,4.94,0.0,0.0,1,13.84,1.75,34.21,1,-21,10,0,0,STAT,0,LAT,LON,W,CRC,,4.152
2025-03-07 05:12:20-08:00,3.74,431.12300000000005,17.298,23.226000000000003,2.424,484.86,5.3,74.6,2.71,4.65,5.37,0.0,0.0,1,14.02,116.46,37.24,1,-18,12,0,0,STAT,0,LAT,LON,W,CRC,,4.2048000000000005
2025-03-07 05:13:20-08:00,3.72,417.802,17.568,23.9295,1.3559999999999999,485.24,5.3,74.5,2.62,4.75,5.39,0.0,0.0,1,13.91,32.89,34.38,1,-18,12,0,0,STAT,0,LAT,LON,W,CRC,,4.0712
2025-03-07 05:14:20-08:00,3.72,422.202,16.767,25.431,2.136,485.73,5.3,74.6,2.37,4.55,4.77,0.0,0.0,1,13.87,9.29,33.68,1,-17,13,0,0,STAT,0,LAT,LON,W,CRC,,4.0672
2025-03-07 05:15:21-08:00,3.71,420.65100000000007,16.650000000000002,25.389,0.852,485.91,5.2,74.5,2.03,3.76,3.96,0.0,0.0,1,13.84,2.62,31.56,1,-16,13,1,0,STAT,0,LAT,LON,W,CRC,,3.1784
2025-03-07 05:16:21-08:00,3.7,421.44300000000004,18.882,25.158,2.124,485.97,5.2,74.5,2.59,4.28,4.97,0.0,0.0,1,13.84,0.74,32.0,1,-15,11,0,0,STAT,0,LAT,LON,W,CRC,,3.8488000000000007
2025-03-07 05:17:21-08:00,3.67,431.189,18.612000000000002,26.061,2.5319999999999996,485.91,5.2,74.6,2.81,4.62,4.91,0.0,0.0,1,13.98,119.31,45.89,1,-16,10,0,0,STAT,0,LAT,LON,W,CRC,,4.2024
