DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,132,16,-4,-26,1868932173,113,23,1495931650,AQI
2025-03-11 15:25:00-07:00,5.68,555.984,14.769,24.538500000000003,6.0360000000000005,432.05,7.0,78.7,7.35,11.29,11.69,15.0,-1.0,-1,STAT,,,,,10.2392
2025-03-11 15:26:00-07:00,5.68,502.4030000000001,13.941,26.0715,5.04,432.75,7.1,78.6,6.65,10.7,11.24,16.0,-2.0,-1,STAT,,,,,9.568000000000001
2025-03-11 15:27:02-07:00,5.68,383.07500000000005,14.589,26.166000000000004,6.204,433.02,7.0,78.3,7.03,10.93,11.85,14.0,-1.0,-1,STAT,,,,,9.9848
2025-03-11 15:28:02-07:00,5.68,325.09400000000005,14.814000000000002,27.8775,2.4359999999999995,433.01,7.0,78.6,7.5,12.29,13.14,15.0,0.0,-1,STAT,,,,,10.3192
2025-03-11 15:29:02-07:00,5.68,299.97,13.797,26.323500000000003,3.276,433.0,7.0,78.5,6.76,12.62,13.8,15.0,-1.0,-2,STAT,,,,,10.7512
2025-03-11 15:30:02-07:00,5.68,286.69300000000004,13.419,26.229000000000003,4.464,433.0,7.0,78.5,6.84,11.94,12.51,15.0,-1.0,-1,STAT,,,,,10.444799999999999
2025-03-11 15:31:02-07:00,5.68,282.1170000000001,13.59,25.1265,5.207999999999999,433.0,7.0,78.5,6.34,11.12,11.49,15.0,-2.0,-2,STAT,,,,,9.9376
2025-03-11 15:32:01-07:00,5.68,291.148,15.075000000000001,25.431,4.2,433.0,7.0,78.4,7.19,11.82,12.11,13.0,-1.0,-2,STAT,,,,,10.296000000000001
2025-03-11 15:33:01-07:00,5.68,300.949,14.274,24.895500000000002,4.716,433.0,7.0,78.4,7.13,11.26,11.45,14.0,-1.0,-2,STAT,,,,,9.9512
2025-03-11 15:34:02-07:00,5.68,410.564,15.921000000000001,24.087000000000003,4.896,433.0,7.0,78.4,7.15,12.8,12.87,15.0,-2.0,-2,STAT,,,,,11.219200000000003
2025-03-11 15:35:02-07:00,5.67,613.5250000000001,13.302,25.725,3.408,433.23,7.1,78.3,6.68,12.39,12.57,16.0,0.0,-2,STAT,,,,,10.5936
2025-03-11 15:35:58-07:00,5.68,517.4620000000001,12.573,25.1265,3.948,433.49,7.1,78.4,-1.0,-1.0,-1.0,16.0,-1.0,-2,STAT,,,,,-0.010399999999999965
2025-03-11 15:36:59-07:00,5.68,399.08000000000004,13.446,24.433500000000002,4.272,433.35,7.1,78.1,6.46,12.24,12.38,15.0,-2.0,-2,STAT,,,,,10.646400000000002
2025-03-11 15:38:00-07:00,5.67,329.934,13.167000000000002,24.402,3.972,433.04,7.1,78.2,6.09,12.51,12.96,16.0,-2.0,-2,STAT,,,,,10.8024
2025-03-11 15:39:03-07:00,5.67,300.322,16.721999999999998,25.945500000000003,2.976,432.84,7.1,78.2,6.89,12.96,13.28,13.0,-1.0,-2,STAT,,,,,10.963200000000002
2025-03-11 15:40:03-07:00,5.67,284.18500000000006,16.749,25.494000000000003,3.432,432.94,7.1,78.3,-1.0,-1.0,-1.0,13.0,-1.0,-2,STAT,,,,,-0.11360000000000003
2025-03-11 15:41:03-07:00,5.67,273.43800000000005,17.172,25.546499999999998,3.54,432.98,7.1,78.3,-1.0,-1.0,-1.0,13.0,-2.0,-2,STAT,,,,,-0.09199999999999997
2025-03-11 15:42:03-07:00,5.67,272.767,16.875,25.788,3.2039999999999997,432.99,7.1,78.3,-1.0,-1.0,-1.0,15.0,-1.0,-2,STAT,,,,,-0.1592
2025-03-11 15:42:59-07:00,5.67,275.462,17.019000000000002,26.145,3.9,433.0,7.1,78.3,-1.0,-1.0,-1.0,14.0,-1.0,-2,STAT,,,,,-0.020000000000000018
2025-03-11 15:43:59-07:00,5.68,287.03400000000005,15.183000000000002,25.599,4.919999999999999,433.0,7.1,78.3,-1.0,-1.0,-1.0,15.0,0.0,-1,STAT,,,,,0.18399999999999983
2025-03-11 15:44:59-07:00,5.67,306.064,14.301,25.399500000000003,3.0359999999999996,433.0,7.1,78.3,-1.0,-1.0,-1.0,16.0,-1.0,-2,STAT,,,,,-0.19280000000000008
2025-03-11 15:45:59-07:00,5.67,298.716,15.381,26.397000000000002,3.408,433.0,7.1,78.3,-1.0,-1.0,-1.0,15.0,-1.0,-2,STAT,,,,,-0.11840000000000006
2025-03-11 15:46:59-07:00,5.68,291.258,14.418,26.061,4.68,433.0,7.1,78.3,-1.0,-1.0,-1.0,17.0,-1.0,-2,STAT,,,,,0.1359999999999999
2025-03-11 15:48:00-07:00,5.68,289.663,17.604,26.166000000000004,4.488,432.35,7.1,78.1,7.17,12.67,13.24,14.0,-1.0,-1,STAT,,,,,11.033600000000002
2025-03-11 15:49:01-07:00,5.68,286.858,15.327000000000002,25.515,4.62,432.12,7.1,78.1,-1.0,-1.0,-1.0,17.0,-1.0,-1,STAT,,,,,0.124
2025-03-11 15:50:01-07:00,5.68,287.848,17.055,27.3105,3.48,432.04,7.1,78.1,-1.0,-1.0,-1.0,14.0,-1.0,-1,STAT,,,,,-0.10399999999999998
2025-03-11 15:51:01-07:00,5.69,290.40000000000003,16.371000000000002,27.163500000000003,3.096,432.02,7.1,78.1,-1.0,-1.0,-1.0,15.0,-1.0,-2,STAT,,,,,-0.18079999999999996
2025-03-11 15:52:01-07:00,5.69,290.23500000000007,17.090999999999998,26.838,2.22,432.01,7.1,78.1,-1.0,-1.0,-1.0,15.0,-1.0,-2,STAT,,,,,-0.356
2025-03-11 15:53:02-07:00,5.69,292.58900000000006,17.685,26.617500000000003,3.528,432.0,7.1,78.2,7.41,13.12,13.52,15.0,-1.0,-2,STAT,,,,,11.201600000000001
2025-03-11 15:54:03-07:00,5.69,294.16200000000003,17.955,26.9115,3.408,432.0,7.1,78.0,-1.0,-1.0,-1.0,14.0,-1.0,-3,STAT,,,,,-0.11840000000000006
2025-03-11 15:55:03-07:00,5.69,294.074,16.308,25.0215,4.98,432.0,7.1,78.0,-1.0,-1.0,-1.0,15.0,-2.0,-2,STAT,,,,,0.19600000000000006
2025-03-11 15:56:03-07:00,5.69,296.197,15.408000000000001,25.6725,3.816,432.0,7.1,78.0,-1.0,-1.0,-1.0,17.0,-1.0,-2,STAT,,,,,-0.036800000000000055
