DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,155,23,-32,2646258870,124,22,-1,-33,1581945843,AQI
2025-03-16 20:52:41-07:00,14.35,165.77,0.54,8.557500000000001,23.255999999999997,391.0,14.3,42.7,0.0,0.36,0.36,40.0,3.0,STAT,,,,,,,4.9392
2025-03-16 20:53:42-07:00,14.32,163.28400000000002,0.279,9.240000000000002,22.08,391.0,14.2,42.8,0.0,0.73,0.73,40.0,4.0,STAT,,,,,,,4.999999999999999
2025-03-16 20:54:42-07:00,14.27,165.418,1.4849999999999999,8.232,26.4,391.29,14.2,42.6,0.0,0.23,0.23,38.0,3.0,STAT,,,,,,,5.464
2025-03-16 20:55:42-07:00,14.22,178.99200000000002,2.466,8.3475,27.444,391.75,14.1,42.3,0.0,0.19,0.19,39.0,2.0,STAT,,,,,,,5.6408000000000005
2025-03-16 20:56:42-07:00,14.17,173.008,2.952,7.434,31.067999999999998,391.91,14.0,42.5,0.0,0.06,0.06,38.0,2.0,STAT,,,,,,,6.2616
2025-03-16 20:57:42-07:00,14.13,166.562,1.9260000000000002,8.2635,28.56,391.81,13.9,42.6,0.0,0.2,0.2,39.0,2.0,STAT,,,,,,,5.872
2025-03-16 20:58:42-07:00,14.1,175.43900000000002,1.377,8.473500000000001,28.955999999999996,391.49,13.8,42.8,0.0,0.17,0.36,38.0,2.0,STAT,,,,,,,5.9272
2025-03-16 20:59:42-07:00,14.05,163.94400000000002,0.882,9.0405,27.276,391.63,13.8,43.4,0.0,0.55,0.61,39.0,2.0,STAT,,,,,,,5.895200000000001
2025-03-16 21:00:43-07:00,14.02,158.389,2.061,8.925,27.084,391.56,13.8,43.4,0.0,1.04,1.06,38.0,2.0,STAT,,,,,,,6.2488
2025-03-16 21:01:43-07:00,14.0,159.89600000000002,-0.675,9.911999999999999,25.895999999999997,391.2,13.8,44.5,0.0,0.89,0.9,39.0,2.0,STAT,,,,,,,5.8911999999999995
2025-03-16 21:02:43-07:00,13.96,173.42600000000002,1.2060000000000002,9.849000000000002,24.312,391.07,13.8,43.9,0.0,0.68,0.68,39.0,2.0,STAT,,,,,,,5.406400000000001
