DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,124,22,-1,-33,1581945843,17,753765838,AQI
2025-03-17 20:52:57-07:00,13.1,160.919,3.789,7.990500000000001,14.723999999999998,402.0,12.4,47.8,0.0,0.0,0.03,31.0,0.0,-6.0,STAT,,,,2.9448
2025-03-17 20:53:58-07:00,13.12,166.793,5.589,5.932500000000001,17.424,402.0,12.5,46.9,0.0,0.0,0.01,31.0,-1.0,-5.0,STAT,,,,3.4848
2025-03-17 20:54:58-07:00,13.14,163.042,2.133,7.875,15.935999999999998,402.0,12.6,47.9,0.0,0.0,0.0,32.0,-2.0,-6.0,STAT,,,,3.1872
2025-03-17 20:55:58-07:00,13.19,166.661,4.923,5.7225,14.424,401.87,12.7,46.3,0.0,0.0,0.0,32.0,-2.0,-7.0,STAT,,,,2.8848000000000003
2025-03-17 20:56:59-07:00,13.22,175.95600000000002,6.399,4.683,14.723999999999998,401.95,12.8,45.0,0.0,0.03,0.16,31.0,-2.0,-7.0,STAT,,,,2.9688
2025-03-17 20:57:59-07:00,13.28,168.828,7.596,6.531,15.408,401.79,12.8,45.5,0.0,0.03,0.23,30.0,-1.0,-6.0,STAT,,,,3.1056
2025-03-17 20:59:01-07:00,13.31,162.42600000000002,5.229,6.678000000000001,14.831999999999999,401.87,12.8,45.0,0.0,0.01,0.08,31.0,0.0,-6.0,STAT,,,,2.9744
2025-03-17 21:00:01-07:00,13.33,158.455,6.822,4.494000000000001,15.588,401.31,12.9,44.7,0.0,0.0,0.03,31.0,-2.0,-7.0,STAT,,,,3.1176
2025-03-17 21:01:01-07:00,13.37,154.55,5.022,4.284000000000001,16.811999999999998,401.11,12.9,44.5,0.0,0.0,0.01,31.0,-2.0,-6.0,STAT,,,,3.3623999999999996
2025-03-17 21:02:01-07:00,13.39,151.20600000000002,3.8160000000000003,5.7435,14.304,401.04,12.9,45.0,0.0,0.17,0.3,31.0,-1.0,-6.0,STAT,,,,2.9968000000000004
2025-03-17 21:03:01-07:00,13.4,149.79800000000003,4.599,5.764500000000001,14.388,401.1,12.9,44.7,0.0,0.19,0.34,32.0,-1.0,-7.0,STAT,,,,3.0296000000000003
2025-03-17 21:04:00-07:00,13.39,159.15900000000002,5.931,6.93,12.12,401.62,12.8,44.2,0.0,0.11,0.16,31.0,0.0,-7.0,STAT,,,,2.512
2025-03-17 21:05:01-07:00,13.35,150.44700000000003,7.731,7.0875,11.844,401.25,12.8,44.2,0.32,1.03,1.22,30.0,0.0,-6.0,STAT,,,,3.1928
2025-03-17 21:06:01-07:00,13.34,150.82100000000003,7.839000000000001,6.373500000000001,13.356,401.09,12.8,43.8,0.1,0.34,0.56,30.0,0.0,-6.0,STAT,,,,2.9432
2025-03-17 21:07:01-07:00,13.33,156.42,6.9030000000000005,5.806500000000001,12.047999999999998,401.03,12.8,43.8,0.03,0.11,0.18,31.0,-2.0,-7.0,STAT,,,,2.4976
2025-03-17 21:08:01-07:00,13.32,160.76500000000001,8.424,4.8195,15.107999999999999,401.01,12.7,43.5,0.01,0.04,0.06,29.0,-1.0,-6.0,STAT,,,,3.0536
2025-03-17 21:09:02-07:00,13.32,159.126,7.749,5.8275,13.728,401.0,12.7,43.4,0.0,0.31,0.32,30.0,0.0,-6.0,STAT,,,,2.9936
2025-03-17 21:09:57-07:00,13.31,167.079,6.246,4.1475,16.823999999999998,401.35,12.6,43.2,0.0,0.1,0.11,30.0,-1.0,-5.0,STAT,,,,3.4448
2025-03-17 21:10:57-07:00,13.28,157.65200000000002,5.49,5.806500000000001,14.868,401.77,12.4,43.7,0.0,0.03,0.3,29.0,1.0,-5.0,STAT,,,,2.9976000000000003
2025-03-17 21:11:57-07:00,13.24,148.137,7.128,6.814500000000001,13.44,401.92,12.3,44.5,0.0,0.01,0.1,28.0,2.0,-4.0,STAT,,,,2.696
2025-03-17 21:12:58-07:00,13.22,150.986,5.607,6.7095,13.860000000000001,401.97,12.3,44.8,0.0,0.06,0.09,31.0,0.0,-5.0,STAT,,,,2.8200000000000003
2025-03-17 21:13:58-07:00,13.17,144.89200000000002,5.436,6.3105,14.988,401.99,12.3,44.7,0.0,0.02,0.03,31.0,0.0,-4.0,STAT,,,,3.0136000000000003
2025-03-17 21:14:59-07:00,13.15,150.986,6.12,5.628000000000001,15.06,402.0,12.3,44.8,0.0,0.01,0.01,31.0,0.0,-5.0,STAT,,,,3.0200000000000005
2025-03-17 21:15:59-07:00,13.13,152.21800000000002,5.922000000000001,5.764500000000001,15.732,402.0,12.3,44.3,0.0,0.0,0.0,31.0,0.0,-5.0,STAT,,,,3.1464
2025-03-17 21:16:59-07:00,13.12,151.04100000000003,4.86,7.1925,15.264,402.0,12.3,44.9,0.0,0.0,0.0,30.0,0.0,-5.0,STAT,,,,3.0528
2025-03-17 21:17:59-07:00,13.11,152.43800000000002,6.318,6.205500000000001,16.548,401.77,12.3,44.5,0.0,0.0,0.0,31.0,0.0,-5.0,STAT,,,,3.3095999999999997
2025-03-17 21:18:59-07:00,13.06,155.342,3.681,7.5075,15.096,401.27,12.3,44.8,0.0,0.0,0.29,31.0,1.0,-4.0,STAT,,,,3.0192
2025-03-17 21:19:59-07:00,13.04,156.508,5.697,7.6335,11.988,401.1,12.3,43.9,0.0,0.27,0.37,32.0,0.0,-5.0,STAT,,,,2.6136000000000004
2025-03-17 21:20:59-07:00,13.03,156.32100000000003,4.077,7.455,16.26,401.03,12.3,44.4,0.0,0.11,0.14,31.0,0.0,-4.0,STAT,,,,3.3400000000000007
2025-03-17 21:21:59-07:00,13.03,155.91400000000002,4.644,5.1450000000000005,18.144,401.01,12.4,43.5,0.0,0.03,0.04,32.0,0.0,-4.0,STAT,,,,3.6528
2025-03-17 21:22:59-07:00,13.03,166.26500000000001,4.878,4.5360000000000005,18.204,401.0,12.4,42.8,0.0,0.01,0.01,32.0,0.0,-4.0,STAT,,,,3.6488000000000005
2025-03-17 21:23:59-07:00,13.03,163.72400000000002,4.473,5.795999999999999,16.8,401.0,12.4,42.8,0.0,0.12,0.22,31.0,0.0,-4.0,STAT,,,,3.4560000000000004
2025-03-17 21:25:00-07:00,13.07,155.68300000000002,4.941000000000001,6.541500000000001,17.016,400.65,12.5,42.9,0.0,0.13,0.17,30.0,0.0,-5.0,STAT,,,,3.5072
2025-03-17 21:26:00-07:00,13.1,157.685,4.779,5.932500000000001,17.927999999999997,400.23,12.6,43.0,0.0,0.09,0.1,31.0,-1.0,-5.0,STAT,,,,3.6575999999999995
2025-03-17 21:27:00-07:00,13.12,157.157,4.338,6.9195,16.727999999999998,400.08,12.7,43.4,0.0,0.03,0.03,31.0,-1.0,-5.0,STAT,,,,3.3695999999999997
2025-03-17 21:28:00-07:00,13.16,156.09000000000003,4.365,5.9639999999999995,16.644,400.03,12.8,43.2,0.0,0.01,0.01,32.0,-1.0,-6.0,STAT,,,,3.3367999999999998
2025-03-17 21:29:00-07:00,13.2,157.223,4.833,6.1635,18.06,400.01,12.9,43.3,0.0,0.0,0.0,32.0,-1.0,-5.0,STAT,,,,3.612
2025-03-17 21:30:00-07:00,13.25,164.95600000000002,5.373,5.019,18.144,400.0,13.1,42.4,0.0,0.0,0.0,33.0,-2.0,-6.0,STAT,,,,3.6288
2025-03-17 21:31:00-07:00,13.3,167.01300000000003,7.2,4.2525,16.74,400.0,13.1,41.1,0.0,0.31,0.31,32.0,-2.0,-6.0,STAT,,,,3.596
2025-03-17 21:32:01-07:00,13.36,173.052,5.6610000000000005,4.6095,16.2,399.55,13.2,40.4,0.0,0.14,0.14,32.0,-2.0,-6.0,STAT,,,,3.3520000000000003
2025-03-17 21:33:01-07:00,13.4,168.3,6.516,4.578,15.264,399.42,13.2,40.4,0.0,0.05,0.05,31.0,-1.0,-6.0,STAT,,,,3.0928
2025-03-17 21:34:01-07:00,13.45,164.14200000000002,4.599,6.426,14.268,399.8,13.2,41.1,0.0,0.02,0.3,32.0,-1.0,-7.0,STAT,,,,2.8696
2025-03-17 21:35:02-07:00,13.5,154.154,5.085000000000001,5.460000000000001,13.319999999999999,399.93,13.3,41.0,0.0,0.0,0.09,31.0,-2.0,-7.0,STAT,,,,2.6639999999999997
2025-03-17 21:36:03-07:00,13.55,161.337,6.939,4.389,15.06,399.97,13.4,40.0,0.0,0.0,0.03,32.0,-3.0,-7.0,STAT,,,,3.0120000000000005
2025-03-17 21:37:03-07:00,13.59,162.42600000000002,6.651,4.032,17.208,399.99,13.4,39.2,0.0,0.0,0.01,33.0,-3.0,-7.0,STAT,,,,3.4415999999999998
2025-03-17 21:38:03-07:00,13.63,160.38000000000002,4.176,4.2315000000000005,19.236,400.0,13.4,39.4,0.0,0.0,0.0,34.0,-1.0,-6.0,STAT,,,,3.8472000000000004
2025-03-17 21:39:03-07:00,13.68,151.49200000000002,6.012,4.6095,15.107999999999999,400.0,13.6,39.0,0.0,0.0,0.0,33.0,-2.0,-8.0,STAT,,,,3.0216
2025-03-17 21:40:02-07:00,13.73,155.26500000000001,5.867999999999999,4.6095,14.939999999999998,400.0,13.7,38.5,0.0,0.0,0.0,34.0,-3.0,-8.0,STAT,,,,2.9879999999999995
2025-03-17 21:41:02-07:00,13.78,158.69700000000003,6.255,4.3365,15.876,400.0,13.7,38.1,0.0,0.0,0.46,33.0,-3.0,-7.0,STAT,,,,3.1752000000000002
2025-03-17 21:42:02-07:00,13.82,158.69700000000003,6.615,4.9559999999999995,14.7,400.0,13.7,37.8,0.0,0.0,0.41,33.0,-2.0,-7.0,STAT,,,,2.94
2025-03-17 21:43:03-07:00,13.87,159.66500000000002,7.443,2.709,16.2,399.77,13.8,36.7,0.0,0.0,0.16,33.0,-3.0,-8.0,STAT,,,,3.24
2025-03-17 21:44:03-07:00,13.9,157.69600000000003,7.812,2.058,16.308,399.92,13.7,36.0,0.0,0.0,0.06,33.0,-2.0,-8.0,STAT,,,,3.2616
2025-03-17 21:45:03-07:00,13.94,152.361,5.976,4.3469999999999995,16.596,399.97,13.7,36.7,0.0,0.0,0.02,32.0,-2.0,-7.0,STAT,,,,3.3192000000000004
2025-03-17 21:46:04-07:00,13.98,145.816,3.564,4.011,16.08,399.99,13.8,36.9,0.0,0.0,0.16,35.0,-3.0,-8.0,STAT,,,,3.2159999999999997
