DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,AQHI
2025-04-14T13:38:29,17.73,,,,,463.0,17.5,43.7,1.76,2.85,2.89,
2025-04-14T13:39:29,17.74,,,,,463.0,17.5,42.9,1.92,2.89,3.11,
2025-04-14T13:40:29,17.74,,,,,463.0,17.4,42.5,2.03,3.41,3.52,
2025-04-14T13:41:28,17.74,,,,,463.0,17.5,42.9,1.85,3.03,3.09,
2025-04-14T13:42:28,17.74,,,,,463.0,17.6,43.0,1.56,2.83,3.09,
2025-04-14T13:43:28,17.75,,,,,463.0,17.7,42.6,1.55,2.89,3.14,
2025-04-14T13:44:29,17.75,,,,,463.0,17.7,42.6,1.81,3.07,3.15,
2025-04-14T13:45:29,17.75,,,,,463.0,17.8,42.1,1.67,2.8,2.83,
2025-04-14T13:46:25,17.79,,,,,463.0,17.9,41.4,1.82,2.89,3.08,
2025-04-14T13:47:26,17.82,,,,,462.95,17.9,40.9,1.99,3.22,3.28,
2025-04-14T13:48:26,17.84,,,,,462.98,17.8,41.1,1.82,2.76,2.78,
2025-04-14T13:49:26,17.84,,,,,462.99,17.8,41.9,1.94,3.09,3.09,
2025-04-14T13:50:26,17.85,,,,,463.0,17.8,41.8,1.89,3.06,3.06,
2025-04-14T13:51:26,17.89,,,,,463.0,17.9,41.4,1.7,2.45,2.45,
2025-04-14T13:52:26,17.92,,,,,463.0,17.9,40.9,1.84,2.95,2.95,
2025-04-14T13:53:26,17.94,,,,,463.0,18.0,41.3,1.54,2.67,2.67,
2025-04-14T13:54:26,17.94,,,,,463.0,18.1,40.9,1.63,2.59,2.59,
2025-04-14T13:55:27,17.97,,,,,463.0,18.1,40.4,1.21,2.43,2.58,
2025-04-14T13:56:27,18.01,,,,,462.38,18.1,39.4,1.21,2.26,2.36,
2025-04-14T13:57:28,18.03,,,,,462.14,18.1,39.9,1.24,2.14,2.31,
2025-04-14T13:58:28,18.04,,,,,462.05,18.1,39.9,1.37,2.56,2.61,
2025-04-14T13:59:28,18.04,,,,,462.02,18.1,41.0,1.58,2.69,2.7,
2025-04-14T14:00:28,18.04,,,,,462.01,18.2,41.2,1.25,2.34,2.34,
2025-04-14T14:01:28,18.08,,,,,462.0,18.3,40.2,1.03,2.21,2.45,
2025-04-14T14:02:28,18.11,,,,,461.81,18.2,39.4,1.39,2.3,2.38,
2025-04-14T14:03:28,18.13,,,,,461.58,18.3,40.3,1.19,1.89,2.05,
2025-04-14T14:04:28,18.14,,,,,461.31,18.3,40.3,1.34,2.29,2.4,
2025-04-14T14:05:28,18.14,,,,,461.76,18.3,40.2,1.46,2.65,2.73,
2025-04-14T14:06:28,18.15,,,,,461.33,18.3,40.9,1.81,3.01,3.04,
2025-04-14T14:07:29,18.2,,,,,461.18,18.3,40.1,1.59,2.34,2.53,
2025-04-14T14:08:29,18.22,,,,,461.64,18.3,40.1,1.62,2.72,2.94,
2025-04-14T14:09:29,18.23,,,,,461.87,18.3,40.7,1.62,2.69,2.76,
2025-04-14T14:10:29,18.25,,,,,461.96,18.4,40.4,1.3,2.33,2.63,
2025-04-14T14:11:29,18.3,,,,,461.98,18.5,40.7,1.53,2.12,2.48,
2025-04-14T14:12:30,18.32,,,,,461.99,18.7,41.2,1.55,2.33,3.0,
2025-04-14T14:13:31,18.38,,,,,462.0,18.8,39.8,1.51,2.55,3.37,
2025-04-14T14:14:31,18.42,,,,,462.0,18.8,38.8,1.84,2.91,3.31,
2025-04-14T14:15:31,18.49,,,,,462.08,18.8,39.8,1.91,3.12,3.25,
2025-04-14T14:16:31,18.52,,,,,462.45,18.9,39.0,1.88,2.84,2.88,
2025-04-14T14:17:31,18.57,,,,,462.7,18.9,39.2,1.91,2.89,2.9,
2025-04-14T14:18:32,18.61,,,,,462.89,18.9,38.0,1.55,2.71,2.72,
2025-04-14T14:19:32,18.63,,,,,462.96,18.8,37.3,1.22,2.29,2.39,
2025-04-14T14:20:32,18.69,,,,,462.99,18.9,38.3,0.94,2.28,2.35,
2025-04-14T14:21:32,18.72,,,,,463.0,19.0,38.8,1.02,2.26,2.32,
2025-04-14T14:22:32,18.75,,,,,462.38,19.0,38.7,1.19,2.31,2.5,
2025-04-14T14:23:32,18.8,,,,,462.21,19.1,38.8,1.62,2.9,3.23,
2025-04-14T14:24:32,18.82,,,,,462.72,19.2,39.0,1.31,2.64,3.05,
2025-04-14T14:25:32,18.88,,,,,462.9,19.2,38.7,1.82,2.93,3.2,
2025-04-14T14:26:33,18.91,,,,,462.97,19.3,39.5,1.91,2.95,3.14,
2025-04-14T14:27:34,18.98,,,,,462.99,19.4,39.3,1.77,3.23,3.29,
2025-04-14T14:28:30,19.01,,,,,463.45,19.4,39.2,1.53,2.6,2.63,
2025-04-14T14:29:30,19.08,,,,,463.97,19.4,39.3,1.77,3.03,3.28,
2025-04-14T14:30:30,19.11,,,,,465.18,19.4,39.1,1.54,2.76,2.84,
2025-04-14T14:31:30,19.18,,,,,466.36,19.5,38.7,1.41,2.24,2.27,
2025-04-14T14:32:30,19.21,,,,,466.77,19.4,38.4,1.5,2.25,2.39,
2025-04-14T14:33:30,19.27,,,,,466.92,19.4,39.4,1.28,2.26,2.31,
2025-04-14T14:34:31,19.3,,,,,466.97,19.6,39.4,1.3,2.19,2.21,
2025-04-14T14:35:31,19.36,,,,,466.99,19.6,38.8,1.49,2.28,2.28,
2025-04-14T14:36:31,19.4,,,,,466.38,19.5,38.9,1.7,2.38,2.38,
2025-04-14T14:37:31,19.41,,,,,466.13,19.3,39.6,1.78,2.83,2.98,
2025-04-14T14:38:31,19.45,,,,,466.05,19.2,39.4,1.79,3.03,3.08,
2025-04-14T14:39:31,19.48,,,,,466.1,19.1,39.9,2.01,3.09,3.11,
2025-04-14T14:40:31,19.5,,,,,466.41,19.0,40.3,1.71,3.29,3.35,
2025-04-14T14:41:32,19.5,,,,,466.14,19.1,40.7,1.56,2.61,2.63,
2025-04-14T14:42:32,19.51,,,,,466.05,19.0,40.9,2.24,3.55,3.91,
2025-04-14T14:43:32,19.52,,,,,466.02,19.1,40.7,1.94,3.08,3.2,
2025-04-14T14:44:32,19.52,,,,,466.01,19.2,40.6,1.37,2.33,2.38,
2025-04-14T14:45:32,19.52,,,,,466.0,19.2,40.7,1.55,2.67,2.9,
2025-04-14T14:46:32,19.52,,,,,466.0,19.2,41.4,2.1,3.58,3.68,
2025-04-14T14:47:32,19.52,,,,,465.42,19.2,39.9,2.06,3.26,3.29,
2025-04-14T14:48:33,19.52,,,,,465.15,19.1,40.2,2.21,3.54,3.56,
2025-04-14T14:49:33,19.52,,,,,465.05,19.0,40.7,2.37,3.68,3.69,
2025-04-14T14:50:33,19.52,,,,,465.02,18.9,40.2,2.33,3.33,3.38,
2025-04-14T14:51:33,19.53,,,,,465.01,18.9,40.5,2.05,3.33,3.45,
2025-04-14T14:52:33,19.53,,,,,464.65,18.9,41.2,2.02,3.2,3.57,
2025-04-14T14:53:33,19.52,,,,,464.26,18.9,41.6,2.51,3.73,3.85,
2025-04-14T14:54:33,19.52,,,,,465.09,18.9,41.3,2.08,3.31,3.35,
2025-04-14T14:55:34,19.52,,,,,465.68,18.9,41.2,2.41,3.57,3.69,
2025-04-14T14:56:34,19.52,,,,,466.11,18.8,41.5,2.45,3.37,3.41,
2025-04-14T14:57:34,19.52,,,,,466.04,18.8,42.3,2.1,3.24,3.37,
2025-04-14T14:58:35,19.52,,,,,465.47,18.9,42.4,2.09,3.37,3.58,
2025-04-14T14:59:35,19.51,,,,,465.17,18.9,41.8,2.05,3.24,3.31,
2025-04-14T15:00:35,19.5,,,,,465.39,18.8,41.5,2.16,3.2,3.22,
2025-04-14T15:01:35,19.5,,,,,465.75,18.9,43.2,2.14,3.48,3.49,
2025-04-14T15:02:35,19.5,,,,,466.12,18.9,42.4,2.1,3.55,3.56,
2025-04-14T15:03:35,19.49,,,,,466.04,18.9,41.5,2.17,3.77,4.04,
2025-04-14T15:04:35,19.45,,,,,466.05,18.8,42.0,2.06,2.99,3.44,
2025-04-14T15:05:35,19.43,,,,,466.02,18.8,42.5,2.22,3.2,3.73,
2025-04-14T15:06:35,19.43,,,,,466.45,18.8,43.0,2.46,3.79,4.08,
2025-04-14T15:07:36,19.42,,,,,466.45,18.8,41.8,2.44,3.65,3.81,
2025-04-14T15:08:38,19.42,,,,,466.81,18.7,41.7,2.34,3.77,3.98,
2025-04-14T15:09:38,19.42,,,,,466.93,18.6,41.7,2.02,3.41,3.67,
2025-04-14T15:10:38,19.42,,,,,466.98,18.6,41.7,1.63,2.82,2.94,
2025-04-14T15:11:38,19.42,,,,,467.57,18.6,41.9,2.2,3.29,3.33,
2025-04-14T15:12:38,19.41,,,,,467.85,18.6,42.7,1.99,3.27,3.46,
2025-04-14T15:13:38,19.42,,,,,467.95,18.7,42.4,1.76,2.8,2.87,
