DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,148,-32,3319970658,127,23,-3,1798884092,AQI
2025-03-11 19:47:34-07:00,7.33,177.848,7.893,11.193000000000001,19.128,401.0,8.0,74.1,1.77,2.8,3.07,19.0,STAT,,,,,,6.0656
2025-03-11 19:48:34-07:00,7.34,180.862,6.714,11.591999999999999,19.355999999999998,401.0,8.0,74.6,2.06,3.15,3.24,20.0,STAT,,,,,,6.3911999999999995
2025-03-11 19:49:34-07:00,7.39,179.49800000000002,6.803999999999999,11.466000000000001,18.084,401.0,8.0,74.6,2.54,4.27,4.3,21.0,STAT,,,,,,7.0328
2025-03-11 19:50:34-07:00,7.41,180.48800000000003,8.523000000000001,12.978,18.072,401.0,8.0,74.8,2.4,3.73,3.87,19.0,STAT,,,,,,6.5984
2025-03-11 19:51:34-07:00,7.43,181.52200000000002,7.281,11.2875,19.668,401.0,8.0,74.2,2.2,3.37,3.42,20.0,STAT,,,,,,6.6296
2025-03-11 19:52:34-07:00,7.43,186.95600000000002,7.407000000000001,10.6785,19.871999999999996,401.0,8.1,74.1,1.93,3.03,3.05,20.0,STAT,,,,,,6.398399999999999
2025-03-11 19:53:34-07:00,7.44,195.866,7.146000000000001,10.552500000000002,19.139999999999997,401.0,8.1,73.5,1.55,2.54,2.55,19.0,STAT,,,,,,5.859999999999999
2025-03-11 19:54:35-07:00,7.48,195.28300000000002,9.801,10.3215,20.076,401.0,8.1,73.8,1.22,2.4,2.41,17.0,STAT,,,,,,5.9352
2025-03-11 19:55:35-07:00,7.51,198.26400000000004,8.433,11.025,18.636,400.35,8.1,74.2,1.51,2.56,2.56,18.0,STAT,,,,,,5.7752
2025-03-11 19:56:36-07:00,7.53,199.11100000000002,8.595,12.012,18.372,400.12,8.2,73.7,1.78,2.99,3.02,18.0,STAT,,,,,,6.066400000000001
2025-03-11 19:57:36-07:00,7.54,194.733,7.767000000000001,11.4975,19.212,400.04,8.2,73.9,1.98,3.02,3.15,18.0,STAT,,,,,,6.2584
2025-03-11 19:58:36-07:00,7.55,196.92200000000003,7.901999999999999,11.487,19.295999999999996,399.43,8.2,74.0,1.43,2.33,2.37,19.0,STAT,,,,,,5.723199999999999
2025-03-11 19:59:36-07:00,7.59,198.726,7.11,11.9595,18.612,399.26,8.3,74.0,1.54,2.23,2.58,19.0,STAT,,,,,,5.5064
2025-03-11 20:00:36-07:00,7.61,197.29600000000002,7.173,11.5395,18.9,399.09,8.3,73.3,1.18,1.91,2.04,21.0,STAT,,,,,,5.308
2025-03-11 20:01:36-07:00,7.63,191.93900000000002,7.460999999999999,11.6655,19.476,399.03,8.3,73.8,1.06,1.77,1.81,20.0,STAT,,,,,,5.3112
2025-03-11 20:02:36-07:00,7.67,184.06300000000002,9.0,11.487,20.208,399.01,8.4,73.7,1.42,2.19,2.33,19.0,STAT,,,,,,5.7936
2025-03-11 20:03:36-07:00,7.71,184.34900000000002,8.360999999999999,11.6235,20.471999999999998,399.0,8.5,73.8,1.14,1.74,1.95,19.0,STAT,,,,,,5.4864
2025-03-11 20:04:37-07:00,7.73,182.54500000000002,9.774,10.542,19.5,399.0,8.5,72.5,0.97,1.51,1.59,18.0,STAT,,,,,,5.1080000000000005
2025-03-11 20:05:38-07:00,7.77,181.775,8.595,10.5945,19.56,398.52,8.5,71.6,0.84,1.5,1.7,20.0,STAT,,,,,,5.112
2025-03-11 20:06:38-07:00,7.81,181.544,8.262,9.723,20.7,398.77,8.5,71.3,0.43,1.26,1.32,21.0,STAT,,,,,,5.148
2025-03-11 20:07:38-07:00,7.83,177.419,7.2,10.279499999999999,19.439999999999998,398.92,8.5,70.7,0.64,1.32,1.35,21.0,STAT,,,,,,4.944
2025-03-11 20:08:38-07:00,7.84,173.976,7.65,11.770500000000002,18.648,398.35,8.4,71.4,0.86,1.35,1.36,19.0,STAT,,,,,,4.8096
2025-03-11 20:09:38-07:00,7.84,171.45700000000002,8.208,11.508000000000001,17.772,398.58,8.5,71.6,0.95,1.57,1.57,19.0,STAT,,,,,,4.8104
2025-03-11 20:10:37-07:00,7.88,173.459,8.126999999999999,12.2745,18.528,398.8,8.5,71.8,0.99,1.27,1.28,19.0,STAT,,,,,,4.7216000000000005
2025-03-11 20:11:37-07:00,7.91,175.12,10.179,10.143,18.528,398.35,8.5,70.1,0.9,1.47,1.47,19.0,STAT,,,,,,4.8816
2025-03-11 20:12:37-07:00,7.92,171.07200000000003,9.072000000000001,11.1195,18.276,398.12,8.4,69.9,0.66,1.31,1.31,20.0,STAT,,,,,,4.703200000000001
2025-03-11 20:13:38-07:00,7.92,167.25500000000002,8.964,10.5,20.148,398.04,8.4,69.8,0.43,0.99,0.99,19.0,STAT,,,,,,4.8216
2025-03-11 20:14:38-07:00,7.93,166.199,7.901999999999999,10.6575,20.184,398.02,8.4,70.1,0.27,0.88,0.88,20.0,STAT,,,,,,4.7408
2025-03-11 20:15:39-07:00,7.93,164.395,9.207,9.66,21.323999999999998,398.01,8.4,69.9,0.09,0.87,0.87,18.0,STAT,,,,,,4.9608
2025-03-11 20:16:39-07:00,7.93,163.51500000000001,7.929,10.9305,20.232,398.0,8.4,70.0,0.06,0.81,0.81,19.0,STAT,,,,,,4.6944
2025-03-11 20:17:39-07:00,7.93,164.934,9.171,10.563,21.720000000000002,398.0,8.4,69.7,0.08,0.59,0.59,19.0,STAT,,,,,,4.816000000000001
2025-03-11 20:18:39-07:00,7.92,166.144,7.74,10.825500000000002,21.924,398.0,8.3,69.8,0.22,0.54,0.54,19.0,STAT,,,,,,4.816800000000001
2025-03-11 20:19:39-07:00,7.92,163.603,7.929,11.4975,20.496,398.0,8.3,70.4,0.13,0.72,0.8,19.0,STAT,,,,,,4.675199999999999
2025-03-11 20:20:38-07:00,7.89,171.21500000000003,8.208,11.55,19.86,398.0,8.4,70.5,0.14,0.88,0.9,19.0,STAT,,,,,,4.676
2025-03-11 20:21:39-07:00,7.86,181.07100000000003,7.911,11.193000000000001,19.476,398.06,8.3,70.1,0.14,0.96,0.97,20.0,STAT,,,,,,4.6632
2025-03-11 20:22:39-07:00,7.85,185.9,8.568,10.353,19.595999999999997,398.02,8.3,69.0,0.06,0.73,0.73,20.0,STAT,,,,,,4.5032
2025-03-11 20:23:39-07:00,7.84,188.82600000000002,8.118,11.298,18.372,398.01,8.3,69.5,0.02,0.37,0.37,20.0,STAT,,,,,,3.9704
2025-03-11 20:24:39-07:00,7.84,181.58800000000002,7.659,10.878,20.124,398.0,8.3,69.8,0.28,0.79,0.79,19.0,STAT,,,,,,4.6568000000000005
2025-03-11 20:25:40-07:00,7.84,177.82600000000002,7.38,11.256000000000002,20.7,398.0,8.3,70.5,0.1,0.76,0.89,20.0,STAT,,,,,,4.747999999999999
2025-03-11 20:26:40-07:00,7.83,196.603,8.415,11.4555,19.62,398.0,8.3,70.5,0.36,1.16,1.2,19.0,STAT,,,,,,4.852
2025-03-11 20:27:36-07:00,7.84,198.33000000000004,8.991,11.161500000000002,18.192,398.0,8.3,69.7,0.13,1.03,1.04,20.0,STAT,,,,,,4.462400000000001
2025-03-11 20:28:36-07:00,7.83,185.966,8.487,11.403,19.38,398.0,8.2,69.5,0.35,1.08,1.09,19.0,STAT,,,,,,4.74
2025-03-11 20:29:36-07:00,7.82,175.56,6.354,11.8335,20.087999999999997,398.0,8.2,69.7,0.17,0.96,1.01,20.0,STAT,,,,,,4.7856
2025-03-11 20:30:38-07:00,7.81,167.25500000000002,8.397,11.382,19.968,398.0,8.2,69.8,0.2,0.59,0.73,19.0,STAT,,,,,,4.4656
2025-03-11 20:31:35-07:00,7.77,168.43200000000002,7.983,11.172,19.692,398.0,8.2,69.7,0.1,0.8,0.85,19.0,STAT,,,,,,4.5784
2025-03-11 20:32:35-07:00,7.75,169.136,6.678,12.201,19.02,398.0,8.2,70.0,0.19,1.05,1.07,20.0,STAT,,,,,,4.644
2025-03-11 20:33:35-07:00,7.75,174.361,8.487,12.4425,18.588,398.0,8.2,70.2,0.63,1.09,1.5,19.0,STAT,,,,,,4.589600000000001
2025-03-11 20:34:35-07:00,7.74,177.485,9.09,12.2745,18.828,398.0,8.1,70.0,0.36,0.85,1.13,18.0,STAT,,,,,,4.4456
2025-03-11 20:35:35-07:00,7.74,175.47200000000004,9.270000000000001,11.697000000000001,19.572,398.0,8.2,70.1,0.54,1.03,1.12,19.0,STAT,,,,,,4.7384
2025-03-11 20:36:36-07:00,7.73,172.83200000000002,10.179,11.613000000000001,19.764,398.0,8.2,70.3,0.9,1.29,1.47,16.0,STAT,,,,,,4.9848
2025-03-11 20:37:36-07:00,7.73,171.622,7.947,11.6235,19.62,398.0,8.2,70.2,0.85,1.21,1.6,20.0,STAT,,,,,,4.892
2025-03-11 20:38:36-07:00,7.72,167.079,7.803,11.927999999999999,18.768,398.23,8.2,70.0,0.59,1.1,1.23,20.0,STAT,,,,,,4.6336
2025-03-11 20:39:36-07:00,7.72,166.122,7.434,11.9175,18.419999999999998,398.73,8.2,69.6,0.56,1.21,1.41,20.0,STAT,,,,,,4.651999999999999
2025-03-11 20:40:36-07:00,7.71,168.949,7.965,11.7285,19.128,398.9,8.2,70.0,0.54,1.08,1.16,19.0,STAT,,,,,,4.6896
2025-03-11 20:41:37-07:00,7.68,169.103,7.226999999999999,12.705,18.552,398.97,8.2,69.9,0.46,1.03,1.05,20.0,STAT,,,,,,4.5344
2025-03-11 20:42:37-07:00,7.65,169.66400000000002,9.027,11.591999999999999,19.152,398.99,8.2,70.1,0.78,1.09,1.1,18.0,STAT,,,,,,4.702400000000001
2025-03-11 20:43:38-07:00,7.65,170.841,7.884,11.434500000000002,19.188,398.95,8.2,69.8,0.93,1.41,1.41,20.0,STAT,,,,,,4.9656
2025-03-11 20:44:38-07:00,7.64,169.851,7.695000000000001,12.6105,17.808,398.98,8.2,69.8,1.02,1.6,1.6,20.0,STAT,,,,,,4.841600000000001
2025-03-11 20:45:38-07:00,7.64,169.741,8.658,12.642,18.78,398.99,8.2,69.8,1.2,1.79,1.87,18.0,STAT,,,,,,5.188000000000001
2025-03-11 20:46:39-07:00,7.64,175.032,9.243,11.97,19.164,399.0,8.2,69.6,1.25,1.99,2.01,18.0,STAT,,,,,,5.424800000000001
2025-03-11 20:47:39-07:00,7.64,170.852,6.957000000000001,12.841500000000002,18.131999999999998,399.0,8.2,70.5,1.65,2.19,2.2,20.0,STAT,,,,,,5.3784
2025-03-11 20:48:39-07:00,7.64,172.018,8.514000000000001,12.264,16.848,399.0,8.2,70.5,1.34,1.87,2.4,19.0,STAT,,,,,,4.865600000000001
2025-03-11 20:49:39-07:00,7.64,174.768,8.118,11.4765,17.724,399.0,8.2,69.6,1.64,2.45,2.83,20.0,STAT,,,,,,5.5048
2025-03-11 20:50:39-07:00,7.64,174.834,8.037,11.0355,19.476,399.0,8.2,69.5,1.72,2.5,2.91,19.0,STAT,,,,,,5.8952
2025-03-11 20:51:39-07:00,7.63,176.08800000000002,6.372,10.647,20.208,398.84,8.2,69.3,1.4,2.02,2.17,21.0,STAT,,,,,,5.6576
2025-03-11 20:52:39-07:00,7.63,174.06400000000002,6.309,11.949000000000002,18.816,398.88,8.2,69.3,1.21,1.7,1.92,21.0,STAT,,,,,,5.1232
2025-03-11 20:53:39-07:00,7.63,175.65900000000002,4.482,12.925500000000001,17.508,398.96,8.2,70.0,1.36,2.05,2.12,21.0,STAT,,,,,,5.1415999999999995
2025-03-11 20:54:39-07:00,7.62,176.594,6.462,12.022499999999999,18.36,398.98,8.2,69.8,1.42,2.28,2.3,20.0,STAT,,,,,,5.496
2025-03-11 20:55:39-07:00,7.62,185.317,6.714,12.505500000000001,18.156,398.99,8.2,69.6,1.42,2.09,2.1,20.0,STAT,,,,,,5.3031999999999995
2025-03-11 20:56:40-07:00,7.61,184.09600000000003,8.126999999999999,12.369,18.791999999999998,399.0,8.2,69.9,1.14,1.91,1.91,20.0,STAT,,,,,,5.2864
2025-03-11 20:57:40-07:00,7.6,180.36700000000002,8.622,12.957,17.976,399.0,8.2,69.6,1.09,2.03,2.03,19.0,STAT,,,,,,5.2192
2025-03-11 20:58:40-07:00,7.58,180.19100000000003,7.488,12.768,18.156,399.0,8.2,70.2,1.11,1.79,1.81,19.0,STAT,,,,,,5.0632
2025-03-11 20:59:41-07:00,7.56,180.477,7.11,13.23,18.096,399.0,8.2,69.9,1.05,1.88,2.05,20.0,STAT,,,,,,5.123200000000001
2025-03-11 21:00:41-07:00,7.55,176.484,8.001000000000001,12.6105,17.939999999999998,399.0,8.2,70.1,1.06,2.19,2.64,19.0,STAT,,,,,,5.34
2025-03-11 21:01:42-07:00,7.54,175.60399999999998,8.64,11.9595,18.119999999999997,399.0,8.2,70.7,1.31,2.62,3.0,19.0,STAT,,,,,,5.72
