DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,156,28,-11,-26,1339988135,139,-7,410811523,AQI
2025-03-15 03:59:01-07:00,7.93,212.96,6.354,24.2235,10.56,398.0,9.2,51.9,0.44,0.84,0.84,22.0,0.0,0.0,STAT,,,,,2.7840000000000003
2025-03-15 04:00:01-07:00,7.94,209.63800000000003,5.355,23.026500000000002,11.4,398.0,9.2,52.0,0.23,0.91,1.19,22.0,-1.0,0.0,STAT,,,,,3.0080000000000005
2025-03-15 04:01:01-07:00,7.94,204.93000000000004,3.618,23.4045,10.476,398.0,9.2,52.0,0.32,1.0,1.1,23.0,-1.0,0.0,STAT,,,,,2.8952
2025-03-15 04:02:01-07:00,7.93,205.63400000000001,4.104,22.826999999999998,8.904,398.0,9.2,52.3,0.28,1.16,1.2,22.0,0.0,0.0,STAT,,,,,2.7088
2025-03-15 04:03:01-07:00,7.93,208.01000000000002,2.439,23.247,8.363999999999999,398.0,9.2,52.1,0.09,1.01,1.02,23.0,0.0,0.0,STAT,,,,,2.4808
2025-03-15 04:04:02-07:00,7.92,209.68200000000002,2.052,22.417500000000004,9.42,398.0,9.2,52.0,0.69,1.11,1.11,23.0,-1.0,0.0,STAT,,,,,2.7720000000000002
2025-03-15 04:05:02-07:00,7.92,208.50500000000002,3.3120000000000003,23.205000000000002,9.192,398.45,9.2,52.0,0.77,1.27,1.27,23.0,-1.0,0.0,STAT,,,,,2.8544
2025-03-15 04:06:03-07:00,7.91,208.912,2.43,23.016000000000002,8.4,398.81,9.2,52.1,0.62,1.59,1.59,24.0,-1.0,0.0,STAT,,,,,2.9520000000000004
2025-03-15 04:07:03-07:00,7.88,210.63900000000004,4.059,24.706500000000002,5.64,399.47,9.2,52.2,0.45,1.15,1.21,23.0,0.0,0.0,STAT,,,,,2.048
2025-03-15 04:08:03-07:00,7.86,213.66400000000002,3.69,22.8795,7.704,399.82,9.2,52.2,0.81,1.55,1.65,23.0,-1.0,0.0,STAT,,,,,2.7808
2025-03-15 04:09:04-07:00,7.85,213.88400000000001,5.553,22.774500000000003,6.78,399.94,9.2,52.2,0.85,1.39,1.49,23.0,0.0,0.0,STAT,,,,,2.468
2025-03-15 04:10:04-07:00,7.85,212.77300000000002,3.645,23.226000000000003,8.411999999999999,399.98,9.2,52.2,0.95,1.42,1.45,23.0,-1.0,0.0,STAT,,,,,2.8183999999999996
2025-03-15 04:11:04-07:00,7.84,211.15600000000003,3.294,23.625,6.5280000000000005,400.65,9.2,52.6,0.98,1.54,1.61,23.0,-1.0,0.0,STAT,,,,,2.5376000000000003
2025-03-15 04:12:04-07:00,7.84,218.33900000000003,2.124,24.6645,5.052,402.07,9.2,52.6,0.99,1.67,1.69,24.0,0.0,0.0,STAT,,,,,2.3464
2025-03-15 04:13:04-07:00,7.84,236.89600000000004,3.708,23.058000000000003,6.552,403.04,9.2,52.5,1.0,1.55,1.79,22.0,0.0,0.0,STAT,,,,,2.5504000000000002
2025-03-15 04:14:04-07:00,7.83,258.80800000000005,4.032000000000001,24.486,7.9079999999999995,403.66,9.2,52.5,1.0,1.88,2.09,23.0,0.0,0.0,STAT,,,,,3.0856
2025-03-15 04:15:05-07:00,7.83,266.01300000000003,2.529,26.1555,5.832,403.88,9.1,52.7,0.94,1.75,1.9,25.0,0.0,0.0,STAT,,,,,2.5664000000000002
2025-03-15 04:16:05-07:00,7.82,328.31700000000006,4.023,26.208000000000002,6.0840000000000005,404.31,9.1,52.8,0.88,1.97,2.16,24.0,0.0,0.0,STAT,,,,,2.7928
2025-03-15 04:17:05-07:00,7.82,299.035,6.156,25.914,6.888,404.76,9.1,52.8,0.85,1.81,1.87,22.0,0.0,0.0,STAT,,,,,2.8256000000000006
