DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,141,-34,1145484593,138,-6,1498349072,AQI
2025-03-21 16:50:55-07:00,7.22,223.99300000000002,8.784,23.0055,14.58,424.05,8.5,71.0,0.41,1.82,1.95,18.0,STAT,,,,,4.372000000000001
2025-03-21 16:51:55-07:00,7.21,216.75500000000002,8.775,22.1655,15.876,424.39,8.5,71.1,0.51,1.76,1.98,18.0,STAT,,,,,4.583200000000001
2025-03-21 16:52:55-07:00,7.2,217.77800000000002,8.019,22.8585,15.384,424.75,8.5,71.2,0.66,1.35,1.66,19.0,STAT,,,,,4.1568000000000005
2025-03-21 16:53:55-07:00,7.18,215.237,8.154,23.855999999999998,14.819999999999999,424.79,8.5,71.3,0.54,1.55,2.31,19.0,STAT,,,,,4.204000000000001
2025-03-21 16:54:55-07:00,7.16,220.95700000000002,9.333,23.5515,14.856,425.16,8.4,71.4,0.8,1.61,1.86,18.0,STAT,,,,,4.2592
2025-03-21 16:55:55-07:00,7.14,232.21,8.919,22.1655,15.984,426.23,8.4,71.9,0.72,1.93,2.17,18.0,STAT,,,,,4.7408
2025-03-21 16:56:55-07:00,7.14,228.84400000000002,8.307,21.063,15.636,426.73,8.5,71.7,0.56,1.37,1.45,18.0,STAT,,,,,4.2232
2025-03-21 16:57:55-07:00,7.13,216.46900000000002,6.507000000000001,20.811,17.556,426.9,8.5,71.2,0.41,1.6,1.63,19.0,STAT,,,,,4.791200000000001
2025-03-21 16:58:56-07:00,7.13,214.15900000000002,7.092,21.619500000000002,16.139999999999997,426.61,8.4,70.7,0.15,1.57,1.58,20.0,STAT,,,,,4.484
2025-03-21 16:59:57-07:00,7.13,214.63200000000003,7.6049999999999995,23.352,13.452,425.92,8.4,70.6,0.16,1.38,1.38,20.0,STAT,,,,,3.7944000000000004
2025-03-21 17:00:57-07:00,7.13,213.76300000000003,7.749,23.247,14.315999999999999,425.32,8.4,71.1,0.29,1.38,1.6,19.0,STAT,,,,,3.9672
2025-03-21 17:01:57-07:00,7.13,212.311,10.170000000000002,21.651000000000003,16.968,424.61,8.3,70.8,0.47,1.22,1.29,18.0,STAT,,,,,4.3696
2025-03-21 17:02:57-07:00,7.13,215.21500000000003,8.235000000000001,23.320500000000003,14.304,424.22,8.3,71.1,0.41,1.06,1.41,19.0,STAT,,,,,3.7088
2025-03-21 17:03:57-07:00,7.13,214.995,8.370000000000001,22.365000000000002,15.984,424.61,8.3,71.2,0.67,1.26,2.15,18.0,STAT,,,,,4.2048000000000005
2025-03-21 17:04:57-07:00,7.12,216.82100000000003,11.997,24.496499999999997,15.18,425.02,8.3,71.5,0.36,1.09,1.79,15.0,STAT,,,,,3.9080000000000004
2025-03-21 17:05:57-07:00,7.13,217.44800000000004,9.999,25.557000000000002,11.796,425.95,8.3,72.0,0.64,1.71,2.29,18.0,STAT,,,,,3.7272
