DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,127,80,2,-7,6,0,0.00000,0.00000.1,0.1,3394425633,216,83,-10,0.2,1121389567,AQI
2025-02-20 23:05:47-08:00,23.09,181.34600000000003,9.837,10.4685,1.044,475.74,22.1,30.6,0.08,0.43,0.44,0.0,0.0,1,13.87,0.01,30.25,1,-2,58.0,1.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5528000000000001
2025-02-20 23:06:47-08:00,23.09,183.77700000000002,9.747,8.946,3.1319999999999997,475.91,22.1,30.6,0.02,0.22,0.22,0.0,0.0,1,13.84,0.0,27.52,1,-4,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8024
2025-02-20 23:07:48-08:00,23.09,185.603,11.223,9.4605,2.6039999999999996,475.97,22.2,30.5,0.01,0.15,0.15,0.0,0.0,1,14.19,313.21,34.72,1,-4,57.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6407999999999999
2025-02-20 23:08:48-08:00,23.09,182.32500000000002,10.152,9.491999999999999,2.688,475.99,22.1,30.5,0.08,0.14,0.14,0.0,0.0,1,14.05,88.46,32.41,1,-3,58.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6496000000000001
2025-02-20 23:09:48-08:00,23.09,180.19100000000003,10.062,9.471,4.776,476.0,22.1,30.5,0.31,0.47,0.47,0.0,0.0,1,13.98,24.98,30.39,1,-3,58.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3312
2025-02-20 23:10:48-08:00,23.09,177.29800000000003,10.125,9.880500000000001,3.24,475.38,22.1,30.4,0.1,0.42,0.42,0.0,0.0,1,13.98,7.06,26.13,1,-2,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9840000000000002
2025-02-20 23:11:48-08:00,23.09,180.30100000000002,9.441,10.353,3.2039999999999997,475.13,22.2,30.4,0.05,0.49,0.52,0.0,0.0,1,13.95,1.99,29.73,1,-3,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.0328
2025-02-20 23:12:47-08:00,23.09,182.754,9.234,10.8675,2.088,475.05,22.1,30.4,0.07,0.63,0.65,0.0,0.0,1,13.91,0.56,38.19,1,-4,59.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9216
2025-02-20 23:13:47-08:00,23.09,182.13800000000003,8.694,11.088000000000001,1.896,474.86,22.2,30.5,0.02,0.56,0.56,0.0,0.0,1,13.91,0.16,29.75,1,-4,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8272
2025-02-20 23:14:48-08:00,23.09,179.476,8.433,9.7335,2.952,474.3,22.2,30.4,0.05,0.62,0.87,0.0,0.0,1,13.87,0.04,27.85,1,-2,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.0864
2025-02-20 23:15:48-08:00,23.09,182.40200000000002,8.658,8.977500000000001,4.32,474.11,22.2,30.4,0.02,0.47,0.55,0.0,0.0,1,13.87,0.01,30.13,1,-3,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2400000000000002
2025-02-20 23:16:48-08:00,23.09,182.853,9.234,9.702,2.868,474.04,22.2,30.4,0.01,0.48,0.5,0.0,0.0,1,13.87,0.0,32.44,1,-3,60.0,2.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9576
2025-02-20 23:17:49-08:00,23.09,178.695,9.819,9.9855,3.468,474.44,22.2,30.4,0.0,0.72,0.73,0.0,0.0,1,14.16,255.81,37.37,1,-1,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2696
2025-02-20 23:18:49-08:00,23.09,181.87400000000002,10.404,9.324000000000002,3.468,474.69,22.2,30.5,0.24,0.8,0.84,0.0,0.0,1,14.05,107.36,32.06,1,-3,57.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3336000000000001
2025-02-20 23:19:50-08:00,23.09,181.88500000000002,10.998000000000001,10.5,1.536,475.42,22.2,30.3,0.27,0.68,0.71,0.0,0.0,1,14.02,30.32,26.62,1,-3,57.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8512000000000001
2025-02-20 23:20:50-08:00,23.09,185.48200000000003,9.585,10.4475,3.2640000000000002,474.8,22.2,30.3,0.1,0.83,0.85,0.0,0.0,1,13.98,8.56,28.2,1,-5,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3168000000000002
2025-02-20 23:21:50-08:00,23.09,182.65500000000003,8.577,9.849000000000002,5.063999999999999,475.15,22.2,30.4,0.03,0.86,0.86,0.0,0.0,1,13.95,2.42,29.48,1,-4,60.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.7008
2025-02-20 23:22:50-08:00,23.09,181.324,9.351,9.8385,3.804,476.28,22.1,30.5,0.11,0.81,0.87,0.0,0.0,1,13.91,0.68,32.09,1,-4,59.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.4088000000000003
2025-02-20 23:23:51-08:00,23.1,184.41500000000002,9.270000000000001,9.2085,4.128,478.99,22.2,30.4,0.03,0.49,0.51,0.0,0.0,1,13.91,0.19,32.84,1,-5,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2176
2025-02-20 23:24:51-08:00,23.11,179.12400000000002,9.477,9.964500000000001,3.144,479.75,22.2,30.4,0.01,0.32,0.32,0.0,0.0,1,13.91,0.05,31.0,1,-3,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8848
