DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,216,83,0,-10,6,0.1,0.00000,0.00000.1,0.2,1121389567,275,78,-11,758574998,AQI
2025-02-21 15:05:34-08:00,22.09,171.116,10.674,10.374,0.22799999999999998,411.0,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,14.02,45.52,27.3,1,-5,50.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.0456
2025-02-21 15:06:34-08:00,22.09,173.41500000000002,9.846,10.374,-0.528,411.0,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.98,12.86,29.29,1,-6,51.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,-0.10560000000000001
2025-02-21 15:07:35-08:00,22.09,171.90800000000002,10.053,9.6705,0.372,411.0,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.95,3.63,33.22,1,-5,51.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,0.07440000000000001
2025-02-21 15:08:30-08:00,22.09,168.91600000000003,9.018,9.597000000000001,1.944,411.0,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.91,1.14,34.52,1,-4,52.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.38880000000000003
2025-02-21 15:09:30-08:00,22.09,172.612,9.423,8.946,3.096,411.0,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.91,0.32,33.35,1,-5,52.0,1.0,2,STAT,0,LAT,LON,W,CRC,,,,,,0.6192000000000001
2025-02-21 15:10:30-08:00,22.09,170.962,9.351,9.0615,2.364,411.0,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.87,0.09,27.09,1,-4,51.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.4728
2025-02-21 15:11:30-08:00,22.09,174.702,8.504999999999999,9.2085,2.136,411.18,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.87,0.03,30.07,1,-7,52.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.4272
2025-02-21 15:12:31-08:00,22.09,170.687,9.045000000000002,10.0905,1.68,411.06,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.87,0.01,30.44,1,-5,52.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.336
2025-02-21 15:13:33-08:00,22.09,169.851,9.333,9.807,2.088,411.59,21.2,30.6,0.0,0.0,0.12,0.0,0.0,1,14.16,222.29,33.21,1,-4,52.0,0.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.4176
2025-02-21 15:14:33-08:00,22.09,171.05,8.937,9.66,0.708,411.86,21.2,30.6,0.0,0.0,0.06,0.0,0.0,1,14.02,62.78,30.79,1,-4,52.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.1416
2025-02-21 15:15:34-08:00,22.09,168.53100000000003,8.73,9.828,2.028,411.37,21.2,30.6,0.0,0.0,0.02,0.0,0.0,1,13.98,17.73,26.15,1,-3,53.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.4056
2025-02-21 15:16:34-08:00,22.09,171.52300000000002,9.576,11.0355,0.084,411.71,21.2,30.6,0.0,0.0,0.01,0.0,0.0,1,13.95,5.01,27.68,1,-5,52.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.016800000000000002
2025-02-21 15:17:34-08:00,22.09,169.42200000000003,9.882000000000001,10.384500000000001,0.324,411.67,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.95,1.41,29.64,1,-3,51.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.06480000000000001
2025-02-21 15:18:34-08:00,22.09,173.89900000000003,8.955,11.2035,-1.56,411.24,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.91,0.4,34.69,1,-6,53.0,2.0,0,STAT,0,LAT,LON,W,CRC,,,,,,-0.31200000000000006
2025-02-21 15:19:34-08:00,22.09,171.53400000000002,9.495000000000001,10.437,0.828,411.08,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.91,0.11,31.29,1,-4,52.0,2.0,0,STAT,0,LAT,LON,W,CRC,,,,,,0.1656
2025-02-21 15:20:35-08:00,22.09,172.68900000000002,9.251999999999999,10.195500000000001,1.6440000000000001,411.03,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.87,0.03,33.94,1,-4,52.0,2.0,0,STAT,0,LAT,LON,W,CRC,,,,,,0.32880000000000004
2025-02-21 15:21:35-08:00,22.09,173.382,8.901000000000002,10.7835,1.092,411.52,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.87,0.01,28.38,1,-5,53.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.21840000000000004
2025-02-21 15:22:35-08:00,22.09,176.71500000000003,9.045000000000002,9.397499999999999,2.928,411.78,21.2,30.6,0.0,0.0,0.0,0.0,0.0,1,13.84,0.0,27.89,1,-6,52.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.5856
2025-02-21 15:23:34-08:00,22.08,173.118,9.216000000000001,9.2085,2.1,411.47,21.2,30.5,0.0,0.0,0.0,0.0,0.0,1,14.19,308.29,36.39,1,-4,52.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.42000000000000004
2025-02-21 15:24:35-08:00,22.09,172.39200000000002,9.81,9.723,0.876,411.16,21.2,30.6,0.0,0.0,0.09,0.0,0.0,1,14.02,87.07,31.27,1,-3,51.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.17520000000000002
2025-02-21 15:25:35-08:00,22.09,173.56900000000002,9.774,10.122000000000002,1.2,410.76,21.2,30.6,0.0,0.0,0.03,0.0,0.0,1,13.98,24.59,27.38,1,-4,51.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.24
