DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,275,78,0,-11,6,0.1,0.00000,0.00000.1,0.2,758574998,148,72,2,-5,1320373942,AQI
2025-02-23 03:05:32-08:00,22.28,182.87500000000003,11.601,8.2215,-3.804,426.3,21.4,36.8,0.0,0.04,0.26,0.0,0.0,1,13.95,3.37,39.24,1,-10,47.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.7288
2025-02-23 03:06:32-08:00,22.28,179.949,10.935,8.82,-3.972,426.1,21.4,36.8,0.0,0.32,0.54,0.0,0.0,1,13.91,0.95,30.22,1,-8,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.5384
2025-02-23 03:07:33-08:00,22.28,181.203,11.673,8.0745,-0.252,425.63,21.4,36.8,0.0,0.44,0.63,0.0,0.0,1,13.91,0.27,27.91,1,-10,47.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.30160000000000003
2025-02-23 03:08:33-08:00,22.29,178.77200000000002,11.565,8.4105,-1.008,425.34,21.4,36.8,0.0,0.39,0.46,0.0,0.0,1,13.87,0.08,30.89,1,-8,47.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.11040000000000005
2025-02-23 03:09:33-08:00,22.28,179.42100000000002,10.845,7.591500000000001,-1.344,425.12,21.4,36.7,0.0,0.43,0.45,0.0,0.0,1,13.87,0.02,31.44,1,-9,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.07519999999999999
2025-02-23 03:10:33-08:00,22.28,175.417,10.764000000000001,7.287000000000001,-1.344,424.61,21.4,36.8,0.0,0.39,0.66,0.0,0.0,1,13.84,0.01,40.35,1,-6,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.043200000000000016
2025-02-23 03:11:33-08:00,22.28,176.561,11.664000000000001,7.549500000000001,-1.596,424.06,21.4,36.8,0.0,0.13,0.21,0.0,0.0,1,14.12,222.49,33.94,1,-7,47.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.21520000000000003
2025-02-23 03:12:33-08:00,22.28,180.818,10.8,8.106,-2.268,423.54,21.4,36.7,0.0,0.13,0.51,0.0,0.0,1,14.05,120.6,30.57,1,-9,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.3496
2025-02-23 03:13:33-08:00,22.28,179.57500000000002,11.394,8.19,-2.244,423.19,21.4,36.7,0.0,0.12,0.33,0.0,0.0,1,14.02,34.06,28.16,1,-8,47.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.3528000000000001
2025-02-23 03:14:34-08:00,22.28,177.26500000000001,10.638,5.9535,0.708,423.07,21.5,36.7,0.0,0.04,0.29,0.0,0.0,1,13.98,9.62,28.63,1,-7,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.1736
2025-02-23 03:15:35-08:00,22.28,176.82500000000002,11.610000000000001,7.2555000000000005,-0.432,423.02,21.4,36.8,0.0,0.01,0.1,0.0,0.0,1,13.95,2.72,29.3,1,-8,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.0784
2025-02-23 03:16:35-08:00,22.28,178.354,11.43,7.833,-1.74,423.01,21.4,36.8,0.0,0.05,0.15,0.0,0.0,1,13.91,0.77,33.16,1,-8,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.30800000000000005
2025-02-23 03:17:35-08:00,22.28,179.78400000000002,11.664000000000001,7.822500000000001,-2.988,423.0,21.4,36.7,0.0,0.14,0.25,0.0,0.0,1,13.91,0.22,27.56,1,-8,47.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.48560000000000003
2025-02-23 03:18:35-08:00,22.28,183.678,12.087,7.896,-1.188,423.0,21.4,36.7,0.0,0.67,0.71,0.0,0.0,1,13.87,0.06,29.18,1,-10,46.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.2984
