DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,148,72,2,-5,6,0,0.00000,0.00000.1,0.1,1320373942,163,71,-6,3724358886,AQI
2025-02-24 01:05:58-08:00,22.39,174.48200000000003,10.296,8.0955,-0.84,405.01,21.6,34.0,0.0,0.09,0.1,0.0,0.0,1,13.84,0.0,30.48,1,-5,49.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,-0.09600000000000002
2025-02-24 01:06:58-08:00,22.39,174.02,9.342,7.665,0.768,405.0,21.6,34.0,0.0,0.03,0.03,0.0,0.0,1,14.09,196.64,26.86,1,-5,51.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.1776
2025-02-24 01:08:00-08:00,22.39,174.603,9.954,8.463000000000001,-0.46799999999999997,405.0,21.6,34.0,0.0,0.18,0.18,0.0,0.0,1,14.02,55.54,33.96,1,-6,51.0,2.0,0,STAT,0,LAT,LON,W,CRC,,,,,,0.050399999999999986
2025-02-24 01:09:00-08:00,22.39,174.71300000000002,10.179,7.623,1.08,405.0,21.5,34.0,0.0,0.09,0.09,0.0,0.0,1,13.98,15.69,32.16,1,-6,49.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.28800000000000003
2025-02-24 01:10:00-08:00,22.39,171.08300000000003,10.413,8.9985,-2.076,405.25,21.6,34.0,0.0,0.03,0.23,0.0,0.0,1,13.95,4.43,28.29,1,-4,49.0,2.0,0,STAT,0,LAT,LON,W,CRC,,,,,,-0.3912
2025-02-24 01:11:00-08:00,22.39,173.514,10.026000000000002,8.9565,-0.528,405.74,21.5,34.0,0.0,0.01,0.2,0.0,0.0,1,13.91,1.25,27.75,1,-5,50.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,-0.09760000000000002
2025-02-24 01:12:00-08:00,22.39,174.383,10.179,8.966999999999999,-1.224,405.91,21.5,34.0,0.0,0.0,0.29,0.0,0.0,1,13.91,0.35,28.48,1,-5,50.0,2.0,0,STAT,0,LAT,LON,W,CRC,,,,,,-0.24480000000000002
2025-02-24 01:12:55-08:00,22.39,176.209,9.927,8.2215,0.6,405.96,21.6,34.0,0.0,0.0,0.09,0.0,0.0,1,13.87,0.11,34.75,1,-6,50.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.12
2025-02-24 01:13:55-08:00,22.39,173.82200000000003,10.665,7.224,2.856,405.99,21.6,34.0,0.0,0.0,0.03,0.0,0.0,1,13.87,0.03,31.64,1,-5,50.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.5712
2025-02-24 01:14:56-08:00,22.39,173.91,10.791,8.337000000000002,1.032,405.96,21.6,34.0,0.0,0.0,0.01,0.0,0.0,1,13.87,0.01,29.84,1,-4,50.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.20640000000000003
2025-02-24 01:15:56-08:00,22.39,176.51700000000002,10.296,8.841000000000001,-0.432,405.99,21.6,34.1,0.0,0.0,0.03,0.0,0.0,1,13.84,0.0,28.0,1,-6,49.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,-0.0864
2025-02-24 01:16:56-08:00,22.39,178.77200000000002,10.305,8.0325,1.896,406.0,21.6,34.1,0.0,0.0,0.01,0.0,0.0,1,14.09,203.46,28.39,1,-8,50.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.3792
2025-02-24 01:17:58-08:00,22.39,175.59300000000002,10.782,7.644000000000001,1.584,406.0,21.6,34.1,0.0,0.09,0.1,0.0,0.0,1,14.02,57.46,32.98,1,-6,49.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.38880000000000003
2025-02-24 01:18:58-08:00,22.39,175.53800000000004,11.619,7.518000000000001,2.16,406.0,21.6,34.1,0.0,0.08,0.08,0.0,0.0,1,13.98,16.23,29.93,1,-6,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,0.49600000000000005
2025-02-24 01:19:58-08:00,22.39,176.0,11.205,7.3500000000000005,1.56,406.0,21.5,34.1,0.0,0.03,0.26,0.0,0.0,1,13.95,4.58,28.74,1,-6,49.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.3360000000000001
2025-02-24 01:20:58-08:00,22.39,173.37100000000004,10.458,8.148,1.8719999999999999,406.0,21.6,34.1,0.0,0.2,0.28,0.0,0.0,1,13.91,1.29,30.76,1,-5,50.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,0.5344
