DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,246,68,2,-8,6,0,0.00000,0.00000.1,0.1,2046495404,253,75,0.2,2713737487,AQI
2025-02-25 17:35:28-08:00,21.79,198.209,10.026000000000002,10.143,1.608,411.0,21.0,33.2,0.0,0.0,0.0,0.0,0.0,1,13.87,0.01,29.72,1,-5,46.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.32160000000000005
2025-02-25 17:36:28-08:00,21.8,200.39800000000002,9.891,11.382,1.524,411.04,21.0,33.2,0.0,0.0,0.0,0.0,0.0,1,13.84,0.0,29.04,1,-4,46.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.3048
2025-02-25 17:37:28-08:00,21.79,201.025,10.152,10.290000000000001,3.072,411.05,21.0,33.2,0.0,0.0,0.0,0.0,0.0,1,14.09,154.84,29.0,1,-4,46.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.6144000000000001
2025-02-25 17:38:24-08:00,21.8,198.803,9.207,9.849000000000002,2.4359999999999995,411.43,21.0,33.2,0.0,0.0,0.42,0.0,0.0,1,14.02,48.59,35.59,1,-4,47.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.4871999999999999
2025-02-25 17:39:24-08:00,21.79,199.67200000000003,9.9,9.5655,3.12,411.48,21.0,33.2,0.0,0.0,0.46,0.0,0.0,1,13.98,13.72,31.82,1,-5,46.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.6240000000000001
2025-02-25 17:40:24-08:00,21.79,200.87100000000004,8.793,9.575999999999999,3.048,411.17,21.0,33.2,0.0,0.0,0.21,0.0,0.0,1,13.95,3.88,28.15,1,-6,47.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.6096
2025-02-25 17:41:25-08:00,21.79,198.30800000000002,11.501999999999999,9.786000000000001,3.096,411.06,21.0,33.2,0.0,0.0,0.22,0.0,0.0,1,13.91,1.09,28.53,1,-5,44.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.6192000000000001
2025-02-25 17:42:25-08:00,21.8,199.122,10.917000000000002,9.2925,2.388,411.02,21.0,33.2,0.0,0.0,0.07,0.0,0.0,1,13.91,0.31,30.17,1,-6,44.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.4776
2025-02-25 17:43:25-08:00,21.8,197.50500000000002,10.494,9.282,3.0119999999999996,411.01,21.0,33.2,0.0,0.0,0.02,0.0,0.0,1,13.87,0.09,33.66,1,-5,45.0,1.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,0.6023999999999999
2025-02-25 17:44:26-08:00,21.8,197.824,10.305,9.156,4.74,411.0,21.0,33.3,0.0,0.02,0.03,0.0,0.0,1,13.87,0.02,30.94,1,-5,46.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.9640000000000001
