DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,253,75,0,-8,6,0.1,0.00000,0.00000.1,0.2,2713737487,281,-7,256291271,AQI
2025-02-26 04:59:42-08:00,23.09,234.46500000000003,9.576,12.075000000000001,2.4,457.38,22.1,33.7,0.0,0.11,0.13,0.0,0.0,1,13.87,0.05,33.92,1,-5,52.0,2,2,STAT,0,LAT,LON,W,CRC,,,,,0.568
2025-02-26 05:00:42-08:00,23.09,234.83900000000003,10.287,10.542,3.7319999999999998,457.14,22.1,33.7,0.23,0.36,0.41,0.0,0.0,1,13.87,0.01,26.87,1,-5,52.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,1.0344
2025-02-26 05:01:42-08:00,23.09,240.251,10.647,11.13,0.708,457.05,22.1,33.7,0.08,0.32,0.37,0.0,0.0,1,13.84,0.0,26.71,1,-8,51.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,0.3976
2025-02-26 05:02:42-08:00,23.09,237.336,11.637,11.791500000000001,-0.156,456.93,22.0,33.7,0.14,0.47,0.48,0.0,0.0,1,14.16,244.94,28.65,1,-6,51.0,3,1,STAT,0,LAT,LON,W,CRC,,,,,0.3448
2025-02-26 05:03:42-08:00,23.09,239.58000000000004,10.845,11.098500000000001,2.5559999999999996,456.33,22.1,33.7,0.17,0.43,0.44,0.0,0.0,1,14.05,103.77,29.65,1,-8,51.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,0.8552
2025-02-26 05:04:43-08:00,23.09,238.33700000000002,11.115,10.122000000000002,2.964,456.12,22.0,33.7,0.06,0.65,0.93,0.0,0.0,1,13.98,29.31,29.91,1,-7,51.0,2,2,STAT,0,LAT,LON,W,CRC,,,,,1.1128
2025-02-26 05:05:43-08:00,23.09,237.32500000000002,10.845,10.857000000000001,2.16,455.79,22.0,33.7,0.02,0.41,0.5,0.0,0.0,1,13.98,8.28,28.35,1,-7,51.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,0.76
2025-02-26 05:06:43-08:00,23.09,233.78300000000002,11.07,10.206000000000001,3.7319999999999998,455.6,22.0,33.7,0.01,0.13,0.16,0.0,0.0,1,13.95,2.34,30.64,1,-6,51.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,0.8503999999999999
2025-02-26 05:07:43-08:00,23.09,232.419,10.035,11.8545,1.452,455.21,22.0,33.7,0.0,0.33,0.34,0.0,0.0,1,13.91,0.66,28.62,1,-6,53.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,0.5544
2025-02-26 05:08:43-08:00,23.09,233.61800000000002,9.693,9.8595,2.496,454.3,22.0,33.7,0.04,0.38,0.61,0.0,0.0,1,13.91,0.19,27.43,1,-7,53.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,0.8032000000000001
2025-02-26 05:09:42-08:00,23.09,232.518,10.242,10.4475,3.588,453.46,22.0,33.7,0.08,0.56,0.67,0.0,0.0,1,13.87,0.05,34.56,1,-5,51.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,1.1656
2025-02-26 05:10:42-08:00,23.09,233.43100000000004,10.413,10.552500000000002,2.832,453.16,22.0,33.7,0.13,0.49,0.53,0.0,0.0,1,13.87,0.01,31.32,1,-6,52.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,0.9584
2025-02-26 05:11:43-08:00,23.09,232.49600000000004,10.503,11.445,1.56,452.76,22.0,33.7,0.04,0.24,0.25,0.0,0.0,1,13.87,0.0,28.67,1,-6,51.0,2,2,STAT,0,LAT,LON,W,CRC,,,,,0.504
2025-02-26 05:12:43-08:00,23.08,228.88800000000003,11.178,10.521,2.028,452.27,22.0,33.7,0.01,0.15,0.15,0.0,0.0,1,14.02,169.36,29.25,1,-4,51.0,3,2,STAT,0,LAT,LON,W,CRC,,,,,0.5256000000000001
2025-02-26 05:13:43-08:00,23.08,231.473,10.8,10.300500000000001,3.864,452.09,22.0,33.7,0.06,0.45,0.58,0.0,0.0,1,14.09,170.38,29.63,1,-5,50.0,2,2,STAT,0,LAT,LON,W,CRC,,,,,1.1328
2025-02-26 05:14:43-08:00,23.08,231.94600000000003,10.881,9.723,4.716,452.03,22.0,33.7,0.06,0.2,0.26,0.0,0.0,1,14.02,48.12,43.25,1,-6,51.0,2,2,STAT,0,LAT,LON,W,CRC,,,,,1.1032000000000002
2025-02-26 05:15:44-08:00,23.08,233.34300000000002,10.683,9.702,4.44,451.66,22.0,33.7,0.23,0.45,0.47,0.0,0.0,1,13.98,13.59,31.12,1,-6,52.0,1,2,STAT,0,LAT,LON,W,CRC,,,,,1.2480000000000002
2025-02-26 05:16:44-08:00,23.07,235.35600000000002,10.134,10.941,0.54,451.23,22.0,33.7,0.1,0.37,0.37,0.0,0.0,1,13.95,3.84,31.53,1,-7,52.0,1,1,STAT,0,LAT,LON,W,CRC,,,,,0.404
2025-02-26 05:17:44-08:00,23.07,233.84900000000002,10.917000000000002,10.143,2.196,451.08,22.0,33.7,0.03,0.6,0.61,0.0,0.0,1,13.91,1.08,26.24,1,-6,51.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,0.9192
2025-02-26 05:18:44-08:00,23.07,236.324,10.179,10.962,0.528,451.03,22.0,33.7,0.01,0.42,0.43,0.0,0.0,1,13.91,0.31,27.56,1,-7,51.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,0.44160000000000005
2025-02-26 05:19:41-08:00,23.07,235.84000000000003,9.621,10.626,1.464,451.07,22.0,33.7,0.08,0.54,0.77,0.0,0.0,1,13.87,0.1,34.35,1,-7,52.0,2,1,STAT,0,LAT,LON,W,CRC,,,,,0.7248000000000001
