DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,137,-1,-31,4268792928,148,-4,2141733828,AQI
2025-03-10 13:26:08-07:00,0.68,596.4530000000001,36.36,22.4385,7.932,524.17,3.2,79.6,4.37,7.45,7.77,8.0,-1.0,STAT,,,,,7.546400000000001
2025-03-10 13:27:08-07:00,0.69,665.8850000000001,39.141000000000005,19.803,7.763999999999999,523.71,3.3,79.5,4.59,7.53,7.63,7.0,-2.0,STAT,,,,,7.5768
2025-03-10 13:28:08-07:00,0.69,593.241,37.215,20.748,6.252,523.25,3.3,79.6,4.44,6.53,6.56,7.0,-1.0,STAT,,,,,6.4744
2025-03-10 13:29:08-07:00,0.7,526.7570000000001,38.052,20.874,5.34,523.09,3.3,79.7,4.09,6.66,7.2,6.0,-1.0,STAT,,,,,6.396000000000001
2025-03-10 13:30:08-07:00,0.7,491.238,35.496,18.963,3.816,523.03,3.3,79.5,4.24,7.24,7.52,7.0,-1.0,STAT,,,,,6.555200000000001
2025-03-10 13:31:09-07:00,0.7,480.5350000000001,34.974000000000004,19.215,3.1559999999999997,521.85,3.3,79.3,3.66,6.03,6.15,7.0,-1.0,STAT,,,,,5.4552000000000005
2025-03-10 13:32:09-07:00,0.71,491.62300000000005,33.174,19.866000000000003,4.512,519.86,3.3,79.3,4.05,6.64,7.34,8.0,-1.0,STAT,,,,,6.2144
2025-03-10 13:33:09-07:00,0.71,499.23500000000007,33.642,20.034,5.22,518.72,3.3,79.3,3.98,6.73,7.06,8.0,-1.0,STAT,,,,,6.428000000000001
2025-03-10 13:34:09-07:00,0.71,501.49,33.588,19.4355,4.116,518.09,3.3,79.1,4.09,6.63,6.98,8.0,-1.0,STAT,,,,,6.1272
2025-03-10 13:35:09-07:00,0.71,500.90700000000004,34.722,20.3805,2.076,517.39,3.3,79.0,3.9,5.89,6.54,7.0,-1.0,STAT,,,,,5.1272
2025-03-10 13:36:09-07:00,0.71,493.75700000000006,33.948,20.517,2.4359999999999995,517.05,3.3,79.0,3.55,5.51,6.32,8.0,-1.0,STAT,,,,,4.8952
2025-03-10 13:37:09-07:00,0.71,492.43700000000007,32.634,20.863500000000002,-0.048,515.79,3.3,78.9,3.75,5.56,5.81,8.0,-1.0,STAT,,,,,4.4384
2025-03-10 13:38:09-07:00,0.71,493.79,34.731,21.819000000000003,-1.236,513.72,3.3,78.8,3.94,6.84,6.92,7.0,-1.0,STAT,,,,,5.2248
2025-03-10 13:39:09-07:00,0.71,495.06600000000003,32.940000000000005,21.147000000000002,1.476,511.83,3.3,78.7,3.94,6.06,6.27,8.0,-1.0,STAT,,,,,5.1432
2025-03-10 13:40:10-07:00,0.71,487.10200000000003,29.052000000000003,20.485500000000002,2.868,510.2,3.3,78.7,3.98,5.5,5.75,10.0,-1.0,STAT,,,,,4.9736
2025-03-10 13:41:10-07:00,0.71,479.21500000000003,30.482999999999997,20.0025,3.84,508.69,3.3,78.6,3.8,5.82,5.9,9.0,-1.0,STAT,,,,,5.424
2025-03-10 13:42:10-07:00,0.71,478.00500000000005,34.47,21.241500000000002,2.184,508.37,3.3,78.7,3.08,5.63,6.61,8.0,-1.0,STAT,,,,,4.9408
2025-03-10 13:43:10-07:00,0.71,471.87800000000004,34.668000000000006,21.357,1.6320000000000001,510.43,3.4,78.6,3.72,5.41,6.58,9.0,-1.0,STAT,,,,,4.654400000000001
2025-03-10 13:44:10-07:00,0.71,467.34600000000006,34.155,18.385500000000004,5.196,513.03,3.3,78.6,3.57,5.22,5.8,8.0,-1.0,STAT,,,,,5.2152
2025-03-10 13:45:11-07:00,0.71,467.19200000000006,34.344,19.257,2.928,513.98,3.3,78.5,3.64,5.2,5.4,7.0,-1.0,STAT,,,,,4.7456000000000005
2025-03-10 13:46:11-07:00,0.71,463.21000000000004,32.625,21.021,1.104,513.43,3.3,78.5,3.44,5.37,5.89,7.0,-1.0,STAT,,,,,4.5168
2025-03-10 13:47:11-07:00,0.71,458.183,30.762,19.467,4.176,511.53,3.3,78.5,3.7,5.7,6.07,8.0,-1.0,STAT,,,,,5.395200000000001
2025-03-10 13:48:11-07:00,0.71,461.571,31.311,19.929000000000002,1.8599999999999999,510.05,3.3,78.5,3.11,5.65,5.85,8.0,-1.0,STAT,,,,,4.892
2025-03-10 13:49:11-07:00,0.71,463.22100000000006,30.762,19.2255,2.4599999999999995,509.57,3.3,78.6,2.42,5.49,6.08,8.0,-1.0,STAT,,,,,4.884
2025-03-10 13:50:11-07:00,0.71,465.42100000000005,30.879,17.6505,3.1319999999999997,509.2,3.3,78.6,3.32,5.56,5.77,8.0,-1.0,STAT,,,,,5.0744
2025-03-10 13:51:11-07:00,0.71,462.649,32.085,17.052,4.296,509.07,3.3,78.8,3.21,5.54,5.61,8.0,-1.0,STAT,,,,,5.291200000000001
2025-03-10 13:52:11-07:00,0.71,470.8,35.82,18.385500000000004,5.484,509.43,3.4,78.9,4.0,5.78,6.29,7.0,-1.0,STAT,,,,,5.7208000000000006
2025-03-10 13:53:11-07:00,0.71,474.51800000000003,35.144999999999996,19.53,3.576,511.47,3.4,79.1,4.03,6.84,7.13,7.0,-2.0,STAT,,,,,6.187200000000001
2025-03-10 13:54:11-07:00,0.71,471.295,33.39,18.27,3.876,514.18,3.4,79.3,3.48,6.15,6.25,8.0,-2.0,STAT,,,,,5.695200000000001
2025-03-10 13:55:12-07:00,0.72,475.73900000000003,34.722,18.9525,4.056,516.38,3.4,79.4,4.08,6.42,7.32,7.0,-2.0,STAT,,,,,5.9472000000000005
2025-03-10 13:56:12-07:00,0.74,584.8590000000002,39.024,19.0155,3.6599999999999997,518.8,3.4,79.6,4.52,8.07,9.23,7.0,-2.0,STAT,,,,,7.188000000000001
2025-03-10 13:57:12-07:00,0.75,598.3670000000001,37.242000000000004,19.383000000000003,2.4,520.62,3.4,79.6,4.23,7.4,8.15,8.0,-2.0,STAT,,,,,6.4
2025-03-10 13:58:12-07:00,0.78,579.711,35.613,18.900000000000002,2.868,521.51,3.5,79.7,4.53,7.53,7.89,9.0,-2.0,STAT,,,,,6.597600000000001
2025-03-10 13:59:13-07:00,0.79,557.9530000000001,36.387,18.605999999999998,2.4119999999999995,521.83,3.5,79.6,4.21,6.74,7.57,8.0,-2.0,STAT,,,,,5.8744000000000005
2025-03-10 14:00:12-07:00,0.79,547.6460000000001,36.063,18.259500000000003,5.4719999999999995,521.32,3.5,79.6,3.66,7.11,7.79,8.0,-1.0,STAT,,,,,6.782400000000001
2025-03-10 14:01:12-07:00,0.79,564.4100000000001,40.419,20.811,5.568,521.62,3.6,79.7,4.32,7.58,8.27,7.0,-1.0,STAT,,,,,7.1776
2025-03-10 14:02:12-07:00,0.8,598.037,43.875,21.556500000000003,6.48,523.12,3.6,79.8,4.7,7.29,7.95,8.0,-2.0,STAT,,,,,7.128000000000001
2025-03-10 14:03:12-07:00,0.81,665.544,50.499,20.538,9.324,525.86,3.6,79.9,4.62,7.64,8.22,7.0,-2.0,STAT,,,,,7.9768
2025-03-10 14:04:12-07:00,0.81,709.9840000000002,53.415,20.832,9.552,528.61,3.6,80.0,4.62,7.42,7.96,8.0,-2.0,STAT,,,,,7.8464
2025-03-10 14:05:13-07:00,0.83,735.7020000000001,54.171,20.5485,6.936,531.47,3.7,80.1,5.38,8.94,9.48,7.0,-2.0,STAT,,,,,8.539200000000001
2025-03-10 14:06:13-07:00,0.87,719.2570000000001,50.283,20.149500000000003,6.276000000000001,533.92,3.7,80.1,4.75,7.79,7.97,9.0,-2.0,STAT,,,,,7.4872000000000005
2025-03-10 14:07:14-07:00,0.89,727.947,50.247,18.816000000000003,9.972,536.53,3.7,80.1,4.77,7.8,8.17,9.0,-2.0,STAT,,,,,8.2344
2025-03-10 14:08:14-07:00,0.9,777.3590000000002,50.894999999999996,20.5485,7.164,539.73,3.7,80.2,4.89,8.46,8.58,9.0,-2.0,STAT,,,,,8.200800000000001
2025-03-10 14:09:14-07:00,0.92,763.268,51.192,20.695500000000003,7.608,541.43,3.8,80.2,4.97,8.71,8.94,9.0,-2.0,STAT,,,,,8.489600000000001
2025-03-10 14:10:16-07:00,0.93,740.344,50.778000000000006,20.1915,6.672,542.45,3.8,80.1,4.5,7.6,7.88,9.0,-2.0,STAT,,,,,7.4144000000000005
2025-03-10 14:11:16-07:00,0.97,730.4990000000001,50.472,19.425,7.788,543.42,3.8,80.1,4.8,7.46,7.56,9.0,-2.0,STAT,,,,,7.5256
2025-03-10 14:12:16-07:00,0.99,741.994,49.941,19.078500000000002,6.156,543.57,3.9,80.0,4.98,8.05,8.46,9.0,-2.0,STAT,,,,,7.671200000000002
2025-03-10 14:13:12-07:00,1.01,745.866,49.239000000000004,18.238500000000002,6.8999999999999995,543.22,3.9,79.9,5.13,8.04,8.33,10.0,-2.0,STAT,,,,,7.811999999999999
