DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,20,-4,-31,2665281937,123,29,1675992722,AQI
2025-03-18 03:58:34-07:00,6.52,178.12300000000002,6.174,23.6565,28.644000000000002,416.96,7.7,59.6,0.0,0.75,0.76,2.0,1.0,STAT,,,,,6.328800000000001
2025-03-18 03:59:34-07:00,6.51,181.39000000000001,6.849,23.5935,26.76,416.99,7.7,59.8,0.02,1.03,1.27,2.0,1.0,STAT,,,,,6.176
2025-03-18 04:00:34-07:00,6.49,178.299,6.453,23.9295,25.956,417.4,7.7,59.8,0.37,0.97,1.05,2.0,1.0,STAT,,,,,5.9672
2025-03-18 04:01:34-07:00,6.44,184.18400000000003,5.967,24.78,26.112000000000002,417.79,7.7,60.0,0.15,0.74,0.77,2.0,1.0,STAT,,,,,5.8144
2025-03-18 04:02:34-07:00,6.42,187.74800000000002,5.508,24.349500000000003,28.02,418.28,7.6,60.2,0.2,1.36,1.59,2.0,0.0,STAT,,,,,6.692
2025-03-18 04:03:35-07:00,6.41,188.87,6.57,22.365000000000002,29.663999999999998,418.94,7.6,60.6,0.33,1.22,1.43,2.0,1.0,STAT,,,,,6.9088
2025-03-18 04:04:35-07:00,6.4,194.39200000000002,6.354,23.9295,27.348,418.98,7.6,60.8,0.22,0.79,0.93,2.0,0.0,STAT,,,,,6.1015999999999995
2025-03-18 04:05:35-07:00,6.36,192.29100000000003,6.237,24.78,27.0,418.99,7.6,61.0,0.44,1.02,1.07,2.0,0.0,STAT,,,,,6.216
2025-03-18 04:06:36-07:00,6.33,190.78400000000002,6.516,24.024,28.56,419.0,7.5,61.2,0.32,0.97,1.25,2.0,0.0,STAT,,,,,6.4879999999999995
2025-03-18 04:07:36-07:00,6.32,190.25600000000003,5.382000000000001,24.612000000000002,25.656,419.0,7.5,61.4,0.18,0.99,1.1,2.0,0.0,STAT,,,,,5.9232
2025-03-18 04:08:36-07:00,6.3,184.811,6.3,22.449,26.496,419.0,7.5,61.6,0.06,1.24,1.59,2.0,0.0,STAT,,,,,6.2912
2025-03-18 04:09:36-07:00,6.3,182.17100000000002,7.146000000000001,22.2075,28.092,419.0,7.5,61.9,0.44,1.17,1.9,2.0,0.0,STAT,,,,,6.5544
2025-03-18 04:10:36-07:00,6.26,184.28300000000002,3.7800000000000002,22.1865,28.068,419.0,7.5,62.2,0.82,1.58,1.92,1.0,0.0,STAT,,,,,6.877600000000001
2025-03-18 04:11:36-07:00,6.23,186.252,3.6,22.3125,27.852,419.0,7.5,62.5,0.87,1.77,1.93,1.0,0.0,STAT,,,,,6.986400000000001
2025-03-18 04:12:36-07:00,6.22,186.549,5.6610000000000005,21.052500000000002,30.131999999999998,419.0,7.5,62.8,0.96,2.02,2.41,1.0,1.0,STAT,,,,,7.6424
2025-03-18 04:13:33-07:00,6.21,190.872,3.9600000000000004,21.945,31.055999999999997,419.0,7.4,63.0,0.92,1.95,2.35,2.0,1.0,STAT,,,,,7.7712
2025-03-18 04:14:33-07:00,6.2,189.508,5.562,22.7115,26.220000000000002,419.0,7.5,63.2,0.82,2.04,2.17,2.0,0.0,STAT,,,,,6.876000000000001
2025-03-18 04:15:33-07:00,6.19,189.387,5.112,22.323000000000004,26.483999999999998,419.0,7.4,63.4,0.75,1.81,1.86,2.0,0.0,STAT,,,,,6.744800000000001
2025-03-18 04:16:33-07:00,6.17,189.178,7.6049999999999995,21.4725,27.587999999999997,418.65,7.4,63.6,0.68,1.78,1.96,2.0,0.0,STAT,,,,,6.9416
2025-03-18 04:17:33-07:00,6.13,191.411,4.707000000000001,22.5645,28.38,418.23,7.4,63.9,1.06,2.14,2.33,2.0,0.0,STAT,,,,,7.388
2025-03-18 04:18:33-07:00,6.11,191.334,2.727,22.7955,27.348,418.08,7.4,63.9,1.02,2.24,3.1,2.0,0.0,STAT,,,,,7.2616
2025-03-18 04:19:33-07:00,6.11,195.228,3.231,22.176000000000002,30.023999999999997,418.03,7.3,64.3,1.5,3.88,4.33,2.0,0.0,STAT,,,,,9.108799999999999
2025-03-18 04:20:33-07:00,6.11,194.931,6.507000000000001,20.863500000000002,30.671999999999997,417.36,7.3,64.5,1.57,3.55,3.82,2.0,0.0,STAT,,,,,8.9744
2025-03-18 04:21:34-07:00,6.1,192.59900000000002,6.309,22.26,28.548,417.13,7.3,64.6,1.79,3.78,4.05,1.0,0.0,STAT,,,,,8.7336
2025-03-18 04:22:34-07:00,6.09,192.34600000000003,4.851,21.6615,30.468,417.04,7.3,64.8,1.67,3.68,3.78,2.0,0.0,STAT,,,,,9.037600000000001
2025-03-18 04:23:34-07:00,6.09,198.77,6.6240000000000006,21.042,31.62,416.62,7.3,65.0,1.53,3.21,3.46,1.0,0.0,STAT,,,,,8.892000000000001
2025-03-18 04:24:35-07:00,6.07,192.76400000000004,5.976,20.7165,31.86,416.22,7.3,65.2,1.44,2.74,2.86,1.0,1.0,STAT,,,,,8.564
2025-03-18 04:25:35-07:00,6.04,191.477,6.453,20.0655,31.595999999999997,415.85,7.3,65.3,1.15,2.6,2.87,1.0,0.0,STAT,,,,,8.3992
2025-03-18 04:26:35-07:00,6.02,192.58800000000002,6.795,21.6825,28.355999999999998,415.3,7.3,65.3,1.05,2.56,2.78,1.0,0.0,STAT,,,,,7.7192
2025-03-18 04:27:35-07:00,6.01,190.542,7.119000000000001,22.491000000000003,26.412000000000003,415.19,7.3,65.3,1.02,2.81,2.88,2.0,0.0,STAT,,,,,7.530400000000001
