DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,32,-32,3231686381,137,25,-2,-36,3829631441,AQI
2025-03-20 12:22:30-07:00,6.61,202.543,8.703,18.4905,36.0,420.52,7.7,72.4,0.14,1.46,1.51,0.0,STAT,,,,,,,8.368
2025-03-20 12:23:31-07:00,6.61,199.584,9.522,19.078500000000002,35.772,421.33,7.7,72.4,0.05,1.09,1.36,-1.0,STAT,,,,,,,8.0264
2025-03-20 12:24:31-07:00,6.61,196.27300000000002,8.676,21.052500000000002,33.612,422.34,7.8,72.6,0.09,1.1,1.3,0.0,STAT,,,,,,,7.6024
2025-03-20 12:25:31-07:00,6.61,202.18000000000004,8.901000000000002,20.727,34.86,423.43,7.8,72.4,0.45,1.31,1.66,0.0,STAT,,,,,,,8.02
2025-03-20 12:26:31-07:00,6.61,475.81600000000003,9.288,20.464499999999997,37.236,423.8,7.7,72.1,0.39,1.13,1.24,0.0,STAT,,,,,,,8.351199999999999
2025-03-20 12:27:31-07:00,6.62,535.128,8.784,20.769000000000002,38.568,423.58,7.7,72.1,0.21,1.04,1.08,0.0,STAT,,,,,,,8.5456
2025-03-20 12:28:31-07:00,6.62,450.252,7.767000000000001,21.052500000000002,36.263999999999996,423.78,7.7,72.3,0.07,1.01,1.03,0.0,STAT,,,,,,,8.0608
2025-03-20 12:29:33-07:00,6.61,357.379,7.614000000000001,20.706,35.076,423.92,7.7,72.3,0.39,1.36,1.82,0.0,STAT,,,,,,,8.103200000000001
2025-03-20 12:30:33-07:00,6.61,285.97800000000007,9.315,20.695500000000003,36.779999999999994,423.97,7.7,72.2,0.13,1.38,1.89,0.0,STAT,,,,,,,8.459999999999999
2025-03-20 12:31:33-07:00,6.61,245.86100000000002,8.082,21.357,36.372,423.99,7.7,72.3,0.28,1.65,1.82,0.0,STAT,,,,,,,8.5944
2025-03-20 12:32:33-07:00,6.61,227.44700000000003,11.718,22.302,34.68,423.54,7.7,72.3,0.1,1.12,1.27,0.0,STAT,,,,,,,7.832
2025-03-20 12:33:33-07:00,6.62,216.72200000000004,7.587,21.147000000000002,37.428,423.19,7.7,72.6,0.11,1.57,1.62,0.0,STAT,,,,,,,8.7416
2025-03-20 12:34:33-07:00,6.61,213.818,6.057,21.252,36.912,423.2,7.7,72.3,0.06,1.33,1.77,0.0,STAT,,,,,,,8.4464
2025-03-20 12:35:33-07:00,6.61,213.58700000000002,7.002000000000001,23.562,34.763999999999996,423.07,7.7,72.3,0.18,1.27,1.67,-1.0,STAT,,,,,,,7.9688
2025-03-20 12:36:33-07:00,6.61,218.229,7.947,24.6855,33.384,423.02,7.7,72.5,0.43,1.09,1.31,0.0,STAT,,,,,,,7.5488
2025-03-20 12:37:34-07:00,6.62,212.64100000000002,5.760000000000001,24.2025,32.315999999999995,423.01,7.7,72.8,0.29,1.22,1.95,0.0,STAT,,,,,,,7.4392
2025-03-20 12:38:34-07:00,6.62,210.21,7.317000000000001,23.7615,31.355999999999998,423.0,7.7,72.8,0.12,1.25,1.49,0.0,STAT,,,,,,,7.2712
2025-03-20 12:39:34-07:00,6.62,208.98900000000003,8.586,22.008000000000003,34.98,423.5,7.7,73.1,0.52,1.57,1.69,0.0,STAT,,,,,,,8.251999999999999
2025-03-20 12:40:34-07:00,6.62,211.64000000000001,6.66,23.247,32.087999999999994,423.82,7.7,73.3,0.25,1.31,1.85,0.0,STAT,,,,,,,7.465599999999999
2025-03-20 12:41:34-07:00,6.62,217.11800000000002,8.901000000000002,24.633000000000003,33.108,423.94,7.8,73.2,0.3,1.24,1.44,0.0,STAT,,,,,,,7.6136
2025-03-20 12:42:34-07:00,6.61,215.39100000000002,10.836,22.029,35.916,423.98,7.8,72.7,0.11,1.2,1.52,0.0,STAT,,,,,,,8.1432
2025-03-20 12:43:34-07:00,6.62,219.41700000000003,10.188,21.777,36.408,423.99,7.8,73.0,0.35,1.48,2.1,-1.0,STAT,,,,,,,8.4656
2025-03-20 12:44:34-07:00,6.61,218.735,9.333,23.9715,34.944,424.0,7.7,72.9,0.33,1.34,1.6,0.0,STAT,,,,,,,8.0608
2025-03-20 12:45:35-07:00,6.61,217.536,9.360000000000001,25.567500000000003,31.451999999999998,424.08,7.7,73.3,0.14,1.19,1.27,0.0,STAT,,,,,,,7.2424
2025-03-20 12:46:35-07:00,6.62,220.75900000000001,7.893,23.898000000000003,33.984,424.6,7.8,73.2,0.05,1.13,1.25,0.0,STAT,,,,,,,7.700800000000001
2025-03-20 12:47:35-07:00,6.61,218.13000000000002,7.317000000000001,23.635500000000004,32.891999999999996,424.86,7.7,73.1,0.37,1.76,1.8,-1.0,STAT,,,,,,,7.9864
2025-03-20 12:48:35-07:00,6.62,211.20000000000002,7.829999999999999,25.357499999999998,33.3,424.95,7.7,73.2,0.13,1.29,1.31,0.0,STAT,,,,,,,7.692
2025-03-20 12:49:35-07:00,6.61,213.675,6.732,23.583000000000002,34.199999999999996,424.98,7.8,73.4,0.6,1.41,1.41,0.0,STAT,,,,,,,7.968
2025-03-20 12:50:35-07:00,6.61,214.00500000000002,6.192,22.47,35.147999999999996,425.08,7.7,73.0,0.42,1.71,1.71,0.0,STAT,,,,,,,8.397599999999999
2025-03-20 12:51:35-07:00,6.62,212.036,5.22,23.509500000000003,34.007999999999996,425.52,7.7,72.9,0.39,1.25,1.44,0.0,STAT,,,,,,,7.8016
2025-03-20 12:52:35-07:00,6.61,208.681,7.659,21.819000000000003,35.879999999999995,425.18,7.7,72.9,0.2,1.0,1.11,0.0,STAT,,,,,,,7.975999999999999
2025-03-20 12:53:36-07:00,6.61,208.06500000000003,9.432,21.315,35.123999999999995,425.06,7.7,73.1,0.33,1.49,1.82,-1.0,STAT,,,,,,,8.2168
2025-03-20 12:54:36-07:00,6.61,214.56600000000003,9.531,22.7955,34.355999999999995,425.64,7.7,73.2,0.11,1.53,2.15,-1.0,STAT,,,,,,,8.095199999999998
