DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,104,23,-6,-32,3223509726,92,-1,-27,2684860687,AQI
2025-03-16 09:41:10-07:00,6.42,171.501,7.101,16.758000000000003,21.624,355.62,7.8,76.6,2.2,4.5,4.87,18.0,0,-2.0,STAT,,,,,,7.924799999999999
2025-03-16 09:42:10-07:00,6.42,172.48000000000002,8.118,16.0755,25.163999999999998,355.86,7.8,76.8,1.65,3.66,4.2,17.0,0,-1.0,STAT,,,,,,7.960800000000001
2025-03-16 09:43:10-07:00,6.42,167.684,9.485999999999999,16.338,24.66,355.95,7.8,76.7,1.83,3.78,4.2,17.0,0,-1.0,STAT,,,,,,7.956
2025-03-16 09:44:10-07:00,6.42,166.73800000000003,7.2,15.687,23.34,355.98,7.8,76.8,1.8,4.18,5.36,18.0,0,-1.0,STAT,,,,,,8.012
2025-03-16 09:45:10-07:00,6.42,169.62,9.738000000000001,16.548000000000002,20.784,356.07,7.9,76.9,1.85,3.97,4.93,17.0,0,-2.0,STAT,,,,,,7.3328
2025-03-16 09:46:10-07:00,6.42,171.16,9.765,18.4065,17.712,356.56,7.8,76.9,1.44,3.75,4.22,16.0,0,-3.0,STAT,,,,,,6.542400000000001
2025-03-16 09:47:10-07:00,6.42,174.21800000000002,9.558,17.6295,21.779999999999998,356.84,7.9,76.7,1.61,4.28,4.95,16.0,0,-3.0,STAT,,,,,,7.78
2025-03-16 09:48:11-07:00,6.42,190.35500000000002,8.055,18.0075,23.124,356.95,7.9,76.6,1.68,3.8,4.05,18.0,0,-2.0,STAT,,,,,,7.6648
2025-03-16 09:49:11-07:00,6.42,193.116,8.784,17.8185,21.695999999999998,356.98,7.9,76.6,2.01,4.34,4.65,17.0,0,-2.0,STAT,,,,,,7.8111999999999995
2025-03-16 09:50:11-07:00,6.42,198.836,8.253,18.081,21.791999999999998,356.99,7.9,76.6,2.0,4.64,5.2,18.0,0,-2.0,STAT,,,,,,8.0704
2025-03-16 09:51:06-07:00,6.42,210.60600000000002,10.44,17.682000000000002,20.255999999999997,357.0,7.9,76.6,1.97,4.39,4.74,17.0,0,-2.0,STAT,,,,,,7.5632
2025-03-16 09:52:06-07:00,6.42,218.58100000000002,7.641,18.6795,24.0,357.0,7.9,76.7,1.73,3.83,4.09,17.0,0,-1.0,STAT,,,,,,7.864000000000001
2025-03-16 09:53:06-07:00,6.42,230.59300000000002,11.196,19.1625,19.932,357.0,7.9,76.6,1.88,3.76,4.2,15.0,0,-2.0,STAT,,,,,,6.9944
2025-03-16 09:54:06-07:00,6.42,223.091,10.656,18.385500000000004,19.548,357.0,7.9,76.6,1.68,3.86,4.25,17.0,0,-2.0,STAT,,,,,,6.9976
2025-03-16 09:55:06-07:00,6.42,225.86300000000003,9.270000000000001,18.648000000000003,21.924,357.16,7.9,76.6,2.22,5.2,5.59,18.0,0,-1.0,STAT,,,,,,8.5448
2025-03-16 09:56:07-07:00,6.42,225.478,11.241,18.648000000000003,21.468,357.7,7.9,76.6,2.22,5.48,5.83,16.0,0,-2.0,STAT,,,,,,8.677600000000002
2025-03-16 09:57:07-07:00,6.42,217.459,10.395000000000001,18.605999999999998,25.956,357.9,7.9,76.6,2.12,5.39,5.8,16.0,0,-2.0,STAT,,,,,,9.5032
2025-03-16 09:58:07-07:00,6.42,216.304,8.226,19.1835,24.624,357.96,7.9,76.7,2.11,5.87,6.3,17.0,0,-2.0,STAT,,,,,,9.620800000000001
2025-03-16 09:59:07-07:00,6.42,203.401,8.838000000000001,18.480000000000004,23.195999999999998,357.99,7.9,76.3,2.13,6.38,6.62,17.0,0,-2.0,STAT,,,,,,9.7432
2025-03-16 10:00:07-07:00,6.42,197.27400000000003,8.577,18.238500000000002,25.08,358.0,7.9,76.2,2.05,5.86,6.05,16.0,0,-2.0,STAT,,,,,,9.704
2025-03-16 10:01:07-07:00,6.42,194.26000000000002,11.205,16.884,26.076,357.54,7.9,76.3,1.97,4.49,4.77,17.0,0,-3.0,STAT,,,,,,8.807200000000002
2025-03-16 10:02:07-07:00,6.42,196.75700000000003,7.685999999999999,17.041500000000003,24.228,357.19,7.9,76.5,1.75,4.12,4.21,20.0,0,-3.0,STAT,,,,,,8.1416
2025-03-16 10:03:08-07:00,6.42,195.657,8.739,17.020500000000002,25.595999999999997,357.07,7.9,76.3,1.81,4.28,4.6,18.0,0,-2.0,STAT,,,,,,8.543199999999999
2025-03-16 10:04:08-07:00,6.42,187.33000000000004,9.837,20.107499999999998,23.136,357.02,7.9,76.2,2.0,4.93,5.25,16.0,1,-1.0,STAT,,,,,,8.571200000000001
2025-03-16 10:05:08-07:00,6.41,178.629,9.729000000000001,16.863,26.88,357.01,7.9,76.1,1.85,4.85,5.56,16.0,0,-1.0,STAT,,,,,,9.256
2025-03-16 10:06:09-07:00,6.41,179.85000000000002,11.682,17.1045,28.044,356.6,7.9,76.0,1.28,3.66,4.02,15.0,0,-2.0,STAT,,,,,,8.536800000000001
2025-03-16 10:07:09-07:00,6.41,175.29600000000002,9.702,17.619000000000003,26.208,356.21,7.9,76.1,1.73,3.89,4.01,17.0,0,-2.0,STAT,,,,,,8.3536
2025-03-16 10:08:09-07:00,6.42,177.32,9.009,18.354000000000003,25.331999999999997,356.07,7.9,76.3,1.28,3.43,4.06,18.0,0,-2.0,STAT,,,,,,7.8104
2025-03-16 10:09:09-07:00,6.42,172.942,9.792000000000002,16.191,25.836000000000002,356.03,7.9,76.1,1.57,4.07,5.04,17.0,0,-2.0,STAT,,,,,,8.423200000000001
2025-03-16 10:10:09-07:00,6.42,171.40200000000002,6.5520000000000005,16.0545,26.736,355.66,7.9,76.2,1.69,3.98,4.4,19.0,0,-3.0,STAT,,,,,,8.531200000000002
2025-03-16 10:11:08-07:00,6.42,167.893,8.001000000000001,16.905,24.048,355.23,7.9,76.2,1.31,3.24,3.77,18.0,0,-2.0,STAT,,,,,,7.4016
2025-03-16 10:12:09-07:00,6.42,169.76300000000003,10.008,15.603,26.195999999999998,355.08,7.9,76.2,1.24,3.43,3.74,17.0,0,-2.0,STAT,,,,,,7.9832
2025-03-16 10:13:09-07:00,6.42,169.51000000000002,7.5329999999999995,16.695,24.599999999999998,355.03,8.0,76.2,1.36,3.64,4.41,18.0,0,-2.0,STAT,,,,,,7.832000000000001
2025-03-16 10:14:09-07:00,6.42,168.542,9.801,17.2515,24.84,355.01,7.9,76.0,1.66,3.99,4.82,16.0,0,-2.0,STAT,,,,,,8.16
2025-03-16 10:15:09-07:00,6.42,165.82500000000002,8.487,17.304000000000002,26.592,354.77,7.9,75.6,1.81,4.35,4.93,18.0,0,-3.0,STAT,,,,,,8.7984
2025-03-16 10:16:09-07:00,6.42,165.627,8.649,14.175,30.828,354.27,7.9,75.6,1.23,2.74,3.06,21.0,0,-2.0,STAT,,,,,,8.357600000000001
2025-03-16 10:17:09-07:00,6.43,168.41,7.3709999999999996,14.2695,28.523999999999997,354.1,7.9,75.7,1.48,3.44,3.89,19.0,0,-3.0,STAT,,,,,,8.4568
2025-03-16 10:18:09-07:00,6.45,159.962,5.8500000000000005,13.3665,28.572,354.03,7.9,75.9,1.83,4.37,4.53,21.0,0,-3.0,STAT,,,,,,9.2104
2025-03-16 10:19:09-07:00,6.47,157.06900000000002,7.785,12.684000000000001,30.671999999999997,353.47,7.9,75.7,1.7,3.48,3.78,20.0,-1,-3.0,STAT,,,,,,8.9184
2025-03-16 10:20:09-07:00,6.49,161.579,9.963000000000001,12.631499999999999,31.284,353.16,7.9,75.3,1.65,3.26,3.96,17.0,0,-2.0,STAT,,,,,,8.8648
2025-03-16 10:21:10-07:00,6.49,161.062,9.450000000000001,12.285,33.96,353.06,8.0,75.5,1.42,3.29,3.89,18.0,0,-1.0,STAT,,,,,,9.424000000000001
