DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,99,46,4,-26,6,0,0.00000,0.00000.1,0.1,2207430083,116,22,-1,-28,3863930995,AQI
2025-03-09 04:59:16-07:00,10.43,162.987,8.595,5.4705,32.628,410.75,11.0,73.8,1.3,2.95,3.2,0.0,0.0,1,13.7,2.23,40.83,1,-16,31.0,-2.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.8856
2025-03-09 05:00:17-07:00,10.44,158.77400000000003,8.316,5.7855,33.156,410.97,11.0,73.8,1.14,2.72,3.27,0.0,0.0,1,13.98,136.04,32.88,1,-14,31.0,-2.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.8072
2025-03-09 05:01:17-07:00,10.44,163.526,8.73,5.365500000000001,34.187999999999995,410.99,11.0,73.7,1.39,3.01,3.23,0.0,0.0,1,13.87,38.42,30.98,1,-20,31.0,-1.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,9.2456
2025-03-09 05:02:17-07:00,10.44,161.733,10.269,4.9350000000000005,33.815999999999995,411.0,11.0,73.7,1.15,2.63,3.35,0.0,0.0,1,13.8,10.85,32.08,1,-18,31.0,-2.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.8672
2025-03-09 05:03:17-07:00,10.45,162.56900000000002,10.422,5.397,33.444,411.0,11.1,73.6,1.14,2.98,3.33,0.0,0.0,1,13.77,3.06,31.17,1,-20,30.0,-2.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,9.0728
2025-03-09 05:04:17-07:00,10.45,155.68300000000002,9.315,5.691,32.112,411.0,11.0,73.8,1.08,2.64,2.76,0.0,0.0,1,13.7,0.87,40.66,1,-18,31.0,-1.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.534400000000002
2025-03-09 05:05:17-07:00,10.45,166.29800000000003,10.314000000000002,6.1005,31.116,411.0,11.1,73.6,1.22,2.65,2.87,0.0,0.0,1,13.91,127.38,34.59,1,-19,31.0,-1.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.3432
2025-03-09 05:06:17-07:00,10.45,166.254,8.217,5.4915,34.044,411.08,11.1,73.6,1.18,2.61,3.01,0.0,0.0,1,13.84,35.98,33.07,1,-20,33.0,-1.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.896799999999999
2025-03-09 05:07:17-07:00,10.45,167.035,10.746,4.8825,35.64,411.32,11.1,73.6,1.06,2.34,2.61,0.0,0.0,1,13.77,10.16,31.55,1,-19,32.0,-2.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,9.0
2025-03-09 05:08:17-07:00,10.45,165.84700000000004,9.648000000000001,5.197500000000001,34.812,411.24,11.0,73.4,1.02,2.56,2.8,0.0,0.0,1,13.73,2.87,30.51,1,-19,32.0,-2.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,9.0104
