DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,126,20,1308663380,113,-3,4156406037,AQI
2025-03-11 03:58:49-07:00,4.64,214.709,10.692,14.973,25.284,410.82,6.3,78.7,2.29,3.41,3.51,13.0,0.0,,,,,7.784800000000001
2025-03-11 03:59:49-07:00,4.64,218.19600000000003,7.389000000000001,13.713000000000001,26.976,410.94,6.3,78.6,1.88,3.09,3.34,15.0,-1.0,,,,,7.8672
2025-03-11 04:00:49-07:00,4.64,218.54800000000003,8.388,14.994,25.116,410.98,6.3,78.6,1.45,2.55,2.75,15.0,0.0,,,,,7.0632
2025-03-11 04:01:49-07:00,4.63,216.887,7.452,14.973,24.192,410.99,6.3,78.7,1.16,2.57,2.64,15.0,0.0,,,,,6.8944
2025-03-11 04:02:49-07:00,4.63,216.18300000000002,8.496,13.818000000000001,26.124,411.0,6.3,78.7,1.27,2.64,2.66,14.0,0.0,,,,,7.3368
2025-03-11 04:03:48-07:00,4.63,218.55900000000003,8.226,14.3535,25.452,411.0,6.3,78.6,1.29,2.57,2.58,14.0,0.0,,,,,7.146400000000001
2025-03-11 04:04:48-07:00,4.63,219.879,7.2989999999999995,14.574000000000002,23.868,411.0,6.3,78.6,1.09,2.26,2.39,15.0,0.0,,,,,6.5816
2025-03-11 04:05:49-07:00,4.63,221.67200000000003,7.263000000000001,16.2225,23.904,411.0,6.3,78.5,1.07,1.86,1.91,14.0,0.0,,,,,6.268800000000001
2025-03-11 04:06:49-07:00,4.62,222.32100000000003,8.622,15.435,25.836000000000002,411.0,6.3,78.5,1.13,2.19,2.59,14.0,0.0,,,,,6.919200000000001
2025-03-11 04:07:49-07:00,4.6,216.75500000000002,9.117,15.3195,25.068,411.5,6.3,78.6,1.19,2.31,2.48,14.0,0.0,,,,,6.8616
2025-03-11 04:08:50-07:00,4.57,216.07300000000004,8.847,15.834000000000001,23.34,411.82,6.3,78.6,1.66,2.63,2.97,14.0,0.0,,,,,6.772
2025-03-11 04:09:50-07:00,4.56,221.199,8.514000000000001,14.794500000000001,25.776,411.94,6.3,78.5,1.8,2.42,2.91,16.0,0.0,,,,,7.091200000000001
2025-03-11 04:10:50-07:00,4.56,217.23900000000003,9.144,14.469,23.688,411.98,6.3,78.5,1.68,3.09,3.33,15.0,0.0,,,,,7.2096
2025-03-11 04:11:50-07:00,4.56,213.78500000000003,7.479000000000001,14.028,25.331999999999997,411.99,6.3,78.4,2.03,3.38,3.48,15.0,-1.0,,,,,7.7704
2025-03-11 04:12:50-07:00,4.55,217.37100000000004,11.088000000000001,13.9335,24.144000000000002,412.0,6.3,78.5,2.15,3.97,4.39,13.0,0.0,,,,,8.004800000000001
2025-03-11 04:13:52-07:00,4.55,220.693,10.8,15.1095,23.220000000000002,412.0,6.3,78.4,2.25,3.58,4.86,12.0,0.0,,,,,7.508000000000001
2025-03-11 04:14:52-07:00,4.55,218.41600000000003,10.989,15.414,22.416,412.65,6.3,78.5,2.09,3.69,4.13,13.0,0.0,,,,,7.4352
2025-03-11 04:15:52-07:00,4.55,220.06600000000003,10.232999999999999,15.162,20.255999999999997,413.46,6.3,78.5,2.14,3.3,3.92,14.0,0.0,,,,,6.6912
2025-03-11 04:16:52-07:00,4.55,217.393,9.918,14.238000000000001,20.76,413.81,6.3,78.5,2.27,3.54,3.87,15.0,-1.0,,,,,6.984
