DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,101,21,-2,3548070687,97,-4,540226349,AQI
2025-03-17 15:37:58-07:00,2.09,754.49,51.75,13.5135,6.156,604.33,5.3,83.9,11.47,18.73,19.88,6.0,-8.0,-9.0,,,,,16.215200000000003
2025-03-17 15:38:58-07:00,2.17,740.355,51.876000000000005,12.096,8.867999999999999,605.41,5.4,83.8,11.62,18.71,19.6,7.0,-9.0,-9.0,,,,,16.741600000000002
2025-03-17 15:39:58-07:00,2.26,739.7170000000001,51.462,13.104000000000001,7.128,604.96,5.5,83.7,12.06,18.45,19.2,7.0,-8.0,-9.0,,,,,16.1856
2025-03-17 15:40:59-07:00,2.35,735.0090000000001,50.886,13.272000000000002,8.016,603.31,5.6,83.4,11.56,18.68,19.43,7.0,-8.0,-9.0,,,,,16.5472
2025-03-17 15:41:59-07:00,2.45,733.612,52.155,12.725999999999999,9.888,603.89,5.6,83.4,-1.0,-1.0,-1.0,8.0,-8.0,-9.0,,,,,1.1776
2025-03-17 15:42:59-07:00,2.55,729.6520000000002,54.018,13.608000000000002,7.38,610.26,5.6,83.4,-1.0,-1.0,-1.0,9.0,-8.0,-10.0,,,,,0.6759999999999999
2025-03-17 15:43:59-07:00,2.64,727.1110000000001,52.308,13.566,7.4879999999999995,624.04,5.6,83.4,-1.0,-1.0,-1.0,10.0,-9.0,-10.0,,,,,0.6976
2025-03-17 15:45:00-07:00,2.74,725.6810000000002,54.639,13.503,6.048,634.45,5.6,83.4,-1.0,-1.0,-1.0,8.0,-9.0,-10.0,,,,,0.40959999999999996
2025-03-17 15:46:00-07:00,2.85,753.3570000000001,54.027,12.600000000000001,7.428,642.07,6.0,82.4,11.39,18.48,19.14,8.0,-9.0,-10.0,,,,,16.2696
2025-03-17 15:47:00-07:00,2.95,753.115,53.109,13.3245,5.52,648.57,6.1,82.3,10.42,16.67,17.22,8.0,-8.0,-10.0,,,,,14.440000000000001
