DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,311,31,-12,-22,6,0,0.00000,0.00000.1,0.1,2653650863,117,32,-4,-24,3112743976,AQI
2025-03-07 16:25:56-08:00,6.99,249.89800000000002,11.007000000000001,13.902000000000001,17.376,437.93,8.6,68.8,3.44,5.6,5.66,0.0,0.0,1,14.05,157.79,32.66,1,-27,19.0,-1.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,7.9552
2025-03-07 16:26:56-08:00,7.01,247.30200000000002,10.602,13.671,18.9,437.98,8.6,68.7,3.24,6.29,6.48,0.0,0.0,1,13.95,44.57,31.94,1,-28,20.0,-1.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.812
2025-03-07 16:27:57-08:00,7.02,231.60500000000002,10.305,13.881000000000002,19.224,437.99,8.6,68.7,3.16,6.47,6.53,0.0,0.0,1,13.87,12.59,29.37,1,-24,21.0,-1.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,9.020800000000001
2025-03-07 16:28:57-08:00,7.03,222.28800000000004,10.656,14.185500000000001,17.532,438.0,8.6,68.8,3.39,6.64,6.66,0.0,0.0,1,13.84,3.55,35.59,1,-25,20.0,0.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.8184
2025-03-07 16:29:57-08:00,7.03,220.53900000000002,10.98,14.847000000000001,17.868,437.68,8.6,68.9,3.51,7.41,7.42,0.0,0.0,1,14.05,171.77,33.04,1,-22,20.0,0.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,9.5016
2025-03-07 16:30:57-08:00,7.04,232.29800000000003,11.673,17.041500000000003,17.556,437.8,8.6,68.7,3.68,6.7,7.4,0.0,0.0,1,13.98,48.51,29.52,1,-27,19.0,0.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.871200000000002
2025-03-07 16:31:57-08:00,7.08,242.78100000000003,11.889000000000001,16.17,15.864,437.28,8.6,68.9,3.32,6.06,6.29,0.0,0.0,1,13.91,13.7,30.52,1,-27,18.0,0.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.020800000000001
2025-03-07 16:32:58-08:00,7.1,242.75900000000001,12.969000000000001,16.212,16.823999999999998,437.1,8.6,68.9,3.58,6.3,7.17,0.0,0.0,1,13.84,3.87,34.78,1,-25,18.0,0.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.4048
2025-03-07 16:33:58-08:00,7.11,227.20500000000004,12.564000000000002,16.768500000000003,15.756,436.53,8.5,68.9,3.15,6.0,6.34,0.0,0.0,1,14.09,124.35,34.94,1,-23,17.0,0.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,7.951200000000001
2025-03-07 16:34:58-08:00,7.12,223.49800000000002,12.258,14.8785,17.82,436.19,8.6,69.0,3.06,5.59,5.77,0.0,0.0,1,13.98,35.12,33.39,1,-26,18.0,-1.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.036000000000001
2025-03-07 16:35:58-08:00,7.13,229.779,11.466000000000001,15.792,18.48,436.07,8.6,68.9,2.99,5.89,6.24,0.0,0.0,1,13.91,9.92,28.98,1,-25,20.0,-1.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.408
2025-03-07 16:36:58-08:00,7.13,241.74700000000004,11.187,15.6135,16.896,436.18,8.6,68.8,3.33,5.88,6.0,0.0,0.0,1,13.87,2.8,28.83,1,-24,20.0,-1.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.0832
2025-03-07 16:37:58-08:00,7.13,234.78400000000002,10.836,16.453500000000002,15.719999999999999,436.71,8.6,68.9,3.1,5.82,5.91,0.0,0.0,1,13.84,0.79,34.0,1,-23,19.0,0.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,7.800000000000001
2025-03-07 16:38:58-08:00,7.13,236.544,11.214,15.561000000000002,18.599999999999998,436.9,8.6,68.7,3.32,6.07,6.29,0.0,0.0,1,14.02,73.94,38.31,1,-25,19.0,0.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.576
2025-03-07 16:39:58-08:00,7.13,304.07300000000004,12.285,15.739500000000001,18.564,436.79,8.6,68.9,2.81,5.36,5.67,0.0,0.0,1,13.95,20.88,35.74,1,-26,19.0,0.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.0008
2025-03-07 16:40:59-08:00,7.13,265.36400000000003,11.349,15.5085,18.192,436.93,8.5,68.9,2.72,5.24,5.34,0.0,0.0,1,13.87,5.9,31.37,1,-25,20.0,0.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,7.830400000000001
2025-03-07 16:41:59-08:00,7.14,231.81400000000002,10.584,15.666,15.372,436.44,8.5,68.8,2.44,5.3,5.48,0.0,0.0,1,13.84,1.67,29.37,1,-24,20.0,0.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,7.314400000000001
2025-03-07 16:42:59-08:00,7.16,231.616,9.837,15.277500000000002,16.26,436.15,8.5,68.9,2.8,5.28,5.34,0.0,0.0,1,14.12,199.45,29.86,1,-24,21.0,0.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,7.476000000000001
2025-03-07 16:44:00-08:00,7.18,225.87400000000002,9.522,14.469,18.983999999999998,436.05,8.5,68.8,3.1,5.45,5.59,0.0,0.0,1,13.95,56.33,35.31,1,-25,21.0,0.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.1568
2025-03-07 16:45:00-08:00,7.2,224.466,10.575000000000001,13.996500000000001,18.72,436.02,8.5,68.9,2.92,5.36,5.57,0.0,0.0,1,13.91,15.91,32.08,1,-25,20.0,0.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.032
2025-03-07 16:46:00-08:00,7.21,220.63800000000003,11.07,13.482000000000001,18.192,436.01,8.5,68.9,2.57,5.8,5.87,0.0,0.0,1,13.87,4.49,30.01,1,-25,19.0,-1.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,8.2784
2025-03-07 16:47:00-08:00,7.21,231.45100000000002,11.079,14.217,18.084,436.0,8.5,68.9,2.8,5.32,5.34,0.0,0.0,1,14.12,161.95,32.43,1,-25,20.0,0.0,-2.0,STAT,0,LAT,LON,W,CRC,,,,,,,7.8728
