DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,3023022787,AQI
2025-03-10 14:21:31-07:00,1.23,577.863,34.533,24.381,0.132,542.04,4.4,80.3,3.93,5.67,5.68,,4.5624
2025-03-10 14:22:31-07:00,1.25,565.169,33.345,23.8455,-0.132,542.66,4.4,80.2,4.4,6.56,7.04,,5.2216000000000005
2025-03-10 14:23:32-07:00,1.25,558.9870000000001,33.426,23.247,0.276,542.88,4.4,80.1,3.82,6.11,6.26,,4.943200000000001
2025-03-10 14:24:32-07:00,1.25,557.04,33.111,23.205000000000002,-0.54,542.96,4.3,80.0,3.91,5.73,5.78,,4.476000000000001
2025-03-10 14:25:32-07:00,1.25,563.5960000000001,33.632999999999996,20.9055,3.6239999999999997,542.99,4.4,79.9,3.97,6.27,6.75,,5.7408
2025-03-10 14:26:32-07:00,1.25,561.759,32.589,21.504,1.428,542.49,4.4,79.9,4.06,7.07,7.23,,5.9416
2025-03-10 14:27:32-07:00,1.25,593.758,38.034,19.918499999999998,2.6999999999999997,542.17,4.4,79.9,3.62,5.98,6.26,,5.324000000000001
2025-03-10 14:28:32-07:00,1.25,616.616,38.331,22.617,1.104,542.06,4.3,79.8,3.94,5.99,6.08,,5.0128
2025-03-10 14:29:32-07:00,1.25,624.8000000000001,37.583999999999996,21.4935,1.404,542.02,4.3,79.7,3.9,5.71,5.74,,4.848800000000001
2025-03-10 14:30:32-07:00,1.25,618.8710000000001,35.496,21.9975,0.6,542.3,4.3,79.6,3.92,5.98,6.23,,4.904000000000001
2025-03-10 14:31:33-07:00,1.25,627.9350000000001,35.766000000000005,22.8165,1.08,544.09,4.3,79.6,3.5,5.54,5.93,,4.648000000000001
2025-03-10 14:32:33-07:00,1.25,641.355,34.92,23.1735,1.14,546.52,4.3,79.6,3.8,6.04,6.68,,5.0600000000000005
2025-03-10 14:33:34-07:00,1.25,643.7090000000001,36.135,21.6825,2.34,547.48,4.3,79.8,4.42,7.32,8.01,,6.324000000000001
2025-03-10 14:34:34-07:00,1.26,645.7770000000002,37.566,23.142,2.796,548.87,4.3,79.7,4.7,7.67,7.91,,6.6952
