DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,AQHI
2025-04-06T17:00:12,QAQ,759.7700000000001,599.22,1729.875,1986.7199999999998,1314.7,13.5,81.1,1.35,4.9,17.27,0.4773504063786447
2025-04-06T17:01:12,QAQ,760.8700000000001,599.49,1729.98,1986.84,1317.1,13.5,81.1,1.38,4.88,16.68,0.4768885244145802
2025-04-06T17:02:12,QAQ,763.73,600.21,1729.7700000000002,1986.36,1316.5,13.5,80.8,1.36,4.64,11.49,0.47296541613420867
2025-04-06T17:03:12,QAQ,761.2,600.12,1729.5600000000002,1986.12,1313.6,13.5,80.3,1.32,4.2,8.91,0.4658336264117738
2025-04-06T17:04:12,QAQ,760.21,599.85,1729.7700000000002,1986.36,1316.3,13.5,80.5,1.3,3.97,10.09,0.4594020015397958
2025-04-06T17:05:12,QAQ,759.88,600.0300000000001,1729.875,1986.6,1314.8,13.5,80.9,1.47,4.87,13.44,0.46215747960083914
2025-04-06T17:06:12,QAQ,759.88,599.31,1729.875,1986.7199999999998,1314.2,13.5,80.6,1.37,4.63,11.14,0.4625175162015643
2025-04-06T17:07:12,QAQ,759.44,599.49,1730.085,1986.7199999999998,1315.6,13.4,81.3,1.53,5.51,16.07,0.46795237307070475
2025-04-06T17:08:12,QAQ,759.99,599.4,1730.085,1986.9599999999998,1317.0,13.4,81.1,1.32,4.26,9.83,0.46566236591938365
2025-04-06T17:09:12,QAQ,760.5400000000001,599.67,1730.4,1987.3199999999997,1314.8,13.4,81.7,1.57,5.86,18.01,0.4713443496868496
2025-04-06T17:10:12,QAQ,761.53,599.67,1729.7700000000002,1986.6,1316.8,13.4,80.8,1.43,5.45,14.66,0.47423581039698687
2025-04-06T17:11:12,QAQ,760.98,599.22,1730.085,1986.84,1314.9,13.4,81.1,1.33,4.39,8.11,0.4725025217100925
2025-04-06T17:12:12,QAQ,759.7700000000001,599.58,1729.98,1986.84,1317.4,13.4,81.4,1.45,5.34,9.26,0.47446521897647026
2025-04-06T17:13:12,QAQ,760.1,599.67,1729.98,1986.7199999999998,1315.2,13.4,81.2,1.46,4.57,12.18,0.4735655525700757
2025-04-06T17:14:12,QAQ,759.44,599.31,1730.085,1987.08,1316.9,13.4,81.3,1.49,4.91,13.43,0.4738515777359782
2025-04-06T17:15:12,QAQ,760.5400000000001,599.49,1730.19,1987.08,1319.5,13.4,81.8,1.51,5.24,13.39,0.47507048577592853
2025-04-06T17:16:12,QAQ,762.74,599.22,1730.4,1987.44,1320.4,13.3,82.0,1.43,5.41,13.8,0.4766175195678115
2025-04-06T17:17:12,QAQ,761.09,599.58,1730.085,1986.9599999999998,1316.1,13.4,82.0,1.58,5.62,15.64,0.4785374596593373
2025-04-06T17:18:12,QAQ,760.1,599.67,1730.085,1987.08,1318.7,13.3,82.0,1.52,5.61,14.45,0.48023095427189255
2025-04-06T17:19:12,QAQ,761.2,599.76,1730.085,1986.9599999999998,1316.3,13.3,81.9,1.64,5.17,10.68,0.48072211960803035
2025-04-06T17:20:12,QAQ,760.5400000000001,599.4,1729.875,1987.1999999999998,1316.7,13.3,81.8,1.43,4.82,9.28,0.4803839204260589
2025-04-06T17:21:12,QAQ,760.3200000000002,599.4,1729.98,1987.08,1312.6,13.3,81.6,1.58,5.7,15.38,0.4819542090878733
2025-04-06T17:22:12,QAQ,761.09,599.1300000000001,1730.085,1987.44,1314.9,13.3,82.0,1.51,5.04,11.6,0.48204215101624953
2025-04-06T17:23:12,QAQ,759.99,599.31,1730.19,1987.1999999999998,1315.4,13.3,82.5,1.68,6.06,11.4,0.4841176325769243
2025-04-06T17:24:12,QAQ,760.21,599.49,1729.875,1987.44,1314.9,13.2,82.2,1.63,6.16,12.62,0.4862143266540219
2025-04-06T17:25:12,QAQ,759.88,599.22,1729.7700000000002,1986.7199999999998,1314.3,13.2,82.1,1.55,5.8,13.09,0.4874980145556608
2025-04-06T17:26:12,QAQ,759.88,599.67,1730.085,1987.08,1315.9,13.2,82.3,1.7,5.91,10.76,0.488879552279284
2025-04-06T17:27:12,QAQ,760.1,598.95,1730.19,1987.44,1314.4,13.2,82.5,1.63,5.34,11.49,0.4892077436412554
2025-04-06T17:28:12,QAQ,760.6500000000001,599.58,1729.98,1987.3199999999997,1320.2,13.2,82.6,1.62,5.33,9.37,0.4894962930121482
2025-04-06T17:29:12,QAQ,760.21,599.1300000000001,1730.085,1987.3199999999997,1317.0,13.2,82.9,1.57,5.58,13.11,0.4901571078517912
2025-04-06T17:30:12,QAQ,760.21,599.1300000000001,1730.19,1987.3199999999997,1310.9,13.2,83.0,1.65,6.52,14.0,0.4921990916066547
2025-04-06T17:31:12,QAQ,759.44,599.22,1730.295,1987.1999999999998,1319.4,13.2,83.1,1.73,6.2,20.19,0.49364410363431727
2025-04-06T17:32:12,QAQ,760.4300000000001,599.58,1730.4,1986.9599999999998,1319.4,13.2,82.7,1.73,6.88,17.7,0.49596885530255996
2025-04-06T17:33:12,QAQ,760.8700000000001,599.0400000000001,1730.19,1987.44,1317.2,13.1,82.8,1.6,5.04,10.98,0.49561638816182957
2025-04-06T17:34:12,QAQ,761.7500000000001,599.76,1730.4,1987.3199999999997,1319.0,13.1,82.9,1.57,5.48,13.51,0.4958745884195212
2025-04-06T17:35:12,QAQ,761.09,599.0400000000001,1730.19,1987.08,1316.7,13.1,83.0,1.65,5.62,13.1,0.49630018640731344
2025-04-06T17:36:12,QAQ,761.8600000000001,599.94,1730.085,1986.9599999999998,1316.1,13.1,82.6,1.6,5.41,14.39,0.49643591270977544
2025-04-06T17:37:12,QAQ,761.4200000000001,599.1300000000001,1730.19,1987.3199999999997,1315.0,13.1,83.0,1.59,5.76,10.78,0.496997635228339
2025-04-06T17:38:12,QAQ,761.8600000000001,598.86,1730.19,1986.9599999999998,1314.7,13.1,82.9,1.52,5.57,13.75,0.4973013536071619
2025-04-06T17:39:12,QAQ,761.09,599.31,1730.295,1987.56,1314.6,13.1,83.2,1.65,5.82,12.77,0.49788431192937516
2025-04-06T17:40:12,QAQ,761.3100000000001,598.86,1730.295,1987.56,1314.6,13.1,83.1,1.67,5.65,9.57,0.49824416990572007
2025-04-06T17:41:12,QAQ,761.4200000000001,599.67,1730.4,1987.1999999999998,1316.7,13.1,83.4,1.77,5.97,13.39,0.4989443679509059
2025-04-06T17:42:12,QAQ,760.7600000000001,599.22,1730.4,1987.8,1317.8,13.1,83.6,1.7,5.44,11.16,0.4990340449415683
2025-04-06T17:43:12,QAQ,760.3200000000002,599.22,1730.4,1987.44,1318.4,13.0,83.9,1.69,6.29,15.58,0.5000262038587072
2025-04-06T17:44:12,QAQ,759.7700000000001,598.86,1730.4,1986.9599999999998,1320.6,13.0,83.5,1.61,6.06,14.05,0.5007337571544257
2025-04-06T17:45:12,QAQ,760.7600000000001,599.22,1730.6100000000001,1987.08,1318.0,13.0,83.5,1.65,5.65,13.77,0.500992598941938
2025-04-06T17:46:12,QAQ,760.98,598.6800000000001,1730.6100000000001,1986.9599999999998,1319.2,13.0,83.5,1.59,5.07,10.0,0.5006609084933692
2025-04-06T17:47:12,QAQ,761.3100000000001,599.1300000000001,1730.4,1987.08,1316.6,13.0,83.3,1.47,4.79,13.81,0.500068927338269
2025-04-06T17:48:12,QAQ,760.8700000000001,599.4,1730.715,1987.56,1318.6,13.0,83.6,1.64,5.16,17.3,0.4998566754517964
2025-04-06T17:49:12,QAQ,760.8700000000001,599.22,1730.5049999999999,1987.08,1318.8,13.0,83.4,1.71,5.63,11.33,0.500093393217378
2025-04-06T17:50:12,QAQ,761.4200000000001,599.22,1730.6100000000001,1986.9599999999998,1316.6,13.0,83.5,1.64,5.91,14.09,0.5005786444057333
2025-04-06T17:51:12,QAQ,760.4300000000001,599.49,1730.4,1987.1999999999998,1318.0,13.0,83.2,1.55,5.85,14.28,0.500990960791532
2025-04-06T17:52:12,QAQ,760.4300000000001,599.4,1730.5049999999999,1987.44,1319.7,13.0,83.4,1.65,6.12,17.51,0.5016273019792239
2025-04-06T17:53:12,QAQ,760.3200000000002,599.22,1730.715,1987.44,1317.6,13.0,83.6,1.62,5.44,12.34,0.5016491733811997
2025-04-06T17:54:12,QAQ,760.5400000000001,599.85,1730.8200000000002,1987.08,1322.0,13.0,83.8,1.6,4.92,15.19,0.5012261754964036
2025-04-06T17:55:12,QAQ,760.1,598.86,1730.4,1987.08,1318.5,13.0,83.8,1.59,5.63,12.56,0.5014129207516888
2025-04-06T17:56:12,QAQ,759.99,599.31,1730.715,1987.8,1321.6,13.0,84.0,1.65,5.72,13.48,0.5016683628625498
2025-04-06T17:57:12,QAQ,761.8600000000001,599.67,1730.4,1986.9599999999998,1317.4,13.0,83.8,1.71,6.06,13.59,0.5021890219783071
2025-04-06T17:58:12,QAQ,761.64,598.86,1730.4,1987.08,1317.7,13.0,83.8,1.63,5.61,13.11,0.5023340383501665
2025-04-06T17:59:12,QAQ,761.8600000000001,598.95,1730.5049999999999,1987.08,1319.8,13.0,83.7,1.54,5.22,9.89,0.5021691867393856
2025-04-06T18:00:12,QAQ,760.4300000000001,599.22,1730.5049999999999,1987.08,1318.7,13.0,83.9,1.56,5.81,13.33,0.5024638555917171
2025-04-06T18:01:12,QAQ,763.73,601.2900000000001,1730.9250000000002,1987.3199999999997,1317.0,13.0,84.0,1.64,5.28,10.86,0.5023484324079286
2025-04-06T18:02:12,QAQ,764.83,599.0400000000001,1730.5049999999999,1986.9599999999998,1322.0,13.0,83.8,1.49,5.19,10.89,0.5021687463576802
2025-04-06T18:03:12,QAQ,761.09,599.22,1730.4,1986.48,1320.7,13.0,83.7,1.51,4.95,8.37,0.5018180852804323
2025-04-06T18:04:12,QAQ,760.5400000000001,599.76,1730.715,1986.9599999999998,1318.0,13.0,84.0,1.55,5.65,15.17,0.5019846255522619
2025-04-06T18:05:12,QAQ,760.7600000000001,599.31,1730.6100000000001,1986.84,1318.3,13.0,83.9,1.46,4.71,8.78,0.501477200385975
2025-04-06T18:06:12,QAQ,761.2,598.95,1730.6100000000001,1986.9599999999998,1319.0,13.0,84.2,1.48,5.2,12.27,0.5013283857422048
2025-04-06T18:07:12,QAQ,762.96,599.1300000000001,1730.6100000000001,1987.08,1318.9,13.0,84.2,1.53,5.17,11.08,0.501163326036088
2025-04-06T18:08:12,QAQ,760.4300000000001,598.86,1731.03,1987.1999999999998,1323.9,13.0,84.2,1.52,4.58,10.85,0.5006021931919449
