DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,AQHI
2025-04-05 23:43:34,,1042.525,1.953,30.597,24.336000000000002,605.4,16.7,51.9,8.49,9.09,15.56,4.28837631178268
2025-04-05 23:44:34,,1042.866,1.989,32.2875,26.255999999999997,605.28,16.7,53.2,8.39,8.75,11.43,4.403343332304876
2025-04-05 23:45:34,,1040.479,1.953,30.5865,23.868,609.37,16.7,52.2,7.68,8.27,17.82,4.343692902036139
2025-04-05 23:46:34,,1045.88,1.9440000000000002,31.059,24.84,604.8,16.7,52.8,7.91,8.46,19.37,4.338985546219455
2025-04-05 23:47:34,,1043.0310000000002,1.953,30.0825,23.808,607.2,16.7,52.4,8.15,8.67,16.8,4.31053205304903
2025-04-05 23:48:34,,1046.2540000000001,1.953,30.807000000000002,24.036,605.88,16.7,52.9,9.0,9.46,16.52,4.310133588073848
2025-04-05 23:49:34,,1048.476,1.935,31.5,26.004,606.6,16.7,54.1,8.64,9.15,30.73,4.33099410182611
2025-04-05 23:50:34,,1043.108,1.872,31.206,24.516,606.48,16.7,55.2,8.77,9.27,16.28,4.334451214605149
2025-04-05 23:51:34,,1054.24,1.917,31.941000000000003,23.676,612.62,16.7,55.4,8.83,9.32,10.48,4.33954529278097
2025-04-05 23:52:34,,1048.971,1.872,31.4475,23.736,608.41,16.7,55.2,8.85,9.33,10.42,4.339735541999444
2025-04-05 23:53:34,,1048.19,1.872,31.458000000000002,23.436,608.77,16.6,54.9,9.44,9.75,22.64,4.3403425919350616
2025-04-05 23:54:34,,1057.4740000000002,1.935,30.2505,23.316,607.45,16.6,54.0,9.91,10.28,24.42,4.333743931781431
2025-04-05 23:55:34,,1064.525,1.872,31.71,25.02,606.48,16.6,54.8,8.69,9.14,21.98,4.340554079008941
2025-04-05 23:56:34,,1061.0600000000002,1.872,30.975,22.752,608.41,16.6,54.6,8.61,8.98,10.42,4.3328612891200775
2025-04-05 23:57:34,,1058.673,1.935,31.2375,24.42,609.85,16.6,54.2,9.23,9.71,11.38,4.335806435171088
2025-04-05 23:58:34,,1057.342,1.9080000000000001,31.9095,23.136,612.62,16.6,55.9,8.39,8.8,13.15,4.335124598344389
2025-04-05 23:59:34,,1051.9080000000001,1.9080000000000001,32.13,23.352,616.6,16.6,56.5,7.83,8.32,18.41,4.334976066205279
2025-04-06 00:00:34,,1051.2040000000002,1.3860000000000001,32.088,22.692,612.99,16.6,57.4,8.62,8.87,14.07,4.334162762450018
2025-04-06 00:01:34,,1053.679,1.3860000000000001,31.332,20.628,616.6,16.6,57.7,7.96,8.42,33.9,4.323215165250966
2025-04-06 00:02:34,,1054.988,1.9080000000000001,30.135,19.787999999999997,616.84,16.6,56.6,8.5,8.76,11.51,4.306815453769563
2025-04-06 00:03:34,,1053.371,1.9080000000000001,30.649500000000003,21.863999999999997,619.85,16.5,56.2,8.28,8.62,18.6,4.298943095124532
2025-04-06 00:04:34,,1053.987,1.9080000000000001,30.649500000000003,21.54,613.35,16.5,56.0,8.27,8.58,22.39,4.290931035179997
2025-04-06 00:05:34,,1055.241,1.3860000000000001,31.6155,22.5,619.85,16.5,56.7,8.99,9.43,15.95,4.291150922283395
2025-04-06 00:06:34,,1042.69,1.449,32.76,23.82,623.46,16.5,58.9,9.35,9.76,17.8,4.298979163020957
2025-04-06 00:07:34,,1060.1580000000001,1.449,30.796499999999998,18.396,623.46,16.5,58.5,9.17,9.62,16.89,4.287814442820063
2025-04-06 00:08:34,,1067.0220000000002,1.9080000000000001,28.938,17.4,619.25,16.5,55.5,9.8,10.21,11.06,4.270422885063356
2025-04-06 00:09:34,,1073.699,1.9080000000000001,31.395,23.04,621.18,16.5,56.2,9.36,9.9,11.05,4.272531644649814
2025-04-06 00:10:34,,1070.6740000000002,1.9080000000000001,32.3715,22.139999999999997,618.29,16.5,56.6,8.91,9.13,19.62,4.274517195821392
2025-04-06 00:11:34,,1070.256,1.899,30.3765,18.276,623.34,16.4,56.4,9.41,10.0,18.04,4.264891778828857
2025-04-06 00:12:34,,1072.7530000000002,1.9080000000000001,30.891000000000002,19.932,620.93,16.4,56.1,8.4,8.77,10.81,4.258341355238474
2025-04-06 00:13:34,,1080.4640000000002,1.863,29.4525,17.592,617.56,16.4,54.9,8.28,8.64,22.01,4.2440782034330455
2025-04-06 00:14:34,,1080.64,1.935,31.227,22.116,614.07,16.4,54.1,8.44,9.17,15.96,4.2436467166910035
2025-04-06 00:15:34,,1079.683,1.9080000000000001,32.1405,22.74,619.61,16.4,55.9,8.74,9.07,24.33,4.246469209376196
2025-04-06 00:16:34,,1090.144,1.9080000000000001,31.153500000000005,18.072,620.09,16.4,55.8,8.05,8.41,15.07,4.23853923515503
2025-04-06 00:17:34,,1089.198,1.872,30.2085,18.816,617.8,16.4,54.7,8.74,9.18,12.81,4.230885063427421
2025-04-06 00:18:34,,1080.4640000000002,1.872,30.6915,23.808,616.24,16.4,54.9,8.86,9.15,26.07,4.232018056532484
2025-04-06 00:19:34,,1077.4060000000002,1.899,31.374,21.768,624.31,16.4,56.5,8.03,8.51,16.91,4.230982239875912
2025-04-06 00:20:34,,1069.431,1.899,31.1325,19.871999999999996,621.18,16.4,56.3,8.92,9.48,11.68,4.228047343233467
2025-04-06 00:21:34,,1064.1950000000002,1.899,30.618000000000002,22.548,619.13,16.3,56.5,8.61,9.11,17.95,4.227267180179371
2025-04-06 00:22:34,,1063.623,1.3860000000000001,31.8045,22.956,620.21,16.3,57.8,8.57,9.11,18.6,4.229611529205731
2025-04-06 00:23:34,,1072.819,1.3860000000000001,31.311,20.639999999999997,619.97,16.3,57.6,9.15,9.6,26.61,4.228416026701132
2025-04-06 00:24:34,,1065.911,1.4400000000000002,33.222,22.848,623.34,16.3,59.5,8.32,8.92,22.34,4.2331785802584045
2025-04-06 00:25:34,,1067.682,2.124,33.1695,22.5,632.26,16.3,60.7,8.28,8.87,22.26,4.237137119216826
