"Pollutant","Model","Bias","r","R2","RMSE","MAE","CvMAE"
"CO","Regression",0.0347591780887648,0.840427595074718,0.706318542563074,0.12383614477525,0.067497370513486,0.308387582427675
"CO","RandomForest",0.0104061655311201,0.783463208946773,0.613814599773175,0.151611836562455,0.0251208685020533,0.114774306715903
"CO","Hybrid",0.0104535977274154,0.90530903651761,0.819584451600443,0.0970875921539482,0.0254828963629207,0.116428369621391
"NO","Regression",1.99284164648364,0.961186260328796,0.923879027044855,1.06013347201586,0.737112482549656,0.169168927220617
"NO","RandomForest",1.26424990599425,0.991004904569543,0.982090720880888,0.622271883753491,0.403554143238161,0.0926165586707943
"NO","Hybrid",1.50322740746893,0.987103597396722,0.974373511993551,0.677688270454529,0.408076291390006,0.093654401564099
"NO2","Regression",0.847265889250544,0.977588040670425,0.955678377261841,0.845933519654555,0.6707759578322,0.0403264323499015
"NO2","RandomForest",0.280527787280036,0.988805952144338,0.977737210996071,0.60223505076353,0.472044313914031,0.0283788690828001
"NO2","Hybrid",0.27404156754994,0.988081579066684,0.976305206890911,0.623061919407651,0.480417317087112,0.0288822463164088
"O3","Regression",0.0149484936110031,0.457506685751597,0.209312367507411,0.0442185701394296,0.0343823097762535,0.112813010720781
"O3","RandomForest",0.00413444334297924,0.440218540763742,0.193792363632158,0.0452523097506197,0.03551125035624,0.116517217523115
"O3","Hybrid",0.00412303888685756,0.437529153799874,0.191431760424834,0.045355206330238,0.0356115058745617,0.11684616944452
"CO2","Regression",6.6032564175614,0.970929272715822,0.942703652616474,7.14932813925366,5.29522870987029,0.0120015669058538
"CO2","RandomForest",5.70858279455297,0.989450949197916,0.979013180868657,4.38892758320263,2.58532560129763,0.00585960680405632
"CO2","Hybrid",5.91769226491044,0.988195317508646,0.976529985546014,4.62741355313949,2.79793781055797,0.00634148960728313
"PM2_5","Regression",9.07918876158031e-05,0.195201279427293,0.038103539490052,0.00516602690111704,0.000891225589766411,0.754409644044654
"PM2_5","RandomForest",0.000497318371127606,0.913637308709439,0.834733131865826,0.00353889625740719,0.000500970317255872,0.424064168553549
"PM2_5","Hybrid",4.24053103652595e-05,0.454391166342004,0.206471332049647,0.00494656447061157,0.000623379953181035,0.527682164856979
"PM10","Regression",-0.000172698923673855,0.168709201719635,0.0284627947448764,0.0484050281755117,0.0081822258207526,1.09185939970086
"PM10","RandomForest",0.00274877782856873,0.867886568531574,0.75322709583751,0.0388869381935725,0.00532026002607865,0.709950574034927
"PM10","Hybrid",-0.000198375872413488,0.370812575501078,0.137501966149743,0.0471916992965885,0.00598345382621517,0.798449034034138
