DATE,TE,CO,NO,NO2,O3,CO2,T,RH,P,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,86,8,-1,0,86,0,0.00000,0.00000,0,CRC
09/24/26 03:59:05,11.55,151.97,13.48,10.48,1.34,498.31,10.10,86.30,1016.00,4.73,7.14,7.25,359.30,0.16,0,13.20,0.00,145.16,1,-26,5,0,0,STAT,60,LAT,LON,W,ÿ,2105138805
09/24/26 04:00:03,11.51,150.13,10.69,10.19,1.44,496.77,10.10,86.20,1016.00,4.89,6.66,6.84,11.40,0.18,0,13.20,0.00,77.42,1,-27,7,1,0,STAT,60,LAT,LON,W,ÿ,1316842646
09/24/26 04:01:06,11.47,150.54,11.39,10.21,1.85,496.82,10.10,86.30,1016.00,4.85,7.15,7.37,19.90,0.19,0,13.20,0.00,74.19,1,-25,7,0,0,STAT,60,LAT,LON,W,ÿ,2301427394
09/24/26 04:02:04,11.46,151.22,9.37,10.19,1.79,496.93,10.10,86.50,1016.00,4.58,7.19,7.30,25.80,0.24,0,13.20,0.00,74.19,1,-26,7,0,0,STAT,60,LAT,LON,W,ÿ,1604977974
09/24/26 04:03:07,11.45,151.56,12.23,10.12,2.33,497.67,10.10,86.50,1016.00,4.92,7.56,7.84,21.20,0.22,0,13.20,0.00,77.42,1,-27,5,1,0,STAT,60,LAT,LON,W,ÿ,889563746
09/24/26 04:04:05,11.42,154.23,13.65,10.25,1.99,498.95,10.10,86.30,1016.00,4.76,7.30,7.45,12.80,0.26,0,13.20,0.00,80.65,1,-28,6,0,0,STAT,60,LAT,LON,W,ÿ,2105768814
09/24/26 04:05:03,11.38,151.71,13.30,10.63,2.30,499.60,10.10,86.10,1016.00,4.88,7.14,7.24,16.40,0.23,0,13.20,0.00,93.55,1,-24,5,0,1,STAT,60,LAT,LON,W,ÿ,1185764896
09/24/26 04:06:05,11.36,152.17,16.40,9.64,2.39,499.86,10.00,86.20,1016.00,4.40,7.14,7.17,20.00,0.26,0,13.20,0.00,80.65,1,-27,2,0,0,STAT,60,LAT,LON,W,ÿ,1005636604
09/24/26 04:07:07,11.35,149.18,14.82,9.37,2.90,500.57,10.00,86.30,1016.00,4.47,6.81,6.82,23.70,0.24,0,13.20,0.00,90.32,1,-25,3,0,0,STAT,60,LAT,LON,W,ÿ,1515508554
09/24/26 04:08:05,11.34,149.30,12.27,10.06,2.90,500.38,10.00,86.50,1016.00,4.34,6.90,6.94,22.30,0.17,0,13.20,0.00,77.42,1,-25,6,1,1,STAT,60,LAT,LON,W,ÿ,2565000886
09/24/26 04:09:07,11.29,149.54,13.81,10.91,0.65,500.13,10.00,86.50,1016.00,4.98,7.48,7.54,18.70,0.17,0,13.20,0.00,74.19,1,-25,5,1,0,STAT,60,LAT,LON,W,ÿ,3069230724
09/24/26 04:10:04,11.27,153.25,13.21,10.68,1.14,499.43,10.00,86.60,1016.00,4.82,7.57,7.68,19.50,0.19,0,13.20,0.00,77.42,1,-27,5,0,0,STAT,60,LAT,LON,W,ÿ,592687572
09/24/26 04:11:07,11.26,152.38,14.57,10.02,1.93,497.58,10.00,86.80,1016.00,5.12,7.74,8.40,27.60,0.18,0,13.20,0.00,77.42,1,-26,3,0,0,STAT,60,LAT,LON,W,ÿ,4156403702
09/24/26 04:12:04,11.25,155.23,13.60,10.56,1.73,494.39,10.00,87.00,1016.00,5.40,8.22,9.11,20.30,0.20,0,13.20,0.00,77.42,1,-27,3,0,0,STAT,60,LAT,LON,W,ÿ,2882725767
09/24/26 04:13:08,11.23,153.21,14.04,10.08,2.57,490.86,10.00,87.20,1016.00,5.15,7.95,8.28,28.40,0.18,0,13.20,0.00,80.65,1,-24,3,0,0,STAT,60,LAT,LON,W,ÿ,593688892
09/24/26 04:14:05,11.18,153.75,12.64,10.30,2.79,488.75,10.00,87.30,1016.00,5.31,7.77,7.88,20.40,0.17,0,13.20,0.00,93.55,1,-27,4,0,0,STAT,60,LAT,LON,W,ÿ,4227421779
