flag,gases.co.ae,gases.co.diff,gases.co.we,gases.co2.raw,gases.no.ae,gases.no.diff,gases.no.we,gases.no2.ae,gases.no2.diff,gases.no2.we,gases.o3.ae,gases.o3.diff,gases.o3.we,geo.lat,geo.lon,met.rh,met.temp,met.wd,met.ws,met.ws_scalar,neph.cscat,neph.pm1,neph.pm10,neph.pm25,opc.bin0,opc.bin1,opc.bin10,opc.bin11,opc.bin12,opc.bin13,opc.bin14,opc.bin15,opc.bin16,opc.bin17,opc.bin18,opc.bin19,opc.bin2,opc.bin20,opc.bin21,opc.bin22,opc.bin23,opc.bin3,opc.bin4,opc.bin5,opc.bin6,opc.bin7,opc.bin8,opc.bin9,opc.pm1,opc.pm10,opc.pm25,opc.rh,opc.temp,operating_state,sn,timestamp,timestamp_local,url
0,646.9,35.80000000000007,682.7,1145.4,673.4,-0.1999999999999318,673.2,1645.3,0.5,1645.8,1644.8,10.5,1656.3,,,35.1,19.0,0.0,0.0,0.0,247.75,0.4,1.2,1.2,1.3726,0.4053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2625,0.0,0.0,0.0,0.0,0.1155,0.0817,0.0292,0.0112,0.0,0.0039,0.0038,0.64,3.58,1.71,26.48,24.53,0,MOD-00631,2025-04-11T23:44:21,2025-04-11T16:44:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/raw/360732121
0,648.3,34.90000000000009,683.2,1144.8,673.0,-0.6000000000000227,672.4,1645.2,1.0,1646.2,1644.5,10.299999999999955,1656.5,,,35.3,19.0,0.0,0.0,0.0,177.25,0.0,0.3,0.3,1.0533,0.3472,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.0,0.0,0.0,0.0977,0.076,0.0504,0.0073,0.0107,0.0109,0.0,0.55,5.85,1.89,26.5,24.63,0,MOD-00631,2025-04-11T23:43:21,2025-04-11T16:43:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/raw/360732120
0,647.5,34.799999999999955,682.3,1145.6,674.0,-0.5,673.5,1645.2,0.599999999999909,1645.8,1644.8,10.5,1656.3,,,34.5,19.1,0.0,0.0,0.0,212.75,0.2,0.8,0.6,1.1373,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2411,0.0,0.0,0.0,0.0,0.0975,0.0935,0.0394,0.0144,0.0036,0.0036,0.0,0.59,2.97,1.84,26.22,24.68,0,MOD-00631,2025-04-11T23:42:21,2025-04-11T16:42:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/raw/360732122
0,648.4,35.30000000000007,683.7,1147.9,673.6,-0.39999999999997726,673.2,1645.4,0.599999999999909,1646.0,1644.7,10.599999999999909,1656.6,,,35.0,19.1,0.0,0.0,0.0,281.0,0.8,1.6,1.2,1.2994,0.4407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2129,0.0,0.0,0.0,0.0,0.0913,0.1291,0.0493,0.0038,0.0113,0.0,0.0,0.64,2.97,2.03,26.25,24.73,0,MOD-00631,2025-04-11T23:41:21,2025-04-11T16:41:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/raw/360732119
0,649.9,36.200000000000045,686.1,1144.3,673.8,-0.39999999999997726,673.4,1645.5,0.5,1646.0,1645.0,10.5,1656.5,,,34.3,19.2,0.0,0.0,0.0,211.75,0.0,0.8,0.8,1.2789,0.4138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608,0.0,0.0,0.0,0.0,0.0986,0.0645,0.072,0.0225,0.0074,0.0074,0.0,0.63,4.33,2.24,25.99,24.85,0,MOD-00631,2025-04-11T23:40:21,2025-04-11T16:40:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/raw/360729788
0,649.3,34.0,683.3,1143.0,674.1,-0.3000000000000682,673.8,1645.4,0.3999999999998636,1645.8,1645.0,10.799999999999955,1656.6,,,34.2,19.3,0.0,0.0,0.0,204.25,0.1,0.8,0.7,1.4303,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015,0.0,0.0,0.0,0.0,0.0719,0.1203,0.0378,0.0151,0.0113,0.0,0.0,0.66,3.13,2.06,25.92,24.9,0,MOD-00631,2025-04-11T23:39:21,2025-04-11T16:39:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/raw/360729789
0,648.2,34.799999999999955,683.0,1143.6,673.7,-0.10000000000002274,673.6,1645.6,0.20000000000004547,1645.8,1644.9,10.700000000000045,1656.5,,,34.1,19.3,0.0,0.0,0.0,173.25,0.1,0.7,0.5,1.2913,0.3698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2232,0.0,0.0,0.0,0.0,0.1141,0.1252,0.0475,0.0276,0.0078,0.0038,0.0,0.65,4.0,2.34,25.83,24.97,0,MOD-00631,2025-04-11T23:38:21,2025-04-11T16:38:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/raw/360729787
0,648.3,34.700000000000045,683.0,1143.5,674.1,-0.39999999999997726,673.7,1645.5,0.599999999999909,1646.1,1645.2,10.400000000000091,1656.5,,,34.6,19.4,0.0,0.0,0.0,230.75,0.7,1.6,0.8,1.3338,0.399,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2831,0.0,0.0,0.0,0.0,0.0656,0.081,0.0408,0.0258,0.0072,0.0036,0.0,0.61,5.07,1.98,25.96,25.07,0,MOD-00631,2025-04-11T23:37:21,2025-04-11T16:37:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/raw/360729786
0,647.8,34.90000000000009,682.7,1144.2,674.4,-0.6000000000000227,673.8,1645.9,0.3999999999998636,1646.3,1645.4,10.400000000000091,1656.7,,,34.4,19.5,0.0,0.0,0.0,252.0,0.7,1.5,1.5,1.1901,0.3366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1827,0.0,0.0,0.0,0.0,0.0788,0.1074,0.0323,0.0287,0.0035,0.0036,0.0,0.54,3.27,1.92,25.83,25.12,0,MOD-00631,2025-04-11T23:36:21,2025-04-11T16:36:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/raw/360727383
0,648.7,34.299999999999955,683.0,1145.5,673.9,-0.10000000000002274,673.8,1645.9,0.0,1645.9,1645.2,10.699999999999818,1656.6,,,33.9,19.5,0.0,0.0,0.0,225.25,0.5,1.9,1.2,1.0823,0.4304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2076,0.0,0.0,0.0,0.0,0.1133,0.113,0.0565,0.0211,0.0106,0.0,0.0,0.62,3.47,2.26,25.68,25.19,0,MOD-00631,2025-04-11T23:35:21,2025-04-11T16:35:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/raw/360727385
