co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
810.29,583.5,"{'lat': None, 'lon': None}","{'rh': 80.5, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.11,28.54,3.04,3.96,3.67,356763738,80.5,MOD-00632,12.1,2025-04-07T05:06:23,2025-04-06T22:06:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356763640
792.07,588.68,"{'lat': None, 'lon': None}","{'rh': 81.3, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,20.84,28.42,3.1,4.72,3.8,356763737,81.3,MOD-00632,12.1,2025-04-07T05:05:23,2025-04-06T22:05:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356763639
781.66,590.73,"{'lat': None, 'lon': None}","{'rh': 81.5, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.31,28.01,2.77,18.06,3.36,356763736,81.5,MOD-00632,12.1,2025-04-07T05:04:23,2025-04-06T22:04:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356763638
783.37,584.95,"{'lat': None, 'lon': None}","{'rh': 81.4, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.07,28.78,3.24,15.01,3.79,356763739,81.4,MOD-00632,12.1,2025-04-07T05:03:23,2025-04-06T22:03:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356763641
786.25,586.63,"{'lat': None, 'lon': None}","{'rh': 81.4, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.31,28.03,3.3,32.49,4.11,356761552,81.4,MOD-00632,12.1,2025-04-07T05:02:23,2025-04-06T22:02:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356761454
777.41,589.28,"{'lat': None, 'lon': None}","{'rh': 81.7, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.06,26.84,3.27,5.61,3.84,356761551,81.7,MOD-00632,12.1,2025-04-07T05:01:23,2025-04-06T22:01:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356761453
785.36,586.03,"{'lat': None, 'lon': None}","{'rh': 81.5, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,20.83,28.01,3.23,10.1,3.92,356761550,81.5,MOD-00632,12.1,2025-04-07T05:00:23,2025-04-06T22:00:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356761452
783.5,589.04,"{'lat': None, 'lon': None}","{'rh': 81.8, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,22.0,27.58,3.29,6.19,3.86,356761549,81.8,MOD-00632,12.1,2025-04-07T04:59:23,2025-04-06T21:59:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356761451
782.55,587.23,"{'lat': None, 'lon': None}","{'rh': 81.4, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.31,28.78,2.89,5.38,3.56,356759292,81.4,MOD-00632,12.1,2025-04-07T04:58:23,2025-04-06T21:58:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356759194
787.89,586.75,"{'lat': None, 'lon': None}","{'rh': 81.4, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.78,28.78,3.41,5.35,3.98,356759289,81.4,MOD-00632,12.1,2025-04-07T04:57:23,2025-04-06T21:57:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356759191
783.44,587.84,"{'lat': None, 'lon': None}","{'rh': 81.3, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.32,28.42,3.42,4.11,4.0,356759291,81.3,MOD-00632,12.1,2025-04-07T04:56:23,2025-04-06T21:56:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356759193
779.82,583.5,"{'lat': None, 'lon': None}","{'rh': 81.2, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.19,21.08,28.44,3.42,12.16,4.26,356759290,81.2,MOD-00632,12.1,2025-04-07T04:55:23,2025-04-06T21:55:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356759192
782.96,584.58,"{'lat': None, 'lon': None}","{'rh': 81.4, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,20.84,28.41,3.38,7.34,4.08,356757087,81.4,MOD-00632,12.1,2025-04-07T04:54:23,2025-04-06T21:54:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356756989
782.96,585.31,"{'lat': None, 'lon': None}","{'rh': 81.4, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.55,28.03,3.36,6.89,4.01,356757088,81.4,MOD-00632,12.1,2025-04-07T04:53:23,2025-04-06T21:53:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356756990
786.11,587.72,"{'lat': None, 'lon': None}","{'rh': 81.6, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.54,27.62,3.31,6.87,4.11,356757086,81.6,MOD-00632,12.1,2025-04-07T04:52:23,2025-04-06T21:52:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356756988
781.93,585.67,"{'lat': None, 'lon': None}","{'rh': 81.7, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.54,27.98,3.31,9.03,4.19,356757085,81.7,MOD-00632,12.1,2025-04-07T04:51:23,2025-04-06T21:51:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356756987
782.89,585.91,"{'lat': None, 'lon': None}","{'rh': 81.5, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.54,28.01,3.36,6.91,4.12,356754837,81.5,MOD-00632,12.1,2025-04-07T04:50:23,2025-04-06T21:50:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356754739
779.41,580.49,"{'lat': None, 'lon': None}","{'rh': 81.2, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.19,21.08,28.81,3.44,5.88,4.2,356754838,81.2,MOD-00632,12.1,2025-04-07T04:49:23,2025-04-06T21:49:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356754740
790.69,585.19,"{'lat': None, 'lon': None}","{'rh': 81.5, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,21.54,28.01,3.92,5.02,4.56,356754835,81.5,MOD-00632,12.1,2025-04-07T04:48:23,2025-04-06T21:48:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356754737
787.27,582.78,"{'lat': None, 'lon': None}","{'rh': 81.7, 'temp': 12.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13517, 'co2': 13280, 'no': 13605, 'no2': 13786, 'o3': 13764}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.26,22.01,27.98,4.17,16.04,5.04,356754836,81.7,MOD-00632,12.1,2025-04-07T04:47:23,2025-04-06T21:47:23,https://api.quant-aq.com/v1/devices/MOD-00632/data/356754738
