id,lat,lon,name,sensor_number,region
2021,49.328887,-123.1658402,West Vancouver Memorial Library,Sensor 1,"Metro Vancouver - NW, B.C."
2022,49.845966,-124.5218536,Powell River Public Library,Sensor 3,"Sunshine Coast - Saltery Bay to Powell River, B.C."
2023,0,0,0,0,0
2024,49.320416,-123.1326337,Chief Joe Mathias Centre,Sensor 5,"Metro Vancouver - NW, B.C."
2025,0,0,0,0,0
2030,49.380893,-123.3381594,Bowen Island,Sensor 9,"Metro Vancouver - NW, B.C."
2031,0,0,0,0,0
2032,49.691282,-123.1478330,Squamish Nation Totem Hall,Sensor 6,"Howe Sound, B.C."
2033,0,0,0,0,0
2034,0,0,0,0,0
2039,0,0,0,0,0
2040,49.680288,-124.4786294,Gillies Bay Public Library,Sensor 2,"Sunshine Coast - Saltery Bay to Powell River, B.C."
2041,0,0,0,0,0
2042,50.318678,-122.800427,Pemberton Community Centre,Sensor 7,"Whistler, B.C."
2043,50.117361,-122.956237,Whistler Public Library,Sensor 8,"Whistler, B.C."
MOD-00632,49.326636,-123.121436,Lions Gate Rec Center,Sensor 4,"Metro Vancouver - NW, B.C."
MOD-00616,50.318678,-122.800427,Pemberton Community Centre,Sensor 7,"Whistler, B.C."
MOD-00625,49.283711,-123.094927,Evelyne Saller Centre,Sensor 10,"Metro Vancouver - NW, B.C."
MOD-00631,49.341221,-123.037450,Lynn Valley Community Recreation Centre,Sensor 11,"Metro Vancouver - NW, B.C."
